kind,ref_name,turn_deg,T_s,sigma_test_deg,ref_r0_km,ref_theta0_deg,ref_v,ref_psi_deg,alt_r0_km,alt_theta0_deg,alt_v,alt_psi_deg,rmse_bearing_deg,delta_r_km,delta_v,delta_psi_deg,delta_theta0_deg,grid_alt_in_accept_rate,rank,note
search,LIN,0.0,300.0,0.1,50.0,0.0,2.0,0.0,60.0,0.0,2.9999999999999996,0.0,0.0,10.0,0.9999999999999996,0.0,0.0,1.0,0.0,"RC2-hard: bearings close, kinematics far"
search,LIN,0.0,300.0,0.1,50.0,0.0,2.0,0.0,57.0,0.0,1.9999999999999998,0.0,0.0,7.0,2.220446049250313e-16,0.0,0.0,1.0,1.0,"RC2-hard: bearings close, kinematics far"
search,LIN,0.0,300.0,0.1,50.0,0.0,2.0,0.0,54.0,0.0,1.4,0.0,0.0,4.0,0.6000000000000001,0.0,0.0,1.0,2.0,"RC2-hard: bearings close, kinematics far"
search,LIN,0.0,300.0,0.1,50.0,0.0,2.0,0.0,60.0,0.0,1.7999999999999998,0.0,0.0,10.0,0.20000000000000018,0.0,0.0,1.0,3.0,"RC2-hard: bearings close, kinematics far"
search,LIN,0.0,300.0,0.1,50.0,0.0,2.0,0.0,47.0,0.0,2.8,0.0,0.0,3.0,0.7999999999999998,0.0,0.0,1.0,4.0,"RC2-hard: bearings close, kinematics far"
search,LIN,0.0,600.0,0.1,50.0,0.0,2.0,0.0,60.0,0.0,2.9999999999999996,0.0,0.0,10.0,0.9999999999999996,0.0,0.0,1.0,0.0,"RC2-hard: bearings close, kinematics far"
search,LIN,0.0,600.0,0.1,50.0,0.0,2.0,0.0,45.0,0.0,1.2,0.0,0.0,5.0,0.8,0.0,0.0,1.0,1.0,"RC2-hard: bearings close, kinematics far"
search,LIN,0.0,600.0,0.1,50.0,0.0,2.0,0.0,50.0,0.0,2.9999999999999996,0.0,0.0,0.0,0.9999999999999996,0.0,0.0,1.0,2.0,"RC2-hard: bearings close, kinematics far"
search,LIN,0.0,600.0,0.1,50.0,0.0,2.0,0.0,55.0,0.0,2.3999999999999995,0.0,0.0,5.0,0.39999999999999947,0.0,0.0,1.0,3.0,"RC2-hard: bearings close, kinematics far"
search,LIN,0.0,600.0,0.1,50.0,0.0,2.0,0.0,60.0,0.0,2.5999999999999996,0.0,0.0,10.0,0.5999999999999996,0.0,0.0,1.0,4.0,"RC2-hard: bearings close, kinematics far"
search,LIN,0.0,1200.0,0.1,50.0,0.0,2.0,0.0,60.0,0.0,2.5999999999999996,0.0,0.0,10.0,0.5999999999999996,0.0,0.0,1.0,0.0,"RC2-hard: bearings close, kinematics far"
search,LIN,0.0,1200.0,0.1,50.0,0.0,2.0,0.0,45.0,0.0,2.3999999999999995,0.0,0.0,5.0,0.39999999999999947,0.0,0.0,1.0,1.0,"RC2-hard: bearings close, kinematics far"
search,LIN,0.0,1200.0,0.1,50.0,0.0,2.0,0.0,52.0,0.0,2.9999999999999996,0.0,0.0,2.0,0.9999999999999996,0.0,0.0,1.0,2.0,"RC2-hard: bearings close, kinematics far"
search,LIN,0.0,1200.0,0.1,50.0,0.0,2.0,0.0,60.0,0.0,2.1999999999999997,0.0,0.0,10.0,0.19999999999999973,0.0,0.0,1.0,3.0,"RC2-hard: bearings close, kinematics far"
search,LIN,0.0,1200.0,0.1,50.0,0.0,2.0,0.0,46.0,0.0,1.0,0.0,0.0,4.0,1.0,0.0,0.0,1.0,4.0,"RC2-hard: bearings close, kinematics far"
dedicated,RS1,0.0,60.0,0.1,50.0,0.0,2.0,0.0,55.0,0.0,2.5,0.0,0.0,5.0,0.5,0.0,0.0,1.0,,far-fast vs LIN
dedicated,RS2,0.0,60.0,0.1,50.0,0.0,2.0,0.0,46.0,0.0,1.5,0.0,0.0,4.0,0.5,0.0,0.0,1.0,,near-slow vs LIN
dedicated,RS1,0.0,120.0,0.1,50.0,0.0,2.0,0.0,55.0,0.0,2.5,0.0,0.0,5.0,0.5,0.0,0.0,1.0,,far-fast vs LIN
dedicated,RS2,0.0,120.0,0.1,50.0,0.0,2.0,0.0,46.0,0.0,1.5,0.0,0.0,4.0,0.5,0.0,0.0,1.0,,near-slow vs LIN
dedicated,RS1,0.0,300.0,0.1,50.0,0.0,2.0,0.0,55.0,0.0,2.5,0.0,0.0,5.0,0.5,0.0,0.0,1.0,,far-fast vs LIN
dedicated,RS2,0.0,300.0,0.1,50.0,0.0,2.0,0.0,46.0,0.0,1.5,0.0,0.0,4.0,0.5,0.0,0.0,1.0,,near-slow vs LIN
dedicated,RS1,0.0,600.0,0.1,50.0,0.0,2.0,0.0,55.0,0.0,2.5,0.0,0.0,5.0,0.5,0.0,0.0,1.0,,far-fast vs LIN
dedicated,RS2,0.0,600.0,0.1,50.0,0.0,2.0,0.0,46.0,0.0,1.5,0.0,0.0,4.0,0.5,0.0,0.0,1.0,,near-slow vs LIN
dedicated,RS1,0.0,900.0,0.1,50.0,0.0,2.0,0.0,55.0,0.0,2.5,0.0,0.0,5.0,0.5,0.0,0.0,1.0,,far-fast vs LIN
dedicated,RS2,0.0,900.0,0.1,50.0,0.0,2.0,0.0,46.0,0.0,1.5,0.0,0.0,4.0,0.5,0.0,0.0,1.0,,near-slow vs LIN
dedicated,RS1,0.0,1200.0,0.1,50.0,0.0,2.0,0.0,55.0,0.0,2.5,0.0,0.0,5.0,0.5,0.0,0.0,1.0,,far-fast vs LIN
dedicated,RS2,0.0,1200.0,0.1,50.0,0.0,2.0,0.0,46.0,0.0,1.5,0.0,0.0,4.0,0.5,0.0,0.0,1.0,,near-slow vs LIN
search,CR5,0.0,300.0,0.1,50.0,0.0,2.0,5.0,54.0,0.0,1.7999999999999998,6.000000000000001,1.2866896605258629e-05,4.0,0.20000000000000018,1.0000000000000007,0.0,0.9999999917221486,0.0,"RC2-hard: bearings close, kinematics far"
search,CR5,0.0,300.0,0.1,50.0,0.0,2.0,5.0,56.0,0.0,1.5999999999999999,7.0,2.1103322882264793e-05,6.0,0.40000000000000013,2.0000000000000004,0.0,0.9999999777324884,1.0,"RC2-hard: bearings close, kinematics far"
search,CR5,0.0,300.0,0.1,50.0,0.0,2.0,5.0,55.0,0.0,2.1999999999999997,5.0,2.9934176947736654e-05,5.0,0.19999999999999973,0.0,0.0,0.9999999551972535,2.0,"RC2-hard: bearings close, kinematics far"
search,CR5,5.0,300.0,0.1,50.0,0.0,2.0,5.0,50.0,0.0,1.0,10.0,3.2494011077105824e-05,0.0,1.0,5.0,0.0,0.9999999472069636,0.0,"RC2-hard: bearings close, kinematics far"
search,CR5,0.0,300.0,0.1,50.0,0.0,2.0,5.0,45.0,0.0,1.7999999999999998,5.0,3.6661414840706586e-05,5.0,0.20000000000000018,0.0,0.0,0.9999999327970354,3.0,"RC2-hard: bearings close, kinematics far"
search,CR5,0.0,300.0,0.1,50.0,0.0,2.0,5.0,54.0,0.0,1.2,9.0,3.682340158249946e-05,4.0,0.8,4.0,0.0,0.9999999322018571,4.0,"RC2-hard: bearings close, kinematics far"
search,LIN,5.0,300.0,0.1,50.0,0.0,2.0,0.0,50.0,0.0,2.5999999999999996,0.0,4.046433694006236e-05,0.0,0.5999999999999996,0.0,0.0,0.9999999181318752,0.0,"RC2-hard: bearings close, kinematics far"
search,LIN,5.0,300.0,0.1,50.0,0.0,2.0,0.0,50.0,0.0,1.4,0.0,4.072977584771626e-05,0.0,0.6000000000000001,0.0,0.0,0.9999999170542714,1.0,"RC2-hard: bearings close, kinematics far"
search,CR10,0.0,300.0,0.1,50.0,0.0,2.0,10.0,54.0,0.0,2.3999999999999995,9.0,5.982633657269763e-05,4.0,0.39999999999999947,0.9999999999999998,0.0,0.9999998210404887,0.0,"RC2-hard: bearings close, kinematics far"
search,LIN,5.0,300.0,0.1,50.0,0.0,2.0,0.0,50.0,0.0,2.9999999999999996,0.0,6.729439213352644e-05,0.0,0.9999999999999996,0.0,0.0,0.999999773573265,2.0,"RC2-hard: bearings close, kinematics far"
search,LIN,5.0,300.0,0.1,50.0,0.0,2.0,0.0,50.0,0.0,1.0,0.0,6.803173701824243e-05,0.0,1.0,0.0,0.0,0.9999997685841647,3.0,"RC2-hard: bearings close, kinematics far"
search,CR10,0.0,300.0,0.1,50.0,0.0,2.0,10.0,52.0,0.0,2.5999999999999996,8.0,7.494890673058486e-05,2.0,0.5999999999999996,1.9999999999999996,0.0,0.9999997191331085,1.0,"RC2-hard: bearings close, kinematics far"
search,CR5,0.0,600.0,0.1,50.0,0.0,2.0,5.0,54.0,0.0,1.7999999999999998,6.000000000000001,8.473189284643795e-05,4.0,0.20000000000000018,1.0000000000000007,0.0,0.9999996410253812,0.0,"RC2-hard: bearings close, kinematics far"
search,CR10,0.0,600.0,0.1,50.0,0.0,2.0,10.0,54.0,0.0,1.7999999999999998,12.000000000000002,9.319567174932983e-05,4.0,0.20000000000000018,2.0000000000000013,0.0,0.9999995657284326,0.0,"RC2-hard: bearings close, kinematics far"
search,CR10,0.0,300.0,0.1,50.0,0.0,2.0,10.0,54.0,0.0,1.7999999999999998,12.000000000000002,9.605467689098486e-05,4.0,0.20000000000000018,2.0000000000000013,0.0,0.9999995386750588,2.0,"RC2-hard: bearings close, kinematics far"
search,CR5,0.0,600.0,0.1,50.0,0.0,2.0,5.0,55.0,0.0,2.1999999999999997,5.0,0.00011819657533973148,5.0,0.19999999999999973,0.0,0.0,0.9999993014787228,1.0,"RC2-hard: bearings close, kinematics far"
search,LIN,15.0,300.0,0.1,50.0,0.0,2.0,0.0,50.0,0.0,2.5999999999999996,0.0,0.00012012779079802637,0.0,0.5999999999999996,0.0,0.0,0.9999992784659542,0.0,"RC2-hard: bearings close, kinematics far"
search,LIN,15.0,300.0,0.1,50.0,0.0,2.0,0.0,50.0,0.0,1.4,0.0,0.00012091567706072619,0.0,0.6000000000000001,0.0,0.0,0.9999992689702193,1.0,"RC2-hard: bearings close, kinematics far"
search,CR10,0.0,300.0,0.1,50.0,0.0,2.0,10.0,52.0,0.0,1.5999999999999999,13.0,0.00012307907073938484,2.0,0.40000000000000013,3.000000000000001,0.0,0.9999992425774041,3.0,"RC2-hard: bearings close, kinematics far"
search,CR10,0.0,600.0,0.1,50.0,0.0,2.0,10.0,52.0,0.0,1.5999999999999999,13.0,0.00012846080271973552,2.0,0.40000000000000013,3.000000000000001,0.0,0.9999991748914486,1.0,"RC2-hard: bearings close, kinematics far"
search,CR5,0.0,600.0,0.1,50.0,0.0,2.0,5.0,45.0,0.0,1.7999999999999998,5.0,0.0001450523464434349,5.0,0.20000000000000018,0.0,0.0,0.9999989479913929,2.0,"RC2-hard: bearings close, kinematics far"
search,CR5,5.0,600.0,0.1,50.0,0.0,2.0,5.0,50.0,0.0,1.0,10.0,0.00015112460658900473,0.0,1.0,5.0,0.0,0.9999988580683161,0.0,"RC2-hard: bearings close, kinematics far"
search,CR5,0.0,600.0,0.1,50.0,0.0,2.0,5.0,56.0,0.0,1.5999999999999999,7.0,0.00015462696641140277,6.0,0.40000000000000013,2.0000000000000004,0.0,0.9999988045257775,3.0,"RC2-hard: bearings close, kinematics far"
search,CR10,0.0,300.0,0.1,50.0,0.0,2.0,10.0,60.0,0.0,2.9999999999999996,8.0,0.000154917366238126,10.0,0.9999999999999996,1.9999999999999996,0.0,0.9999988000312019,4.0,"RC2-hard: bearings close, kinematics far"
search,LIN,5.0,600.0,0.1,50.0,0.0,2.0,0.0,50.0,0.0,2.5999999999999996,0.0,0.0001577143292085958,0.0,0.5999999999999996,0.0,0.0,0.9999987563102914,0.0,"RC2-hard: bearings close, kinematics far"
search,LIN,5.0,600.0,0.1,50.0,0.0,2.0,0.0,50.0,0.0,1.4,0.0,0.00015977565627398394,0.0,0.6000000000000001,0.0,0.0,0.9999987235877977,1.0,"RC2-hard: bearings close, kinematics far"
search,CR5,15.0,300.0,0.1,50.0,0.0,2.0,5.0,50.0,0.0,1.0,10.0,0.00016009499498928996,0.0,1.0,5.0,0.0,0.9999987184804501,0.0,"RC2-hard: bearings close, kinematics far"
search,CR5,0.0,600.0,0.1,50.0,0.0,2.0,5.0,60.0,0.0,1.0,12.000000000000002,0.00017937995510792284,10.0,1.0,7.000000000000001,0.0,0.9999983911428795,4.0,"RC2-hard: bearings close, kinematics far"
search,LIN,5.0,1200.0,0.1,50.0,0.0,2.0,0.0,51.0,0.0,1.2,0.0,0.00017946826126142676,1.0,0.8,0.0,0.0,0.9999983895584568,0.0,"RC2-hard: bearings close, kinematics far"
search,LIN,5.0,1200.0,0.1,50.0,0.0,2.0,0.0,49.0,0.0,2.8,0.0,0.00018134949321758743,1.0,0.7999999999999998,0.0,0.0,0.9999983556194175,1.0,"RC2-hard: bearings close, kinematics far"
search,LIN,15.0,300.0,0.1,50.0,0.0,2.0,0.0,50.0,0.0,2.9999999999999996,0.0,0.00019977911812475233,0.0,0.9999999999999996,0.0,0.0,0.9999980044171892,2.0,"RC2-hard: bearings close, kinematics far"
search,LIN,15.0,300.0,0.1,50.0,0.0,2.0,0.0,50.0,0.0,1.0,0.0,0.00020196773433207713,0.0,1.0,0.0,0.0,0.9999979604537943,3.0,"RC2-hard: bearings close, kinematics far"
search,CR5,5.0,300.0,0.1,50.0,0.0,2.0,5.0,49.0,0.0,1.4,7.0,0.00023933022552654552,1.0,0.6000000000000001,2.0000000000000004,0.0,0.9999971360562586,1.0,"RC2-hard: bearings close, kinematics far"
dedicated,RS2,5.0,60.0,0.1,50.0,0.0,2.0,0.0,46.0,0.0,1.5,0.0,0.00024749678699333084,4.0,0.5,0.0,0.0,0.9999969372717116,,near-slow vs LIN
dedicated,RS1,5.0,60.0,0.1,50.0,0.0,2.0,0.0,55.0,0.0,2.5,0.0,0.0002581016403112625,5.0,0.5,0.0,0.0,0.9999966691827106,,far-fast vs LIN
search,LIN,5.0,600.0,0.1,50.0,0.0,2.0,0.0,50.0,0.0,2.9999999999999996,0.0,0.00026173191984379745,0.0,0.9999999999999996,0.0,0.0,0.9999965748259727,2.0,"RC2-hard: bearings close, kinematics far"
search,LIN,5.0,600.0,0.1,50.0,0.0,2.0,0.0,50.0,0.0,1.0,0.0,0.0002674582748444894,0.0,1.0,0.0,0.0,0.9999964233099572,3.0,"RC2-hard: bearings close, kinematics far"
search,CR10,5.0,300.0,0.1,50.0,0.0,2.0,10.0,53.0,0.0,2.9999999999999996,7.0,0.0002986690100183886,3.0,0.9999999999999996,2.9999999999999996,0.0,0.9999955398510693,0.0,"RC2-hard: bearings close, kinematics far"
search,CR10,0.0,600.0,0.1,50.0,0.0,2.0,10.0,54.0,0.0,2.3999999999999995,9.0,0.00035530114497515664,4.0,0.39999999999999947,0.9999999999999998,0.0,0.9999936880747392,2.0,"RC2-hard: bearings close, kinematics far"
search,CR5,5.0,600.0,0.1,50.0,0.0,2.0,5.0,49.0,0.0,1.4,7.0,0.0003639320308978166,1.0,0.6000000000000001,2.0000000000000004,0.0,0.9999933776957719,1.0,"RC2-hard: bearings close, kinematics far"
search,CR5,5.0,300.0,0.1,50.0,0.0,2.0,5.0,47.0,0.0,1.2,8.0,0.0003696116009562415,3.0,0.8,3.0000000000000004,0.0,0.9999931693865507,2.0,"RC2-hard: bearings close, kinematics far"
search,CR5,5.0,300.0,0.1,50.0,0.0,2.0,5.0,47.0,0.0,1.5999999999999999,6.000000000000001,0.00037242668744085926,3.0,0.40000000000000013,1.0000000000000007,0.0,0.9999930649421717,3.0,"RC2-hard: bearings close, kinematics far"
search,CR10,5.0,300.0,0.1,50.0,0.0,2.0,10.0,52.0,0.0,1.5999999999999999,13.0,0.0003784168614445661,2.0,0.40000000000000013,3.000000000000001,0.0,0.9999928400595812,1.0,"RC2-hard: bearings close, kinematics far"
search,CR5,15.0,600.0,0.1,50.0,0.0,2.0,5.0,50.0,0.0,1.0,10.0,0.0004021454124897259,0.0,1.0,5.0,0.0,0.9999919139860527,0.0,"RC2-hard: bearings close, kinematics far"
search,CR5,0.0,1200.0,0.1,50.0,0.0,2.0,5.0,54.0,0.0,1.7999999999999998,6.000000000000001,0.0004104672716224209,4.0,0.20000000000000018,1.0000000000000007,0.0,0.9999915758664295,0.0,"RC2-hard: bearings close, kinematics far"
search,CR10,0.0,1200.0,0.1,50.0,0.0,2.0,10.0,54.0,0.0,1.7999999999999998,12.000000000000002,0.0004200242558603534,4.0,0.20000000000000018,2.0000000000000013,0.0,0.9999911790201296,0.0,"RC2-hard: bearings close, kinematics far"
search,LIN,5.0,300.0,0.1,50.0,0.0,2.0,0.0,52.0,0.0,1.0,0.0,0.0004234395894970851,2.0,1.0,0.0,0.0,0.9999910349858883,4.0,"RC2-hard: bearings close, kinematics far"
