pair_id,mechanism,source,snr_db,ref_r0_km,ref_v,ref_psi_deg,alt_r0_km,alt_v,alt_psi_deg,delta_r_km,delta_v,delta_psi_deg,rc2_bearing_rmse_deg,T_s,turn_deg,layer,available,reject_rate_wrong,retain_rate_true,mean_margin,mean_c_ref,mean_c_alt
A01,A,S0,noiseless,50.0,2.0,0.0,60.0,3.0,0.0,10.0,0.9999999999999996,0.0,0.0,300.0,0.0,RC2,True,0.0,1.0,0.0,0.0,0.0
A01,A,S0,noiseless,50.0,2.0,0.0,60.0,3.0,0.0,10.0,0.9999999999999996,0.0,0.0,300.0,0.0,RC2+CZ,True,1.0,1.0,0.00013855459391042297,2.9745562843117456e-20,0.000138554593910423
A01,A,S0,noiseless,50.0,2.0,0.0,60.0,3.0,0.0,10.0,0.9999999999999996,0.0,0.0,300.0,0.0,RC2+Doppler,False,,,,,
A01,A,S0,noiseless,50.0,2.0,0.0,60.0,3.0,0.0,10.0,0.9999999999999996,0.0,0.0,300.0,0.0,RC2+CZ+Doppler,True,1.0,1.0,0.00013855459391042297,2.9745562843117456e-20,0.000138554593910423
A01,A,S0,20.0,50.0,,,60.0,,,10.0,0.9999999999999996,0.0,0.0,300.0,0.0,RC2,True,0.0,1.0,0.0,7.787049740317241e-07,7.787049740317241e-07
A01,A,S0,20.0,50.0,,,60.0,,,10.0,0.9999999999999996,0.0,0.0,300.0,0.0,RC2+CZ,True,0.0,0.875,0.00010939694163849753,0.01149180314534853,0.011601200086987026
A01,A,S0,20.0,50.0,,,60.0,,,10.0,0.9999999999999996,0.0,0.0,300.0,0.0,RC2+Doppler,False,,,,,
A01,A,S0,20.0,50.0,,,60.0,,,10.0,0.9999999999999996,0.0,0.0,300.0,0.0,RC2+CZ+Doppler,True,0.0,0.875,0.00010939694163849753,0.01149180314534853,0.011601200086987026
A01,A,S0,10.0,50.0,,,60.0,,,10.0,0.9999999999999996,0.0,0.0,300.0,0.0,RC2,True,0.0,1.0,0.0,7.024433666172378e-07,7.024433666172378e-07
A01,A,S0,10.0,50.0,,,60.0,,,10.0,0.9999999999999996,0.0,0.0,300.0,0.0,RC2+CZ,True,0.0,0.625,5.907434411304112e-05,0.09817583117690667,0.09823490552101971
A01,A,S0,10.0,50.0,,,60.0,,,10.0,0.9999999999999996,0.0,0.0,300.0,0.0,RC2+Doppler,False,,,,,
A01,A,S0,10.0,50.0,,,60.0,,,10.0,0.9999999999999996,0.0,0.0,300.0,0.0,RC2+CZ+Doppler,True,0.0,0.625,5.907434411304112e-05,0.09817583117690667,0.09823490552101971
A01,A,S0,0.0,50.0,,,60.0,,,10.0,0.9999999999999996,0.0,0.0,300.0,0.0,RC2,True,0.0,1.0,0.0,2.8715114913729323e-06,2.8715114913729323e-06
