origin,kind,ref_name,turn_deg,T_s,sigma_test_deg,ref_r0_km,ref_theta0_deg,ref_v,ref_psi_deg,alt_r0_km,alt_theta0_deg,alt_v,alt_psi_deg,rmse_bearing_deg,delta_r_km,delta_v,delta_psi_deg,delta_theta0_deg,grid_alt_in_accept_rate,mechanism,state_delta_ok,pair_id,select_reason,selected
handoff,search,LIN,0.0,300.0,0.1,50.0,0.0,2.0,0.0,60.0,0.0,3.0,0.0,0.0,10.0,0.9999999999999996,0.0,0.0,1.0,A,True,A01,"selected: mech=A, origin=handoff, rmse=0°, pre-acoustic rule",True
handoff,search,LIN,0.0,600.0,0.1,50.0,0.0,2.0,0.0,60.0,0.0,2.6,0.0,0.0,10.0,0.5999999999999996,0.0,0.0,1.0,A,True,A02,"selected: mech=A, origin=handoff, rmse=0°, pre-acoustic rule",True
handoff,search,LIN,0.0,300.0,0.1,50.0,0.0,2.0,0.0,60.0,0.0,1.7999999999999998,0.0,0.0,10.0,0.2000000000000001,0.0,0.0,1.0,A,True,A03,"selected: mech=A, origin=handoff, rmse=0°, pre-acoustic rule",True
handoff,search,LIN,0.0,1200.0,0.1,50.0,0.0,2.0,0.0,60.0,0.0,2.2,0.0,0.0,10.0,0.1999999999999997,0.0,0.0,1.0,A,True,A04,"selected: mech=A, origin=handoff, rmse=0°, pre-acoustic rule",True
handoff,search,LIN,0.0,300.0,0.1,50.0,0.0,2.0,0.0,57.0,0.0,2.0,0.0,0.0,7.0,2.220446049250313e-16,0.0,0.0,1.0,A,True,A05,"selected: mech=A, origin=handoff, rmse=0°, pre-acoustic rule",True
handoff,search,LIN,0.0,600.0,0.1,50.0,0.0,2.0,0.0,45.0,0.0,1.2,0.0,0.0,5.0,0.8,0.0,0.0,1.0,A,True,A06,"selected: mech=A, origin=handoff, rmse=0°, pre-acoustic rule",True
handoff,search,LIN,0.0,600.0,0.1,50.0,0.0,2.0,0.0,55.0,0.0,2.3999999999999995,0.0,0.0,5.0,0.3999999999999994,0.0,0.0,1.0,A,True,A07,"selected: mech=A, origin=handoff, rmse=0°, pre-acoustic rule",True
handoff,search,LIN,0.0,1200.0,0.1,50.0,0.0,2.0,0.0,45.0,0.0,2.3999999999999995,0.0,0.0,5.0,0.3999999999999994,0.0,0.0,1.0,A,True,A08,"selected: mech=A, origin=handoff, rmse=0°, pre-acoustic rule",True
handoff,search,LIN,0.0,300.0,0.1,50.0,0.0,2.0,0.0,54.0,0.0,1.4,0.0,0.0,4.0,0.6000000000000001,0.0,0.0,1.0,A,True,A09,"selected: mech=A, origin=handoff, rmse=0°, pre-acoustic rule",True
handoff,dedicated,RS2,0.0,60.0,0.1,50.0,0.0,2.0,0.0,46.0,0.0,1.5,0.0,0.0,4.0,0.5,0.0,0.0,1.0,A,True,A10,"selected: mech=A, origin=handoff, rmse=0°, pre-acoustic rule",True
