scenario,trial,noise,layer,truth_r_km,truth_theta_deg,truth_z,truth_v,truth_psi_deg,est_r_km,est_theta_deg,est_v,est_psi_deg,est_z,err_r_km,err_theta_deg,err_v,err_psi_deg,err_z,abs_err_r_km,abs_err_theta_deg,abs_err_v,abs_err_psi_deg,abs_err_z,ci_r_km,ci_theta_deg,ci_v,ci_psi_deg,ci_z_m,cov_r,cov_theta,cov_v,cov_psi,cov_z,n_acc
B-L,0,0,M0_prior,48.50547258634804,-0.220325878380486,182.84933717018964,1.96701276179482,1.933787314800107,50.0,0.0,2.0,0.0,200.0,1.4945274136519586,0.2203258783804774,0.0329872382051799,-1.933787314800101,17.150662829810358,1.4945274136519586,0.2203258783804774,0.0329872382051799,1.933787314800101,17.150662829810358,15.0,10.0,2.0,30.0,100.0,True,True,True,True,True,61659
B-L,0,0,M1_RC2,48.50547258634804,-0.220325878380486,182.84933717018964,1.96701276179482,1.933787314800107,55.23625,-0.0699999999999999,2.729125,-7.29125,,6.730777413651957,0.1503258783804817,0.7621122382051797,-9.225037314800112,,6.730777413651957,0.1503258783804817,0.7621122382051797,9.225037314800112,,15.0,0.0,1.6,6.000000000000001,,True,False,True,False,True,651
B-L,0,0,M2_RC2_RC3,48.50547258634804,-0.220325878380486,182.84933717018964,1.96701276179482,1.933787314800107,48.5,0.0,2.872,-4.0,168.8,-0.0054725863480413,0.2203258783804774,0.9049872382051798,-5.933787314800107,-14.04933717018963,0.0054725863480413,0.2203258783804774,0.9049872382051798,5.933787314800107,14.04933717018963,0.0,0.0,0.0,0.0,0.0,False,False,False,False,False,1
B-L,0,1,M0_prior,48.50547258634804,-0.220325878380486,182.84933717018964,1.96701276179482,1.933787314800107,50.0,0.0,2.0,0.0,200.0,1.4945274136519586,0.2203258783804774,0.0329872382051799,-1.933787314800101,17.150662829810358,1.4945274136519586,0.2203258783804774,0.0329872382051799,1.933787314800101,17.150662829810358,15.0,10.0,2.0,30.0,100.0,True,True,True,True,True,61659
B-L,0,1,M1_RC2,48.50547258634804,-0.220325878380486,182.84933717018964,1.96701276179482,1.933787314800107,47.73625,-0.0699999999999999,2.804125,-7.29125,,-0.7692225863480431,0.1503258783804817,0.8371122382051799,-9.225037314800112,,0.7692225863480431,0.1503258783804817,0.8371122382051799,9.225037314800112,,15.0,0.0,1.4,6.000000000000001,,True,False,True,False,True,466
B-L,0,1,M2_RC2_RC3,48.50547258634804,-0.220325878380486,182.84933717018964,1.96701276179482,1.933787314800107,52.9,0.0,2.768,-8.799999999999999,192.0,4.394527413651957,0.2203258783804774,0.8009872382051797,-10.733787314800113,9.150662829810358,4.394527413651957,0.2203258783804774,0.8009872382051797,10.733787314800113,9.150662829810358,6.0,0.0,0.6000000000000001,4.000000000000001,40.0,True,False,False,False,True,20
B-L,0,2,M0_prior,48.50547258634804,-0.220325878380486,182.84933717018964,1.96701276179482,1.933787314800107,50.0,0.0,2.0,0.0,200.0,1.4945274136519586,0.2203258783804774,0.0329872382051799,-1.933787314800101,17.150662829810358,1.4945274136519586,0.2203258783804774,0.0329872382051799,1.933787314800101,17.150662829810358,15.0,10.0,2.0,30.0,100.0,True,True,True,True,True,61659
B-L,0,2,M1_RC2,48.50547258634804,-0.220325878380486,182.84933717018964,1.96701276179482,1.933787314800107,52.98625,-0.0699999999999999,2.729125,-9.29125,,4.480777413651957,0.1503258783804817,0.7621122382051797,-11.225037314800115,,4.480777413651957,0.1503258783804817,0.7621122382051797,11.225037314800115,,15.0,0.0,1.2,4.000000000000001,,True,False,True,False,True,345
B-L,0,2,M2_RC2_RC3,48.50547258634804,-0.220325878380486,182.84933717018964,1.96701276179482,1.933787314800107,47.4,-0.12,2.872,-7.52,208.8,-1.1054725863480428,0.1003258783804848,0.9049872382051798,-9.453787314800117,25.95066282981037,1.1054725863480428,0.1003258783804848,0.9049872382051798,9.453787314800117,25.95066282981037,7.0,0.0,0.4000000000000003,3.999999999999999,40.0,True,False,False,False,True,163
B-L,0,3,M0_prior,48.50547258634804,-0.220325878380486,182.84933717018964,1.96701276179482,1.933787314800107,50.0,0.0,2.0,0.0,200.0,1.4945274136519586,0.2203258783804774,0.0329872382051799,-1.933787314800101,17.150662829810358,1.4945274136519586,0.2203258783804774,0.0329872382051799,1.933787314800101,17.150662829810358,15.0,10.0,2.0,30.0,100.0,True,True,True,True,True,61659
B-L,0,3,M1_RC2,48.50547258634804,-0.220325878380486,182.84933717018964,1.96701276179482,1.933787314800107,45.98625,-0.0699999999999999,2.729125,-7.29125,,-2.519222586348043,0.1503258783804817,0.7621122382051797,-9.225037314800112,,2.519222586348043,0.1503258783804817,0.7621122382051797,9.225037314800112,,15.0,0.0,1.4,6.000000000000001,,True,False,True,False,True,437
B-L,0,3,M2_RC2_RC3,48.50547258634804,-0.220325878380486,182.84933717018964,1.96701276179482,1.933787314800107,47.5,-0.12,1.152,-12.72,192.0,-1.0054725863480414,0.1003258783804848,-0.8150127617948202,-14.653787314800098,9.150662829810358,1.0054725863480414,0.1003258783804848,0.8150127617948202,14.653787314800098,9.150662829810358,3.5,0.0,0.1999999999999999,4.000000000000001,40.0,False,False,False,False,True,33
B-L,0,4,M0_prior,48.50547258634804,-0.220325878380486,182.84933717018964,1.96701276179482,1.933787314800107,50.0,0.0,2.0,0.0,200.0,1.4945274136519586,0.2203258783804774,0.0329872382051799,-1.933787314800101,17.150662829810358,1.4945274136519586,0.2203258783804774,0.0329872382051799,1.933787314800101,17.150662829810358,15.0,10.0,2.0,30.0,100.0,True,True,True,True,True,61659
B-L,0,4,M1_RC2,48.50547258634804,-0.220325878380486,182.84933717018964,1.96701276179482,1.933787314800107,46.23625,-0.0699999999999999,2.729125,-7.29125,,-2.269222586348043,0.1503258783804817,0.7621122382051797,-9.225037314800112,,2.269222586348043,0.1503258783804817,0.7621122382051797,9.225037314800112,,15.0,0.0,1.4,6.000000000000001,,True,False,True,False,True,443
B-L,0,4,M2_RC2_RC3,48.50547258634804,-0.220325878380486,182.84933717018964,1.96701276179482,1.933787314800107,48.1,0.0,1.7999999999999998,-11.52,212.0,-0.4054725863480399,0.2203258783804774,-0.1670127617948202,-13.453787314800095,29.15066282981036,0.4054725863480399,0.2203258783804774,0.1670127617948202,13.453787314800095,29.15066282981036,3.0,0.0,0.0,0.0,40.0,True,False,False,False,True,4
B-L,0,5,M0_prior,48.50547258634804,-0.220325878380486,182.84933717018964,1.96701276179482,1.933787314800107,50.0,0.0,2.0,0.0,200.0,1.4945274136519586,0.2203258783804774,0.0329872382051799,-1.933787314800101,17.150662829810358,1.4945274136519586,0.2203258783804774,0.0329872382051799,1.933787314800101,17.150662829810358,15.0,10.0,2.0,30.0,100.0,True,True,True,True,True,61659
B-L,0,5,M1_RC2,48.50547258634804,-0.220325878380486,182.84933717018964,1.96701276179482,1.933787314800107,47.48625,-0.0699999999999999,2.729125,-7.29125,,-1.019222586348043,0.1503258783804817,0.7621122382051797,-9.225037314800112,,1.019222586348043,0.1503258783804817,0.7621122382051797,9.225037314800112,,15.0,0.0,1.4,6.000000000000001,,True,False,True,False,True,473
B-L,0,5,M2_RC2_RC3,48.50547258634804,-0.220325878380486,182.84933717018964,1.96701276179482,1.933787314800107,49.5,0.0,1.7999999999999998,-10.0,192.0,0.9945274136519586,0.2203258783804774,-0.1670127617948202,-11.933787314800115,9.150662829810358,0.9945274136519586,0.2203258783804774,0.1670127617948202,11.933787314800115,9.150662829810358,6.5,0.0,0.3999999999999999,4.000000000000001,40.0,True,False,True,False,True,8
B-L,0,6,M0_prior,48.50547258634804,-0.220325878380486,182.84933717018964,1.96701276179482,1.933787314800107,50.0,0.0,2.0,0.0,200.0,1.4945274136519586,0.2203258783804774,0.0329872382051799,-1.933787314800101,17.150662829810358,1.4945274136519586,0.2203258783804774,0.0329872382051799,1.933787314800101,17.150662829810358,15.0,10.0,2.0,30.0,100.0,True,True,True,True,True,61659
B-L,0,6,M1_RC2,48.50547258634804,-0.220325878380486,182.84933717018964,1.96701276179482,1.933787314800107,55.98625,-0.0699999999999999,2.729125,-7.29125,,7.480777413651957,0.1503258783804817,0.7621122382051797,-9.225037314800112,,7.480777413651957,0.1503258783804817,0.7621122382051797,9.225037314800112,,15.0,0.0,1.6,6.000000000000001,,True,False,True,False,True,668
B-L,0,6,M2_RC2_RC3,48.50547258634804,-0.220325878380486,182.84933717018964,1.96701276179482,1.933787314800107,45.5,0.0,2.0,-9.28,212.0,-3.0054725863480414,0.2203258783804774,0.0329872382051796,-11.21378731480011,29.15066282981036,3.0054725863480414,0.2203258783804774,0.0329872382051796,11.21378731480011,29.15066282981036,1.5,0.0,0.0,6.000000000000001,40.0,False,False,False,False,True,22
B-L,0,7,M0_prior,48.50547258634804,-0.220325878380486,182.84933717018964,1.96701276179482,1.933787314800107,50.0,0.0,2.0,0.0,200.0,1.4945274136519586,0.2203258783804774,0.0329872382051799,-1.933787314800101,17.150662829810358,1.4945274136519586,0.2203258783804774,0.0329872382051799,1.933787314800101,17.150662829810358,15.0,10.0,2.0,30.0,100.0,True,True,True,True,True,61659
B-L,0,7,M1_RC2,48.50547258634804,-0.220325878380486,182.84933717018964,1.96701276179482,1.933787314800107,45.23625,-0.43,2.879125,10.541250000000002,,-3.269222586348043,-0.2096741216195213,0.9121122382051796,8.607462685199886,,3.269222586348043,0.2096741216195213,0.9121122382051796,8.607462685199886,,10.0,0.0,0.4000000000000003,2.0000000000000013,,True,False,False,False,True,42
B-L,0,7,M2_RC2_RC3,48.50547258634804,-0.220325878380486,182.84933717018964,1.96701276179482,1.933787314800107,45.4,-0.38,2.152,12.72,192.0,-3.105472586348043,-0.1596741216195244,0.1849872382051796,10.786212685199896,9.150662829810358,3.105472586348043,0.1596741216195244,0.1849872382051796,10.786212685199896,9.150662829810358,13.0,0.0,0.6000000000000001,0.0,20.0,True,False,False,False,False,5
B-L,0,8,M0_prior,48.50547258634804,-0.220325878380486,182.84933717018964,1.96701276179482,1.933787314800107,50.0,0.0,2.0,0.0,200.0,1.4945274136519586,0.2203258783804774,0.0329872382051799,-1.933787314800101,17.150662829810358,1.4945274136519586,0.2203258783804774,0.0329872382051799,1.933787314800101,17.150662829810358,15.0,10.0,2.0,30.0,100.0,True,True,True,True,True,61659
B-L,0,8,M1_RC2,48.50547258634804,-0.220325878380486,182.84933717018964,1.96701276179482,1.933787314800107,45.23625,-0.0699999999999999,2.729125,-7.29125,,-3.269222586348043,0.1503258783804817,0.7621122382051797,-9.225037314800112,,3.269222586348043,0.1503258783804817,0.7621122382051797,9.225037314800112,,15.0,0.0,1.4,6.000000000000001,,True,False,True,False,True,423
B-L,0,8,M2_RC2_RC3,48.50547258634804,-0.220325878380486,182.84933717018964,1.96701276179482,1.933787314800107,57.94,0.0,2.2,-11.2,212.0,9.434527413651956,0.2203258783804774,0.2329872382051796,-13.133787314800117,29.15066282981036,9.434527413651956,0.2203258783804774,0.2329872382051796,13.133787314800117,29.15066282981036,3.0,0.0,0.1999999999999997,2.0000000000000013,20.0,False,False,False,False,False,8
B-L,0,9,M0_prior,48.50547258634804,-0.220325878380486,182.84933717018964,1.96701276179482,1.933787314800107,50.0,0.0,2.0,0.0,200.0,1.4945274136519586,0.2203258783804774,0.0329872382051799,-1.933787314800101,17.150662829810358,1.4945274136519586,0.2203258783804774,0.0329872382051799,1.933787314800101,17.150662829810358,15.0,10.0,2.0,30.0,100.0,True,True,True,True,True,61659
B-L,0,9,M1_RC2,48.50547258634804,-0.220325878380486,182.84933717018964,1.96701276179482,1.933787314800107,45.73625,-0.0699999999999999,2.804125,-7.29125,,-2.769222586348043,0.1503258783804817,0.8371122382051799,-9.225037314800112,,2.769222586348043,0.1503258783804817,0.8371122382051799,9.225037314800112,,15.0,0.0,1.4,6.000000000000001,,True,False,True,False,True,409
B-L,0,9,M2_RC2_RC3,48.50547258634804,-0.220325878380486,182.84933717018964,1.96701276179482,1.933787314800107,50.9,-0.12,2.552,-8.319999999999999,208.8,2.394527413651957,0.1003258783804848,0.5849872382051795,-10.253787314800118,25.95066282981037,2.394527413651957,0.1003258783804848,0.5849872382051795,10.253787314800118,25.95066282981037,7.5,0.0,0.6000000000000001,4.000000000000001,40.0,True,False,False,False,True,226
B-L,0,10,M0_prior,48.50547258634804,-0.220325878380486,182.84933717018964,1.96701276179482,1.933787314800107,50.0,0.0,2.0,0.0,200.0,1.4945274136519586,0.2203258783804774,0.0329872382051799,-1.933787314800101,17.150662829810358,1.4945274136519586,0.2203258783804774,0.0329872382051799,1.933787314800101,17.150662829810358,15.0,10.0,2.0,30.0,100.0,True,True,True,True,True,61659
B-L,0,10,M1_RC2,48.50547258634804,-0.220325878380486,182.84933717018964,1.96701276179482,1.933787314800107,48.23625,-0.0699999999999999,2.729125,-7.29125,,-0.2692225863480431,0.1503258783804817,0.7621122382051797,-9.225037314800112,,0.2692225863480431,0.1503258783804817,0.7621122382051797,9.225037314800112,,15.0,0.0,1.4,6.000000000000001,,True,False,True,False,True,495
B-L,0,10,M2_RC2_RC3,48.50547258634804,-0.220325878380486,182.84933717018964,1.96701276179482,1.933787314800107,56.34,-0.38,2.552,13.68,212.0,7.834527413651962,-0.1596741216195244,0.5849872382051795,11.746212685199888,29.15066282981036,7.834527413651962,0.1596741216195244,0.5849872382051795,11.746212685199888,29.15066282981036,4.0,0.0,0.4000000000000003,0.0,40.0,False,False,False,False,True,9
B-L,0,11,M0_prior,48.50547258634804,-0.220325878380486,182.84933717018964,1.96701276179482,1.933787314800107,50.0,0.0,2.0,0.0,200.0,1.4945274136519586,0.2203258783804774,0.0329872382051799,-1.933787314800101,17.150662829810358,1.4945274136519586,0.2203258783804774,0.0329872382051799,1.933787314800101,17.150662829810358,15.0,10.0,2.0,30.0,100.0,True,True,True,True,True,61659
B-L,0,11,M1_RC2,48.50547258634804,-0.220325878380486,182.84933717018964,1.96701276179482,1.933787314800107,45.23625,-0.0699999999999999,2.729125,-7.29125,,-3.269222586348043,0.1503258783804817,0.7621122382051797,-9.225037314800112,,3.269222586348043,0.1503258783804817,0.7621122382051797,9.225037314800112,,15.0,0.0,1.4,6.000000000000001,,True,False,True,False,True,421
B-L,0,11,M2_RC2_RC3,48.50547258634804,-0.220325878380486,182.84933717018964,1.96701276179482,1.933787314800107,57.0,-0.5,2.8,13.68,192.0,8.494527413651959,-0.2796741216195169,0.8329872382051797,11.746212685199888,9.150662829810358,8.494527413651959,0.2796741216195169,0.8329872382051797,11.746212685199888,9.150662829810358,2.5,0.0,0.2000000000000001,2.0000000000000013,40.0,False,False,False,False,True,4
B-L,0,12,M0_prior,48.50547258634804,-0.220325878380486,182.84933717018964,1.96701276179482,1.933787314800107,50.0,0.0,2.0,0.0,200.0,1.4945274136519586,0.2203258783804774,0.0329872382051799,-1.933787314800101,17.150662829810358,1.4945274136519586,0.2203258783804774,0.0329872382051799,1.933787314800101,17.150662829810358,15.0,10.0,2.0,30.0,100.0,True,True,True,True,True,61659
B-L,0,12,M1_RC2,48.50547258634804,-0.220325878380486,182.84933717018964,1.96701276179482,1.933787314800107,46.98625,-0.0455,2.729125,-7.29125,,-1.519222586348043,0.1748258783804878,0.7621122382051797,-9.225037314800112,,1.519222586348043,0.1748258783804878,0.7621122382051797,9.225037314800112,,15.0,0.0,1.4,6.000000000000001,,True,False,True,False,True,463
B-L,0,12,M2_RC2_RC3,48.50547258634804,-0.220325878380486,182.84933717018964,1.96701276179482,1.933787314800107,47.34,0.0,1.2799999999999998,-13.68,192.0,-1.165472586348038,0.2203258783804774,-0.6870127617948203,-15.613787314800115,9.150662829810358,1.165472586348038,0.2203258783804774,0.6870127617948203,15.613787314800115,9.150662829810358,3.0,0.0,0.3999999999999999,4.000000000000001,40.0,False,False,False,False,True,15
B-L,0,13,M0_prior,48.50547258634804,-0.220325878380486,182.84933717018964,1.96701276179482,1.933787314800107,50.0,0.0,2.0,0.0,200.0,1.4945274136519586,0.2203258783804774,0.0329872382051799,-1.933787314800101,17.150662829810358,1.4945274136519586,0.2203258783804774,0.0329872382051799,1.933787314800101,17.150662829810358,15.0,10.0,2.0,30.0,100.0,True,True,True,True,True,61659
B-L,0,13,M1_RC2,48.50547258634804,-0.220325878380486,182.84933717018964,1.96701276179482,1.933787314800107,52.73625,-0.0699999999999999,2.729125,-9.29125,,4.230777413651957,0.1503258783804817,0.7621122382051797,-11.225037314800115,,4.230777413651957,0.1503258783804817,0.7621122382051797,11.225037314800115,,15.0,0.0,1.2,4.000000000000001,,True,False,True,False,True,337
B-L,0,13,M2_RC2_RC3,48.50547258634804,-0.220325878380486,182.84933717018964,1.96701276179482,1.933787314800107,53.0,-0.12,1.432,-12.72,212.0,4.494527413651959,0.1003258783804848,-0.5350127617948202,-14.653787314800098,29.15066282981036,4.494527413651959,0.1003258783804848,0.5350127617948202,14.653787314800098,29.15066282981036,5.0,0.0,0.5999999999999999,2.0000000000000013,40.0,False,False,False,False,True,54
B-L,0,14,M0_prior,48.50547258634804,-0.220325878380486,182.84933717018964,1.96701276179482,1.933787314800107,50.0,0.0,2.0,0.0,200.0,1.4945274136519586,0.2203258783804774,0.0329872382051799,-1.933787314800101,17.150662829810358,1.4945274136519586,0.2203258783804774,0.0329872382051799,1.933787314800101,17.150662829810358,15.0,10.0,2.0,30.0,100.0,True,True,True,True,True,61659
B-L,0,14,M1_RC2,48.50547258634804,-0.220325878380486,182.84933717018964,1.96701276179482,1.933787314800107,51.73625,-0.0699999999999999,2.879125,-8.54125,,3.230777413651957,0.1503258783804817,0.9121122382051796,-10.47503731480011,,3.230777413651957,0.1503258783804817,0.9121122382051796,10.47503731480011,,15.0,0.0,1.2,4.000000000000001,,True,False,True,False,True,339
B-L,0,14,M2_RC2_RC3,48.50547258634804,-0.220325878380486,182.84933717018964,1.96701276179482,1.933787314800107,58.9,-0.5,2.72,13.68,212.0,10.394527413651955,-0.2796741216195169,0.7529872382051797,11.746212685199888,29.15066282981036,10.394527413651955,0.2796741216195169,0.7529872382051797,11.746212685199888,29.15066282981036,2.0,0.0,0.2000000000000001,2.0000000000000013,0.0,False,False,False,False,False,5
