slice,dim,value,J_cz
1d,r,45.0,4282.107950372966
1d,r,45.5,4277.719791918878
1d,r,46.0,4287.172638898896
1d,r,46.5,4305.00347309168
1d,r,47.0,4312.345701011193
1d,r,47.5,4310.973519304038
1d,r,48.0,4308.380775786387
1d,r,48.5,4306.877499134305
1d,r,49.0,4306.643111422441
1d,r,49.5,4307.566512143822
1d,r,50.0,4309.671187420053
1d,r,50.5,4313.162975948462
1d,r,51.0,4318.235263964257
1d,r,51.5,4324.092816825503
1d,r,52.0,4326.787863323393
1d,r,52.5,4318.7115482864
1d,r,53.0,4301.831001424645
1d,r,53.5,4291.481761449539
1d,r,54.0,4286.912139089261
1d,r,54.5,4284.61245791301
1d,r,55.0,4283.537114362818
1d,r,55.5,4283.901137884418
1d,r,56.0,4285.859970018253
1d,r,56.5,4288.47631284018
1d,r,57.0,4290.540499428198
1d,r,57.5,4292.013334096677
1d,r,58.0,4293.656196437268
1d,r,58.5,4296.160443411975
1d,r,59.0,4299.494900003654
1d,r,59.5,4301.120876361257
1d,r,60.0,4294.664816116734
1d,v,1.2,4357.568709769785
1d,v,1.3,4357.577407177701
1d,v,1.4,4357.588570804822
1d,v,1.5,4357.604103621478
1d,v,1.5999999999999999,4357.628040126048
1d,v,1.7,4357.667878895847
1d,v,1.7999999999999998,4357.7012769335
1d,v,1.9,4354.428349990678
1d,v,2.0,4309.671187420053
1d,v,2.0999999999999996,3835.128052691943
1d,v,2.1999999999999997,3840.181731277447
1d,v,2.3,3841.0746729657694
1d,v,2.4,3841.4080958877516
1d,v,2.5,3841.57183313256
1d,v,2.5999999999999996,3841.663641838569
1d,v,2.6999999999999997,3841.718597566517
1d,v,2.8,3841.7521881684256
1d,z,160.0,4310.028829464815
1d,z,165.0,4310.028829464815
1d,z,170.0,4306.706432284198
1d,z,175.0,4306.706432284198
1d,z,180.0,4306.706432284198
1d,z,185.0,4306.706432284198
1d,z,190.0,4306.706432284198
1d,z,195.0,4309.671187420053
1d,z,200.0,4309.671187420053
1d,z,205.0,4309.671187420053
1d,z,210.0,4309.671187420053
1d,z,215.0,4340.379502999923
1d,z,220.0,4340.379502999923
1d,z,225.0,4340.379502999923
1d,z,230.0,4340.379502999923
1d,z,235.0,4340.379502999923
1d,z,240.0,4269.939531817259
1d,psi,-12.0,4309.859901360058
1d,psi,-11.0,4309.823132606503
1d,psi,-10.0,4309.789685032631
1d,psi,-9.0,4309.7595244324
1d,psi,-8.0,4309.732620057351
1d,psi,-7.0,4309.708944554142
1d,psi,-6.0,4309.688473912661
1d,psi,-5.0,4309.671187420053
1d,psi,-4.0,4309.657067613364
1d,psi,-3.0,4309.6461002574715
1d,psi,-2.0,4309.638274305048
1d,psi,-1.0,4309.633581853723
1d,psi,0.0,4100.000000000001
1d,psi,1.0,4309.633581853723
1d,psi,2.0,4309.638274305048
1d,psi,3.0,4309.6461002574715
1d,psi,4.0,4309.657067613364
1d,psi,5.0,4309.671187420053
1d,psi,6.0,4309.688473912661
1d,psi,7.0,4309.708944554142
1d,psi,8.0,4309.732620057351
1d,psi,9.0,4309.7595244324
1d,psi,10.0,4309.789685032631
1d,psi,11.0,4309.823132606503
1d,psi,12.0,4309.859901360058
1d,theta,-4.0,3699.6641999463277
1d,theta,-3.5,3683.338757727981
1d,theta,-3.0,3695.9574515949134
1d,theta,-2.5,3916.7643047774413
1d,theta,-2.0,3916.9456151828094
1d,theta,-1.5,3917.191333117886
1d,theta,-1.0,3917.6421001087065
1d,theta,-0.5,3919.1310801678696
1d,theta,0.0,4309.671187420053
1d,theta,0.5,4285.091345052751
1d,theta,1.0,4284.240919933981
1d,theta,1.5,4283.899829204711
1d,theta,2.0,4283.693530138879
1d,theta,2.5,4283.5329461152205
1d,theta,3.0,4504.094033087534
1d,theta,3.5,4519.2921070341035
1d,theta,4.0,4293.041960511704
