r_km,z_m,J
45.0,150.0,1.8194877382526897e-08
45.25,150.0,1.888861755894311e-08
45.5,150.0,1.9540270956852623e-08
45.75,150.0,2.018664368996781e-08
46.0,150.0,2.0967700464780137e-08
46.25,150.0,2.1985401277291317e-08
46.5,150.0,2.321279168882029e-08
46.75,150.0,2.4520311114883953e-08
47.0,150.0,2.5815761639513823e-08
47.25,150.0,2.7174730909962364e-08
47.5,150.0,2.8785171801715137e-08
47.75,150.0,3.076940480184476e-08
48.0,150.0,3.3077457328722915e-08
48.25,150.0,3.554034000430306e-08
48.5,150.0,3.8070979813120687e-08
48.75,150.0,4.082191673582258e-08
49.0,150.0,4.407863385402777e-08
49.25,150.0,4.8001304597811156e-08
49.5,150.0,5.248403955881997e-08
49.75,150.0,5.7268859099401936e-08
50.0,150.0,6.227640869660434e-08
50.25,150.0,6.781483685713852e-08
50.5,150.0,7.434531656969057e-08
50.75,150.0,8.202713963623154e-08
51.0,150.0,9.049867311095028e-08
51.25,150.0,9.915581777875104e-08
51.5,150.0,1.0780724413184117e-07
51.75,150.0,1.1697796165055507e-07
52.0,150.0,1.2729573883873968e-07
52.25,150.0,1.3849961633116692e-07
52.5,150.0,1.4905510314910941e-07
52.75,150.0,1.5696929533959292e-07
53.0,150.0,1.6142191272550122e-07
53.25,150.0,1.6350052134406212e-07
53.5,150.0,1.6499707422568122e-07
53.75,150.0,1.6660090240705472e-07
54.0,150.0,1.6725771012637836e-07
54.25,150.0,1.6516496814666937e-07
54.5,150.0,1.5954618737268333e-07
54.75,150.0,1.5142947940027796e-07
55.0,150.0,1.4266597014866989e-07
55.25,150.0,1.3448659030856902e-07
55.5,150.0,1.269780041113222e-07
55.75,150.0,1.1959238088721236e-07
56.0,150.0,1.1200842031655611e-07
56.25,150.0,1.0450736731559829e-07
56.5,150.0,9.76260036145149e-08
56.75,150.0,9.163467229456046e-08
57.0,150.0,8.637343551498589e-08
57.25,150.0,8.149160857229276e-08
57.5,150.0,7.68029732034492e-08
57.75,150.0,7.240619193105147e-08
58.0,150.0,6.849833877886624e-08
58.25,150.0,6.51366027781819e-08
58.5,150.0,6.218047443606878e-08
58.75,150.0,5.9427319509808285e-08
59.0,150.0,5.678967440747584e-08
59.25,150.0,5.4335904664526424e-08
59.5,150.0,5.217308385319086e-08
59.75,150.0,5.03166331933258e-08
60.0,150.0,4.8669884011864895e-08
45.0,152.5,1.8029527093510467e-08
45.25,152.5,1.8674468638124608e-08
45.5,152.5,1.9301537923510637e-08
45.75,152.5,2.0024947922081537e-08
46.0,152.5,2.0955730706262443e-08
46.25,152.5,2.209884275572449e-08
46.5,152.5,2.3351449329744867e-08
46.75,152.5,2.4611765181425937e-08
47.0,152.5,2.591377423755148e-08
47.25,152.5,2.741802562766793e-08
47.5,152.5,2.9259713096863038e-08
47.75,152.5,3.142799998023804e-08
48.0,152.5,3.3783434383316546e-08
48.25,152.5,3.622110267276213e-08
48.5,152.5,3.8838649518702084e-08
48.75,152.5,4.188832614104854e-08
49.0,152.5,4.5550930583004856e-08
49.25,152.5,4.977592948929299e-08
49.5,152.5,5.434224159550638e-08
49.75,152.5,5.913620881869974e-08
50.0,152.5,6.438261790364663e-08
50.25,152.5,7.049906591838351e-08
50.5,152.5,7.769017773551212e-08
50.75,152.5,8.56969055718082e-08
51.0,152.5,9.397879840999934e-08
51.25,152.5,1.0227943669782746e-07
51.5,152.5,1.10982233070267e-07
51.75,152.5,1.206652143759257e-07
52.0,152.5,1.312047415158446e-07
52.25,152.5,1.413250196868887e-07
52.5,152.5,1.49202828314543e-07
52.75,152.5,1.539037279840727e-07
53.0,152.5,1.5621028937040649e-07
53.25,152.5,1.5772465888908016e-07
53.5,152.5,1.5921944462871096e-07
53.75,152.5,1.5990097945728365e-07
54.0,152.5,1.5816738718754664e-07
54.25,152.5,1.531912691143944e-07
54.5,152.5,1.4576011886369145e-07
54.75,152.5,1.3753018335282974e-07
55.0,152.5,1.297107898867722e-07
55.25,152.5,1.2249064273994748e-07
55.5,152.5,1.1542511624273999e-07
55.75,152.5,1.0820704599012743e-07
56.0,152.5,1.0105495595880143e-07
56.25,152.5,9.444699078375862e-08
56.5,152.5,8.865048450878987e-08
56.75,152.5,8.354756841910671e-08
57.0,152.5,7.883090868965326e-08
57.25,152.5,7.432225679337989e-08
57.5,152.5,7.009540592406438e-08
57.75,152.5,6.63221916274992e-08
58.0,152.5,6.305820088314817e-08
58.25,152.5,6.018295328757972e-08
58.5,152.5,5.75156295923307e-08
58.75,152.5,5.4973243068801025e-08
59.0,152.5,5.2610922063323073e-08
59.25,152.5,5.052108931202781e-08
59.5,152.5,4.871718539689596e-08
59.75,152.5,4.711372392218749e-08
60.0,152.5,4.5604991005809836e-08
45.0,155.0,1.787010428522251e-08
45.25,155.0,1.8481790986513147e-08
45.5,155.0,1.9155969810391582e-08
45.75,155.0,2.0006501344482785e-08
46.0,155.0,2.1066389965795906e-08
46.25,155.0,2.226061601717788e-08
46.5,155.0,2.3484826305875117e-08
46.75,155.0,2.473650262402316e-08
47.0,155.0,2.6145878462280336e-08
47.25,155.0,2.785507424718503e-08
47.5,155.0,2.98882941729417e-08
47.75,155.0,3.2136775462987544e-08
48.0,155.0,3.4485200806066985e-08
48.25,155.0,3.698184380951375e-08
48.5,155.0,3.9843289334484666e-08
48.75,155.0,4.326477265337303e-08
49.0,155.0,4.724601065930756e-08
49.25,155.0,5.160377769541924e-08
49.5,155.0,5.6199072506757375e-08
49.75,155.0,6.118104955987747e-08
50.0,155.0,6.692255938300917e-08
50.25,155.0,7.366607923664503e-08
50.5,155.0,8.124643724460867e-08
50.75,155.0,8.918575811200924e-08
51.0,155.0,9.717467042147376e-08
51.25,155.0,1.054689207080628e-07
51.5,155.0,1.1459878068720286e-07
51.75,155.0,1.2456473119648592e-07
52.0,155.0,1.3432507151023287e-07
52.25,155.0,1.4220813016052603e-07
52.5,155.0,1.471728252600002e-07
52.75,155.0,1.4972076545216595e-07
53.0,155.0,1.5128180819168335e-07
53.25,155.0,1.5271067610456157e-07
53.5,155.0,1.5345291548563011e-07
53.75,155.0,1.520806431898336e-07
54.0,155.0,1.477084121681571e-07
54.25,155.0,1.4090031297264716e-07
54.5,155.0,1.331415708794026e-07
54.75,155.0,1.256332285981543e-07
55.0,155.0,1.1866295634987978e-07
55.25,155.0,1.1187692894321088e-07
55.5,155.0,1.0497491842453854e-07
55.75,155.0,9.81176278003204e-08
56.0,155.0,9.173502812931389e-08
56.25,155.0,8.609750046240094e-08
56.5,155.0,8.112657190473271e-08
56.75,155.0,7.655033740228134e-08
57.0,155.0,7.219339059894025e-08
57.25,155.0,6.810665476031375e-08
57.5,155.0,6.444244204928395e-08
57.75,155.0,6.12580968173404e-08
58.0,155.0,5.8451261386593956e-08
58.25,155.0,5.585778661831853e-08
58.5,155.0,5.339585307240213e-08
58.75,155.0,5.110872280944534e-08
59.0,155.0,4.907806561149641e-08
59.25,155.0,4.7317666673762915e-08
59.5,155.0,4.575189316291528e-08
59.75,155.0,4.4284749201040086e-08
60.0,155.0,4.2882700390656225e-08
45.0,157.5,1.753363554346521e-08
45.25,157.5,1.8162972348356732e-08
45.5,157.5,1.8929973144565793e-08
45.75,157.5,1.9888341418194955e-08
46.0,157.5,2.099649054621011e-08
46.25,157.5,2.216295080792463e-08
