f_hz,r_km,beta_eff,L_detrend
150.0,45.0,1.5317544162994767,0.1880643869392804
150.0,45.25,1.67528706414162,0.2329820471156241
150.0,45.5,1.914460316346416,0.2729817524789864
150.0,45.75,2.194983320558945,0.30779851720239115
150.0,46.0,2.5445232107528324,0.33729927330201726
150.0,46.25,3.006875639243717,0.3615332778708682
150.0,46.5,3.67398419337206,0.38069434868979757
150.0,46.75,4.79128151547106,0.39499871429591016
150.0,47.0,7.204937510039784,0.4046016924413096
150.0,47.25,16.572332742482466,0.409652502256852
150.0,47.5,,0.41041117536577554
150.0,47.75,-7.888609334222961,0.40726713164220363
150.0,48.0,-4.092051682449855,0.40060822028187615
150.0,48.25,-2.5413857264183806,0.3906633154817214
150.0,48.5,-1.687528604024549,0.3775024333761934
150.0,48.75,-1.153894766820978,0.3612121419116221
150.0,49.0,-0.7935372862270024,0.3420555011382096
150.0,49.25,-0.5313730333902558,0.32044323585570994
150.0,49.5,-0.32654740652250125,0.29674474751431573
150.0,49.75,-0.15875799296723198,0.27114291422195674
150.0,50.0,-0.018382443866700994,0.24369398559671324
150.0,50.25,0.10109810482697187,0.2145148014108102
150.0,50.5,0.20572877690174568,0.18388230714853948
150.0,50.75,0.29997204079800366,0.1521442484276856
150.0,51.0,0.3857888534981952,0.11955173727937174
150.0,51.25,0.46408323105623617,0.08621360915475407
150.0,51.5,0.5369567216418236,0.05222581168812268
150.0,51.75,0.6078302703780657,0.017817650944321306
150.0,52.0,0.6792883745678318,-0.016654356647074264
150.0,52.25,0.751344726523262,-0.050856355735622305
150.0,52.5,0.8225365320705282,-0.0845987993924735
150.0,52.75,0.8932149742497636,-0.1177868194275351
150.0,53.0,0.9673625377158936,-0.15025763589684904
150.0,53.25,1.0506680319726054,-0.18169040394742697
150.0,53.5,1.1469745190914238,-0.21168388563868756
150.0,53.75,1.2570727436034297,-0.23991192094594416
150.0,54.0,1.3821221732402722,-0.26618406107910064
150.0,54.25,1.5298770272555988,-0.29035254663765553
150.0,54.5,1.7190215732054575,-0.3121848031958865
150.0,54.75,1.9805439173911947,-0.33134859626524227
150.0,55.0,2.3632293931621886,-0.3475222211914766
150.0,55.25,2.9629591327520854,-0.36050463741580296
150.0,55.5,4.046508043081804,-0.370207119361162
150.0,55.75,6.751456898974388,-0.37655100996994517
150.0,56.0,,-0.3794008582704107
150.0,56.25,-10.38685648219242,-0.3786112283205332
150.0,56.5,-4.007240894395631,-0.3741333491723804
150.0,56.75,-2.3230218773933666,-0.366061702608528
150.0,57.0,-1.5337677633966746,-0.35457199291237584
150.0,57.25,-1.0653679714567552,-0.33982563056848547
150.0,57.5,-0.7504100662184539,-0.321944702738981
150.0,57.75,-0.5232033845894919,-0.30107415324825637
150.0,58.0,-0.3511477341464548,-0.27745075648034623
150.0,58.25,-0.21509104846711596,-0.2513955972649965
150.0,58.5,-0.10335692287057242,-0.22323759650393327
150.0,58.75,-0.009158281808699839,-0.19325054393474994
150.0,59.0,0.07149485129635652,-0.16166249013543754
150.0,59.25,0.14140428075453543,-0.12871281630470077
150.0,59.5,0.20281069958349648,-0.09468379751457934
150.0,59.75,0.25728993703253283,-0.0598695443643259
150.0,60.0,0.3072067645274218,-0.024519547942056796
157.25806451612902,45.0,0.9663688473322282,-0.4111860186457985
157.25806451612902,45.25,1.075610294708874,-0.3899833033460087
157.25806451612902,45.5,0.9949803321752178,-0.35770620713930246
157.25806451612902,45.75,0.9865525490978,-0.3172463303703035
157.25806451612902,46.0,1.0093468750749197,-0.2713668464668846
157.25806451612902,46.25,1.04855743217066,-0.22248603866862293
157.25806451612902,46.5,1.0971395195221976,-0.17258733133475967
157.25806451612902,46.75,1.1513610631916678,-0.12323324349888498
157.25806451612902,47.0,1.2088060083140837,-0.07561531861347293
157.25806451612902,47.25,1.2670355654370449,-0.030580399975188133
157.25806451612902,47.5,1.3234682743400268,0.011351299965931538
157.25806451612902,47.75,1.3769033787930476,0.04991991917212957
157.25806451612902,48.0,1.4294647840265764,0.0849988965702353
157.25806451612902,48.25,1.486360456947167,0.11647545123958425
157.25806451612902,48.5,1.5524651640086244,0.14423449682626455
157.25806451612902,48.75,1.6284774923333263,0.16824692157757892
157.25806451612902,49.0,1.7110249644908107,0.18864607791609156
157.25806451612902,49.25,1.7993607963581375,0.20568956371368374
157.25806451612902,49.5,1.906066496802823,0.21962586082790453
157.25806451612902,49.75,2.065780879423804,0.23059394006880873
157.25806451612902,50.0,2.3504671635203342,0.2386570673465772
157.25806451612902,50.25,2.9656689751847325,0.24392003483493319
157.25806451612902,50.5,5.323934275469755,0.24659068661161743
157.25806451612902,50.75,-5.768698658043809,0.24691924640007146
157.25806451612902,51.0,-0.28984272326434485,0.24508727849010137
157.25806451612902,51.25,0.5141888870360685,0.24117790226424374
157.25806451612902,51.5,0.8384084591290091,0.23526180965127685
157.25806451612902,51.75,1.0249334055553945,0.2274925483953043
157.25806451612902,52.0,1.1568211233235453,0.2180977363251182
157.25806451612902,52.25,1.2546890906395325,0.20727397586381313
157.25806451612902,52.5,1.3228144538097837,0.1951046961064098
157.25806451612902,52.75,1.3686977472683894,0.18159898396854102
157.25806451612902,53.0,1.4048485601801983,0.1668085401276167
157.25806451612902,53.25,1.4404882507255707,0.15089155925265363
157.25806451612902,53.5,1.4758572055127086,0.13405691216304305
157.25806451612902,53.75,1.5048832614078238,0.11645414251129482
157.25806451612902,54.0,1.523329695655435,0.09813359590482196
157.25806451612902,54.25,1.5339710130896846,0.07911871601853782
157.25806451612902,54.5,1.5434685551403327,0.059503933068783654
157.25806451612902,54.75,1.5555512267349778,0.039471254797110555
157.25806451612902,55.0,1.568249900360095,0.01921643096389314
157.25806451612902,55.25,1.5775346077080985,-0.0011242779358047184
157.25806451612902,55.5,1.5831255201557453,-0.021460647172877767
157.25806451612902,55.75,1.590011722810327,-0.04166724143140765
157.25806451612902,56.0,1.6043703004246195,-0.06153009359144024
157.25806451612902,56.25,1.6289064273689433,-0.08077912196229575
157.25806451612902,56.5,1.66260736207076,-0.0991662245849092
157.25806451612902,56.75,1.7054654407178016,-0.1165001439947595
157.25806451612902,57.0,1.7642584497137594,-0.13260273155198643
157.25806451612902,57.25,1.8550240391384254,-0.14724363014096697
157.25806451612902,57.5,2.0034272249007965,-0.1601313634104662
157.25806451612902,57.75,2.251724929968881,-0.17097243864786416
157.25806451612902,58.0,2.6941170418717606,-0.17953639673070199
157.25806451612902,58.25,3.6405741146657946,-0.18566273413104928
157.25806451612902,58.5,7.011056541128802,-0.18921497519557484
157.25806451612902,58.75,,-0.1900443734956454
157.25806451612902,59.0,-3.0404248804781004,-0.18800759973108194
157.25806451612902,59.25,-1.284890520058408,-0.18301873172056637
157.25806451612902,59.5,-0.633166389524127,-0.17507877034284414
157.25806451612902,59.75,-0.29515954151468976,-0.16425407814771376
157.25806451612902,60.0,-0.09760125880708738,-0.15063286696459993
164.51612903225805,45.0,0.5927036376381204,-0.15237892118590324
164.51612903225805,45.25,0.5382375835540415,-0.2475598859275161
164.51612903225805,45.5,0.49954479736204194,-0.33494185079642413
164.51612903225805,45.75,0.4599936288459135,-0.4116306471208029
164.51612903225805,46.0,0.414276758227352,-0.4749560248406599
164.51612903225805,46.25,0.3461563009218921,-0.5228463695074708
164.51612903225805,46.5,0.19195621549546255,-0.5541201669117224
164.51612903225805,46.75,-0.718215617644747,-0.5686249412882725
164.51612903225805,47.0,1.5680504509178066,-0.5672077392740706
164.51612903225805,47.25,0.9922052004120111,-0.5515415883420287
164.51612903225805,47.5,0.889763086864249,-0.5238593250259393
164.51612903225805,47.75,0.8678637724981653,-0.48666245140936004
164.51612903225805,48.0,0.8758078003204538,-0.4424678200412757
164.51612903225805,48.25,0.8980351334350405,-0.39361849663072235
164.51612903225805,48.5,0.9269342513803176,-0.34214866259517773
164.51612903225805,48.75,0.9573667237936678,-0.2896971999218543
164.51612903225805,49.0,0.9856112605639136,-0.237489017533268
164.51612903225805,49.25,1.0095598077489356,-0.18639660797598784
164.51612903225805,49.5,1.0287352371685852,-0.13705251482718625
164.51612903225805,49.75,1.0434298697941313,-0.08994383370985667
164.51612903225805,50.0,1.0534700554875236,-0.045437228240846866
164.51612903225805,50.25,1.0577743691333954,-0.0037571766615029922
164.51612903225805,50.5,1.0551493073906686,0.03501509511590717
164.51612903225805,50.75,1.0454052639571707,0.07088764191127261
164.51612903225805,51.0,1.0292749856093746,0.10388371984014155
164.51612903225805,51.25,1.006862495900522,0.1340146912379585
164.51612903225805,51.5,0.9763082521815396,0.16131627885787192
164.51612903225805,51.75,0.9343681473129543,0.18588921942285053
164.51612903225805,52.0,0.8784247426474227,0.20788265251655624
164.51612903225805,52.25,0.8072953663197419,0.2274266625005621
164.51612903225805,52.5,0.7188048875173142,0.2445834735263639
164.51612903225805,52.75,0.6055348977270163,0.25937293703226305
164.51612903225805,53.0,0.4517756336801976,0.27184364056062993
164.51612903225805,53.25,0.2313651240742969,0.2821089228339735
164.51612903225805,53.5,-0.10230815599502208,0.2903078618526984
