sigma_theta_deg,source,theta_rel_deg,case,sigma_tau_s,crb_r_m,crb_z_m,corr_rz,cond_F,sv_min,cond_J,sigma_u_rc2_component,sigma_u_array_component,u_error_dominated_by
0.02,S0,0.0,C_delay_only,0.00023460321322941465,768313233003.2277,3073203922.5789356,1.0,inf,5.333205336141794e-06,1.0,,,n/a
0.02,S0,30.0,C_delay_only,0.00023460321322941465,768313233003.2277,3073203922.5789356,1.0,inf,5.333205336141794e-06,1.0,,,n/a
0.02,S0,60.0,C_delay_only,0.00023460321322941465,768313233003.2277,3073203922.5789356,1.0,inf,5.333205336141794e-06,1.0,,,n/a
0.02,S1,0.0,C_delay_only,0.0002959190594404395,inf,inf,,inf,5.333205336141794e-06,1.0,,,n/a
0.02,S1,30.0,C_delay_only,0.0002959190594404395,inf,inf,,inf,5.333205336141794e-06,1.0,,,n/a
0.02,S1,60.0,C_delay_only,0.0002959190594404395,inf,inf,,inf,5.333205336141794e-06,1.0,,,n/a
0.02,S2,0.0,C_delay_only,0.00026257901356076203,0.0,0.0,-1.0000000000000002,9.512544918210436e+17,5.333205336141794e-06,1.0,,,n/a
0.02,S2,30.0,C_delay_only,0.00026257901356076203,0.0,0.0,-1.0000000000000002,9.512544918210436e+17,5.333205336141794e-06,1.0,,,n/a
0.02,S2,60.0,C_delay_only,0.00026257901356076203,0.0,0.0,-1.0000000000000002,9.512544918210436e+17,5.333205336141794e-06,1.0,,,n/a
0.05,S0,0.0,C_delay_only,0.00023460321322941465,768313233003.2277,3073203922.5789356,1.0,inf,5.333205336141794e-06,1.0,,,n/a
0.05,S0,30.0,C_delay_only,0.00023460321322941465,768313233003.2277,3073203922.5789356,1.0,inf,5.333205336141794e-06,1.0,,,n/a
0.05,S0,60.0,C_delay_only,0.00023460321322941465,768313233003.2277,3073203922.5789356,1.0,inf,5.333205336141794e-06,1.0,,,n/a
0.05,S1,0.0,C_delay_only,0.0002959190594404395,inf,inf,,inf,5.333205336141794e-06,1.0,,,n/a
0.05,S1,30.0,C_delay_only,0.0002959190594404395,inf,inf,,inf,5.333205336141794e-06,1.0,,,n/a
0.05,S1,60.0,C_delay_only,0.0002959190594404395,inf,inf,,inf,5.333205336141794e-06,1.0,,,n/a
0.05,S2,0.0,C_delay_only,0.00026257901356076203,0.0,0.0,-1.0000000000000002,9.512544918210436e+17,5.333205336141794e-06,1.0,,,n/a
0.05,S2,30.0,C_delay_only,0.00026257901356076203,0.0,0.0,-1.0000000000000002,9.512544918210436e+17,5.333205336141794e-06,1.0,,,n/a
0.05,S2,60.0,C_delay_only,0.00026257901356076203,0.0,0.0,-1.0000000000000002,9.512544918210436e+17,5.333205336141794e-06,1.0,,,n/a
0.1,S0,0.0,C_delay_only,0.00023460321322941465,768313233003.2277,3073203922.5789356,1.0,inf,5.333205336141794e-06,1.0,,,n/a
0.1,S0,30.0,C_delay_only,0.00023460321322941465,768313233003.2277,3073203922.5789356,1.0,inf,5.333205336141794e-06,1.0,,,n/a
0.1,S0,60.0,C_delay_only,0.00023460321322941465,768313233003.2277,3073203922.5789356,1.0,inf,5.333205336141794e-06,1.0,,,n/a
0.1,S1,0.0,C_delay_only,0.0002959190594404395,inf,inf,,inf,5.333205336141794e-06,1.0,,,n/a
0.1,S1,30.0,C_delay_only,0.0002959190594404395,inf,inf,,inf,5.333205336141794e-06,1.0,,,n/a
0.1,S1,60.0,C_delay_only,0.0002959190594404395,inf,inf,,inf,5.333205336141794e-06,1.0,,,n/a
0.1,S2,0.0,C_delay_only,0.00026257901356076203,0.0,0.0,-1.0000000000000002,9.512544918210436e+17,5.333205336141794e-06,1.0,,,n/a
0.1,S2,30.0,C_delay_only,0.00026257901356076203,0.0,0.0,-1.0000000000000002,9.512544918210436e+17,5.333205336141794e-06,1.0,,,n/a
0.1,S2,60.0,C_delay_only,0.00026257901356076203,0.0,0.0,-1.0000000000000002,9.512544918210436e+17,5.333205336141794e-06,1.0,,,n/a
0.2,S0,0.0,C_delay_only,0.00023460321322941465,768313233003.2277,3073203922.5789356,1.0,inf,5.333205336141794e-06,1.0,,,n/a
0.2,S0,30.0,C_delay_only,0.00023460321322941465,768313233003.2277,3073203922.5789356,1.0,inf,5.333205336141794e-06,1.0,,,n/a
0.2,S0,60.0,C_delay_only,0.00023460321322941465,768313233003.2277,3073203922.5789356,1.0,inf,5.333205336141794e-06,1.0,,,n/a
0.2,S1,0.0,C_delay_only,0.0002959190594404395,inf,inf,,inf,5.333205336141794e-06,1.0,,,n/a
0.2,S1,30.0,C_delay_only,0.0002959190594404395,inf,inf,,inf,5.333205336141794e-06,1.0,,,n/a
0.2,S1,60.0,C_delay_only,0.0002959190594404395,inf,inf,,inf,5.333205336141794e-06,1.0,,,n/a
0.2,S2,0.0,C_delay_only,0.00026257901356076203,0.0,0.0,-1.0000000000000002,9.512544918210436e+17,5.333205336141794e-06,1.0,,,n/a
0.2,S2,30.0,C_delay_only,0.00026257901356076203,0.0,0.0,-1.0000000000000002,9.512544918210436e+17,5.333205336141794e-06,1.0,,,n/a
0.2,S2,60.0,C_delay_only,0.00026257901356076203,0.0,0.0,-1.0000000000000002,9.512544918210436e+17,5.333205336141794e-06,1.0,,,n/a
