branch_set,sigma_theta_deg,theta_rel_deg,case,n_obs,n_branches,dy_dr,dy_dz,phi_center_deg,tau_center_s
"[""R0"", ""R1""]",0.02,0.0,IDEAL_ELEVATION+delay,3,2,"[4.603983264610967e-06, -0.00025013133608871725, -0.0005539610337948346]","[0.0008801339610606385, -0.01675017510832521, -0.04817124773468677]","[-0.304, 13.147]","[33.33054, 33.81346]"
"[""R0"", ""R1""]",0.02,0.0,HLA_u+delay,3,2,"[2.4471692306238247e-08, 3.0374036796784076e-05, -0.0005539610337948346]","[4.627649060018335e-06, 0.0024368689414981824, -0.04817124773468677]","[-0.304, 13.147]","[33.33054, 33.81346]"
"[""R0"", ""R1""]",0.02,0.0,delay-only,3,2,"[2.4471692306238247e-08, 3.0374036796784076e-05, -0.0005539610337948346]","[4.627649060018335e-06, 0.0024368689414981824, -0.04817124773468677]","[-0.304, 13.147]","[33.33054, 33.81346]"
"[""R0"", ""R1""]",0.02,30.0,IDEAL_ELEVATION+delay,3,2,"[4.603983264610967e-06, -0.00025013133608871725, -0.0005539610337948346]","[0.0008801339610606385, -0.01675017510832521, -0.04817124773468677]","[-0.304, 13.147]","[33.33054, 33.81346]"
"[""R0"", ""R1""]",0.02,30.0,HLA_u+delay,3,2,"[2.1193107210826234e-08, 2.630468748149839e-05, -0.0005539610337948346]","[4.0076616457773715e-06, 0.0021103904090307157, -0.04817124773468677]","[-0.304, 13.147]","[33.33054, 33.81346]"
"[""R0"", ""R1""]",0.02,30.0,delay-only,3,2,"[2.1193107210826234e-08, 2.630468748149839e-05, -0.0005539610337948346]","[4.0076616457773715e-06, 0.0021103904090307157, -0.04817124773468677]","[-0.304, 13.147]","[33.33054, 33.81346]"
"[""R0"", ""R1""]",0.02,60.0,IDEAL_ELEVATION+delay,3,2,"[4.603983264610967e-06, -0.00025013133608871725, -0.0005539610337948346]","[0.0008801339610606385, -0.01675017510832521, -0.04817124773468677]","[-0.304, 13.147]","[33.33054, 33.81346]"
"[""R0"", ""R1""]",0.02,60.0,HLA_u+delay,3,2,"[1.2235846153119124e-08, 1.5187018398392038e-05, -0.0005539610337948346]","[2.3138245300091675e-06, 0.0012184344707490912, -0.04817124773468677]","[-0.304, 13.147]","[33.33054, 33.81346]"
"[""R0"", ""R1""]",0.02,60.0,delay-only,3,2,"[1.2235846153119124e-08, 1.5187018398392038e-05, -0.0005539610337948346]","[2.3138245300091675e-06, 0.0012184344707490912, -0.04817124773468677]","[-0.304, 13.147]","[33.33054, 33.81346]"
"[""R0"", ""R1""]",0.05,0.0,IDEAL_ELEVATION+delay,3,2,"[4.603983264610967e-06, -0.00025013133608871725, -0.0005539610337948346]","[0.0008801339610606385, -0.01675017510832521, -0.04817124773468677]","[-0.304, 13.147]","[33.33054, 33.81346]"
"[""R0"", ""R1""]",0.05,0.0,HLA_u+delay,3,2,"[2.4471692306238247e-08, 3.0374036796784076e-05, -0.0005539610337948346]","[4.627649060018335e-06, 0.0024368689414981824, -0.04817124773468677]","[-0.304, 13.147]","[33.33054, 33.81346]"
"[""R0"", ""R1""]",0.05,0.0,delay-only,3,2,"[2.4471692306238247e-08, 3.0374036796784076e-05, -0.0005539610337948346]","[4.627649060018335e-06, 0.0024368689414981824, -0.04817124773468677]","[-0.304, 13.147]","[33.33054, 33.81346]"
"[""R0"", ""R1""]",0.05,30.0,IDEAL_ELEVATION+delay,3,2,"[4.603983264610967e-06, -0.00025013133608871725, -0.0005539610337948346]","[0.0008801339610606385, -0.01675017510832521, -0.04817124773468677]","[-0.304, 13.147]","[33.33054, 33.81346]"
"[""R0"", ""R1""]",0.05,30.0,HLA_u+delay,3,2,"[2.1193107210826234e-08, 2.630468748149839e-05, -0.0005539610337948346]","[4.0076616457773715e-06, 0.0021103904090307157, -0.04817124773468677]","[-0.304, 13.147]","[33.33054, 33.81346]"
"[""R0"", ""R1""]",0.05,30.0,delay-only,3,2,"[2.1193107210826234e-08, 2.630468748149839e-05, -0.0005539610337948346]","[4.0076616457773715e-06, 0.0021103904090307157, -0.04817124773468677]","[-0.304, 13.147]","[33.33054, 33.81346]"
"[""R0"", ""R1""]",0.05,60.0,IDEAL_ELEVATION+delay,3,2,"[4.603983264610967e-06, -0.00025013133608871725, -0.0005539610337948346]","[0.0008801339610606385, -0.01675017510832521, -0.04817124773468677]","[-0.304, 13.147]","[33.33054, 33.81346]"
"[""R0"", ""R1""]",0.05,60.0,HLA_u+delay,3,2,"[1.2235846153119124e-08, 1.5187018398392038e-05, -0.0005539610337948346]","[2.3138245300091675e-06, 0.0012184344707490912, -0.04817124773468677]","[-0.304, 13.147]","[33.33054, 33.81346]"
"[""R0"", ""R1""]",0.05,60.0,delay-only,3,2,"[1.2235846153119124e-08, 1.5187018398392038e-05, -0.0005539610337948346]","[2.3138245300091675e-06, 0.0012184344707490912, -0.04817124773468677]","[-0.304, 13.147]","[33.33054, 33.81346]"
"[""R0"", ""R1""]",0.1,0.0,IDEAL_ELEVATION+delay,3,2,"[4.603983264610967e-06, -0.00025013133608871725, -0.0005539610337948346]","[0.0008801339610606385, -0.01675017510832521, -0.04817124773468677]","[-0.304, 13.147]","[33.33054, 33.81346]"
"[""R0"", ""R1""]",0.1,0.0,HLA_u+delay,3,2,"[2.4471692306238247e-08, 3.0374036796784076e-05, -0.0005539610337948346]","[4.627649060018335e-06, 0.0024368689414981824, -0.04817124773468677]","[-0.304, 13.147]","[33.33054, 33.81346]"
"[""R0"", ""R1""]",0.1,0.0,delay-only,3,2,"[2.4471692306238247e-08, 3.0374036796784076e-05, -0.0005539610337948346]","[4.627649060018335e-06, 0.0024368689414981824, -0.04817124773468677]","[-0.304, 13.147]","[33.33054, 33.81346]"
"[""R0"", ""R1""]",0.1,30.0,IDEAL_ELEVATION+delay,3,2,"[4.603983264610967e-06, -0.00025013133608871725, -0.0005539610337948346]","[0.0008801339610606385, -0.01675017510832521, -0.04817124773468677]","[-0.304, 13.147]","[33.33054, 33.81346]"
"[""R0"", ""R1""]",0.1,30.0,HLA_u+delay,3,2,"[2.1193107210826234e-08, 2.630468748149839e-05, -0.0005539610337948346]","[4.0076616457773715e-06, 0.0021103904090307157, -0.04817124773468677]","[-0.304, 13.147]","[33.33054, 33.81346]"
"[""R0"", ""R1""]",0.1,30.0,delay-only,3,2,"[2.1193107210826234e-08, 2.630468748149839e-05, -0.0005539610337948346]","[4.0076616457773715e-06, 0.0021103904090307157, -0.04817124773468677]","[-0.304, 13.147]","[33.33054, 33.81346]"
"[""R0"", ""R1""]",0.1,60.0,IDEAL_ELEVATION+delay,3,2,"[4.603983264610967e-06, -0.00025013133608871725, -0.0005539610337948346]","[0.0008801339610606385, -0.01675017510832521, -0.04817124773468677]","[-0.304, 13.147]","[33.33054, 33.81346]"
