sigma_theta_deg,source,theta_rel_deg,case,sigma_tau_s,crb_r_m,crb_z_m,corr_rz,cond_F,sv_min,cond_J,sigma_u_rc2_component,sigma_u_array_component,u_error_dominated_by
0.02,S0,0.0,A_ideal_elev+delay,0.00023460321322941465,77135.84947869177,311.5964328912525,0.9901852199499716,3137382.0500375414,1.1313256423213635e-07,254.40968571042845,,,n/a
0.02,S0,30.0,A_ideal_elev+delay,0.00023460321322941465,77135.84947869177,311.5964328912525,0.9901852199499716,3137382.0500375414,1.1313256423213635e-07,254.40968571042845,,,n/a
0.02,S0,60.0,A_ideal_elev+delay,0.00023460321322941465,77135.84947869177,311.5964328912525,0.9901852199499716,3137382.0500375414,1.1313256423213635e-07,254.40968571042845,,,n/a
0.02,S1,0.0,A_ideal_elev+delay,0.0002959190594404395,77135.84947970603,313.33371924120263,0.9846945749598474,1995138.6659527868,1.1313256423213635e-07,254.40968571042845,,,n/a
0.02,S1,30.0,A_ideal_elev+delay,0.0002959190594404395,77135.84947970603,313.33371924120263,0.9846945749598474,1995138.6659527868,1.1313256423213635e-07,254.40968571042845,,,n/a
0.02,S1,60.0,A_ideal_elev+delay,0.0002959190594404395,77135.84947970603,313.33371924120263,0.9846945749598474,1995138.6659527868,1.1313256423213635e-07,254.40968571042845,,,n/a
0.02,S2,0.0,A_ideal_elev+delay,0.00026257901356076203,77135.84947912858,312.345435266074,0.9878105292325764,2517075.639553873,1.1313256423213635e-07,254.40968571042845,,,n/a
0.02,S2,30.0,A_ideal_elev+delay,0.00026257901356076203,77135.84947912858,312.345435266074,0.9878105292325764,2517075.639553873,1.1313256423213635e-07,254.40968571042845,,,n/a
0.02,S2,60.0,A_ideal_elev+delay,0.00026257901356076203,77135.84947912858,312.345435266074,0.9878105292325764,2517075.639553873,1.1313256423213635e-07,254.40968571042845,,,n/a
0.05,S0,0.0,A_ideal_elev+delay,0.00023460321322941465,77135.84947869177,311.5964328912525,0.9901852199499716,3137382.0500375414,1.1313256423213635e-07,254.40968571042845,,,n/a
0.05,S0,30.0,A_ideal_elev+delay,0.00023460321322941465,77135.84947869177,311.5964328912525,0.9901852199499716,3137382.0500375414,1.1313256423213635e-07,254.40968571042845,,,n/a
