group,T_s,z_i_m,z_j_m,delta_z_m,D_multi,mean_abs_corr,per_freq_abs_corr,distinguishable_gt_0p05,metric
A,600.0,180,190,10,0.4980087766913499,0.5019912233086501,[0.501991],True,D=1-mean_f|corr_f|
A,600.0,190,200,10,0.05001510160559042,0.9499848983944096,[0.949985],True,D=1-mean_f|corr_f|
A,600.0,200,210,10,0.003092018090518067,0.9969079819094819,[0.996908],False,D=1-mean_f|corr_f|
A,600.0,210,220,10,0.0006985241473795867,0.9993014758526204,[0.999301],False,D=1-mean_f|corr_f|
A,600.0,180,200,20,0.2530197670343628,0.7469802329656372,[0.74698],True,D=1-mean_f|corr_f|
A,600.0,200,220,20,0.006724881500635216,0.9932751184993648,[0.993275],False,D=1-mean_f|corr_f|
A,1200.0,180,190,10,0.08293333508239986,0.9170666649176001,[0.917067],True,D=1-mean_f|corr_f|
A,1200.0,190,200,10,0.008628698775956511,0.9913713012240435,[0.991371],False,D=1-mean_f|corr_f|
A,1200.0,200,210,10,0.002296583359001736,0.9977034166409983,[0.997703],False,D=1-mean_f|corr_f|
A,1200.0,210,220,10,0.0009642150375210878,0.9990357849624789,[0.999036],False,D=1-mean_f|corr_f|
A,1200.0,180,200,20,0.14311394902303254,0.8568860509769675,[0.856886],True,D=1-mean_f|corr_f|
A,1200.0,200,220,20,0.006232328540802912,0.9937676714591971,[0.993768],False,D=1-mean_f|corr_f|
B,600.0,180,190,10,0.4973666701289282,0.5026333298710718,[0.502633],True,D=1-mean_f|corr_f|
B,600.0,190,200,10,0.04918483800937079,0.9508151619906292,[0.950815],False,D=1-mean_f|corr_f|
B,600.0,200,210,10,0.003060223365232151,0.9969397766347678,[0.99694],False,D=1-mean_f|corr_f|
B,600.0,210,220,10,0.0006947984083163217,0.9993052015916837,[0.999305],False,D=1-mean_f|corr_f|
B,600.0,180,200,20,0.2543022001739682,0.7456977998260318,[0.745698],True,D=1-mean_f|corr_f|
B,600.0,200,220,20,0.006666482504573357,0.9933335174954266,[0.993334],False,D=1-mean_f|corr_f|
B,1200.0,180,190,10,0.08249862052048773,0.9175013794795123,[0.917501],True,D=1-mean_f|corr_f|
B,1200.0,190,200,10,0.008577233954463859,0.9914227660455361,[0.991423],False,D=1-mean_f|corr_f|
B,1200.0,200,210,10,0.002281960334343691,0.9977180396656563,[0.997718],False,D=1-mean_f|corr_f|
B,1200.0,210,220,10,0.000961146037557592,0.9990388539624424,[0.999039],False,D=1-mean_f|corr_f|
B,1200.0,180,200,20,0.14234947034793144,0.8576505296520686,[0.857651],True,D=1-mean_f|corr_f|
B,1200.0,200,220,20,0.006200467280076616,0.9937995327199234,[0.9938],False,D=1-mean_f|corr_f|
C,600.0,180,190,10,0.12455954689708038,0.8754404531029196,"[0.999893, 0.501991, 0.999978, 0.9999]",True,D=1-mean_f|corr_f|
C,600.0,190,200,10,0.012617799546316144,0.9873822004536839,"[0.999782, 0.949985, 0.999985, 0.999777]",False,D=1-mean_f|corr_f|
C,600.0,200,210,10,0.0012003740740533786,0.9987996259259466,"[0.999254, 0.996908, 0.999986, 0.999051]",False,D=1-mean_f|corr_f|
C,600.0,210,220,10,0.004649703292055274,0.9953502967079447,"[0.994492, 0.999301, 0.999984, 0.987623]",False,D=1-mean_f|corr_f|
C,600.0,180,200,20,0.0635866260095469,0.9364133739904531,"[0.99937, 0.74698, 0.999926, 0.999377]",True,D=1-mean_f|corr_f|
C,600.0,200,220,20,0.009307019033525932,0.9906929809664741,"[0.989702, 0.993275, 0.99994, 0.979855]",False,D=1-mean_f|corr_f|
C,1200.0,180,190,10,0.021164295210267747,0.9788357047897323,"[0.999217, 0.917067, 0.99993, 0.999129]",False,D=1-mean_f|corr_f|
C,1200.0,190,200,10,0.0033705729540605134,0.9966294270459395,"[0.997856, 0.991371, 0.999946, 0.997344]",False,D=1-mean_f|corr_f|
C,1200.0,200,210,10,0.008977813842033111,0.9910221861579669,"[0.987358, 0.997703, 0.999945, 0.979082]",False,D=1-mean_f|corr_f|
C,1200.0,210,220,10,0.2579044310519938,0.7420955689480062,"[0.700961, 0.999036, 0.999935, 0.26845]",True,D=1-mean_f|corr_f|
C,1200.0,180,200,20,0.038859523277529395,0.9611404767224706,"[0.994486, 0.856886, 0.999752, 0.993438]",False,D=1-mean_f|corr_f|
C,1200.0,200,220,20,0.34014513061390717,0.6598548693860928,"[0.579054, 0.993768, 0.999762, 0.066836]",True,D=1-mean_f|corr_f|
D,600.0,180,190,10,0.12439904293558735,0.8756009570644127,"[0.999893, 0.502633, 0.999978, 0.999899]",True,D=1-mean_f|corr_f|
D,600.0,190,200,10,0.0124104323539318,0.9875895676460682,"[0.999782, 0.950815, 0.999985, 0.999776]",False,D=1-mean_f|corr_f|
D,600.0,200,210,10,0.0011939049052258621,0.9988060950947741,"[0.999252, 0.99694, 0.999986, 0.999047]",False,D=1-mean_f|corr_f|
D,600.0,210,220,10,0.004685161841497254,0.9953148381585027,"[0.994466, 0.999305, 0.999984, 0.987504]",False,D=1-mean_f|corr_f|
D,600.0,180,200,20,0.06390764325912235,0.9360923567408777,"[0.999369, 0.745698, 0.999927, 0.999376]",True,D=1-mean_f|corr_f|
D,600.0,200,220,20,0.009345774001961682,0.9906542259980383,"[0.989658, 0.993334, 0.99994, 0.979685]",False,D=1-mean_f|corr_f|
D,1200.0,180,190,10,0.021056306115276424,0.9789436938847236,"[0.999216, 0.917501, 0.99993, 0.999127]",False,D=1-mean_f|corr_f|
D,1200.0,190,200,10,0.0033612210184830182,0.996638778981517,"[0.997851, 0.991423, 0.999946, 0.997335]",False,D=1-mean_f|corr_f|
D,1200.0,200,210,10,0.009021486589256278,0.9909785134107437,"[0.987309, 0.997718, 0.999945, 0.978941]",False,D=1-mean_f|corr_f|
D,1200.0,210,220,10,0.259648468482795,0.740351531517205,"[0.698897, 0.999039, 0.999935, 0.263535]",True,D=1-mean_f|corr_f|
D,1200.0,180,200,20,0.03867589812677974,0.9613241018732203,"[0.994475, 0.857651, 0.999754, 0.993417]",False,D=1-mean_f|corr_f|
D,1200.0,200,220,20,0.3422338211115028,0.6577661788884972,"[0.576444, 0.9938, 0.999762, 0.061059]",True,D=1-mean_f|corr_f|
