n_detected_peaks_in_band,true_peak_recalled,false_peak_count,recall,precision,f1,eps_k,recovered_ks,case,dr_tag,p_tag,branch_role,complete_success
2,2,0,1.0,1.0,1.0,0.00010172286491814596,1.350066;1.480068,2_peak_wide,NO_FOLD,PRINTED_LITERAL_CONTROL,PAPER_PRINTED_PRIMARY_BRANCH,True
2,2,0,1.0,1.0,1.0,0.00010172286491814596,1.350066;1.480068,2_peak_wide,NO_FOLD,OUR_MOVING_SAMPLE_INTERPRETATION,OUR_INTERPRETATION_SENSITIVITY_BRANCH,True
2,2,0,1.0,1.0,1.0,7.669904039428205e-05,1.350056;1.479985,2_peak_wide,REF7_2p5,PRINTED_LITERAL_CONTROL,PAPER_PRINTED_PRIMARY_BRANCH,True
2,2,0,1.0,1.0,1.0,7.669904039428205e-05,1.350056;1.479985,2_peak_wide,REF7_2p5,OUR_MOVING_SAMPLE_INTERPRETATION,OUR_INTERPRETATION_SENSITIVITY_BRANCH,True
3,3,0,1.0,1.0,1.0,0.00010172286491814596,1.329925;1.410082;1.490037,3_peak_wide,NO_FOLD,PRINTED_LITERAL_CONTROL,PAPER_PRINTED_PRIMARY_BRANCH,True
3,3,0,1.0,1.0,1.0,0.00010172286491814596,1.329925;1.410082;1.490037,3_peak_wide,NO_FOLD,OUR_MOVING_SAMPLE_INTERPRETATION,OUR_INTERPRETATION_SENSITIVITY_BRANCH,True
3,3,0,1.0,1.0,1.0,7.669904039428205e-05,1.329961;1.410035;1.489956,3_peak_wide,REF7_2p5,PRINTED_LITERAL_CONTROL,PAPER_PRINTED_PRIMARY_BRANCH,True
3,3,0,1.0,1.0,1.0,7.669904039428205e-05,1.329961;1.410035;1.489956,3_peak_wide,REF7_2p5,OUR_MOVING_SAMPLE_INTERPRETATION,OUR_INTERPRETATION_SENSITIVITY_BRANCH,True
5,5,0,1.0,1.0,1.0,0.00010172286491814596,1.319956;1.360035;1.410082;1.459927;1.500005,5_peak_wide,NO_FOLD,PRINTED_LITERAL_CONTROL,PAPER_PRINTED_PRIMARY_BRANCH,True
5,5,0,1.0,1.0,1.0,0.00010172286491814596,1.319956;1.360035;1.410082;1.459927;1.500005,5_peak_wide,NO_FOLD,OUR_MOVING_SAMPLE_INTERPRETATION,OUR_INTERPRETATION_SENSITIVITY_BRANCH,True
5,5,0,1.0,1.0,1.0,7.669904039428205e-05,1.319990;1.360027;1.410035;1.460043;1.499926,5_peak_wide,REF7_2p5,PRINTED_LITERAL_CONTROL,PAPER_PRINTED_PRIMARY_BRANCH,True
5,5,0,1.0,1.0,1.0,7.669904039428205e-05,1.319990;1.360027;1.410035;1.460043;1.499926,5_peak_wide,REF7_2p5,OUR_MOVING_SAMPLE_INTERPRETATION,OUR_INTERPRETATION_SENSITIVITY_BRANCH,True
1,1,0,0.5,1.0,0.6666666666666666,0.00010172286491814596,1.404996,2_peak_close,NO_FOLD,PRINTED_LITERAL_CONTROL,PAPER_PRINTED_PRIMARY_BRANCH,False
1,1,0,0.5,1.0,0.6666666666666666,0.00010172286491814596,1.404996,2_peak_close,NO_FOLD,OUR_MOVING_SAMPLE_INTERPRETATION,OUR_INTERPRETATION_SENSITIVITY_BRANCH,False
2,2,0,1.0,1.0,1.0,7.669904039428205e-05,1.400064;1.404973,2_peak_close,REF7_2p5,PRINTED_LITERAL_CONTROL,PAPER_PRINTED_PRIMARY_BRANCH,True
2,2,0,1.0,1.0,1.0,7.669904039428205e-05,1.400064;1.404973,2_peak_close,REF7_2p5,OUR_MOVING_SAMPLE_INTERPRETATION,OUR_INTERPRETATION_SENSITIVITY_BRANCH,True
3,3,0,1.0,1.0,1.0,0.00010172286491814596,1.399910;1.403979;1.408048,3_peak_close,NO_FOLD,PRINTED_LITERAL_CONTROL,PAPER_PRINTED_PRIMARY_BRANCH,True
3,3,0,1.0,1.0,1.0,0.00010172286491814596,1.399910;1.403979;1.408048,3_peak_close,NO_FOLD,OUR_MOVING_SAMPLE_INTERPRETATION,OUR_INTERPRETATION_SENSITIVITY_BRANCH,True
3,3,0,1.0,1.0,1.0,7.669904039428205e-05,1.400064;1.404053;1.408041,3_peak_close,REF7_2p5,PRINTED_LITERAL_CONTROL,PAPER_PRINTED_PRIMARY_BRANCH,True
3,3,0,1.0,1.0,1.0,7.669904039428205e-05,1.400064;1.404053;1.408041,3_peak_close,REF7_2p5,OUR_MOVING_SAMPLE_INTERPRETATION,OUR_INTERPRETATION_SENSITIVITY_BRANCH,True
5,5,0,1.0,1.0,1.0,0.00010172286491814596,1.379972;1.389941;1.399910;1.410082;1.420051,5_peak_close,NO_FOLD,PRINTED_LITERAL_CONTROL,PAPER_PRINTED_PRIMARY_BRANCH,True
5,5,0,1.0,1.0,1.0,0.00010172286491814596,1.379972;1.389941;1.399910;1.410082;1.420051,5_peak_close,NO_FOLD,OUR_MOVING_SAMPLE_INTERPRETATION,OUR_INTERPRETATION_SENSITIVITY_BRANCH,True
5,5,0,1.0,1.0,1.0,7.669904039428205e-05,1.379969;1.389940;1.400064;1.410035;1.420006,5_peak_close,REF7_2p5,PRINTED_LITERAL_CONTROL,PAPER_PRINTED_PRIMARY_BRANCH,True
5,5,0,1.0,1.0,1.0,7.669904039428205e-05,1.379969;1.389940;1.400064;1.410035;1.420006,5_peak_close,REF7_2p5,OUR_MOVING_SAMPLE_INTERPRETATION,OUR_INTERPRETATION_SENSITIVITY_BRANCH,True
