case,n_true,dr,dr_tag,p,p_tag,power,power_tag,n_rec_in_band,mean_abs_err,max_abs_err,all_recovered_within_1e-3,status
2_peak_wide,2,1.8849555921538759,NO_FOLD_CONTROL,7,PRINTED_LITERAL_CONTROL,1,PRINTED_EQ19_MODULUS_POWER_1,2,9.928385416668739e-05,0.0001009114583334636,True,OK
2_peak_wide,2,1.8849555921538759,NO_FOLD_CONTROL,7,PRINTED_LITERAL_CONTROL,2,STANDARD_AR_PSD_MODULUS_POWER_2_CONTROL,2,9.928385416668739e-05,0.0001009114583334636,True,OK
2_peak_wide,2,1.8849555921538759,NO_FOLD_CONTROL,133,OUR_MOVING_SAMPLE_INTERPRETATION,1,PRINTED_EQ19_MODULUS_POWER_1,15,9.928385416668739e-05,0.0001009114583334636,True,OK
2_peak_wide,2,1.8849555921538759,NO_FOLD_CONTROL,133,OUR_MOVING_SAMPLE_INTERPRETATION,2,STANDARD_AR_PSD_MODULUS_POWER_2_CONTROL,15,9.928385416668739e-05,0.0001009114583334636,True,OK
2_peak_wide,2,2.5,REF7_CONSISTENT_SAMPLING_ASSUMPTION,7,PRINTED_LITERAL_CONTROL,1,PRINTED_EQ19_MODULUS_POWER_1,2,3.591363304300543e-05,5.6491418152671e-05,True,OK
2_peak_wide,2,2.5,REF7_CONSISTENT_SAMPLING_ASSUMPTION,7,PRINTED_LITERAL_CONTROL,2,STANDARD_AR_PSD_MODULUS_POWER_2_CONTROL,2,3.591363304300543e-05,5.6491418152671e-05,True,OK
2_peak_wide,2,2.5,REF7_CONSISTENT_SAMPLING_ASSUMPTION,133,OUR_MOVING_SAMPLE_INTERPRETATION,1,PRINTED_EQ19_MODULUS_POWER_1,17,3.591363304300543e-05,5.6491418152671e-05,True,OK
2_peak_wide,2,2.5,REF7_CONSISTENT_SAMPLING_ASSUMPTION,133,OUR_MOVING_SAMPLE_INTERPRETATION,2,STANDARD_AR_PSD_MODULUS_POWER_2_CONTROL,17,3.591363304300543e-05,5.6491418152671e-05,True,OK
3_peak_wide,3,1.8849555921538759,NO_FOLD_CONTROL,7,PRINTED_LITERAL_CONTROL,1,PRINTED_EQ19_MODULUS_POWER_1,3,6.781684027782713e-05,8.789062499992006e-05,True,OK
3_peak_wide,3,1.8849555921538759,NO_FOLD_CONTROL,7,PRINTED_LITERAL_CONTROL,2,STANDARD_AR_PSD_MODULUS_POWER_2_CONTROL,3,6.781684027782713e-05,8.789062499992006e-05,True,OK
