span,zs,snr,method,k_hat,eq24_model_sorted_j,eq24_mode_id_kraken,oracle_sorted_j,oracle_mode_id_kraken,oracle_status,abs_k_err,match
sufficient_4990m,4.0,R0_NOISELESS,MMAR_PRINTED_LITERAL_CONTROL_PRINTED_EQ19_POWER_1,1.35496523,6,17,6,17,ORACLE_MODE_ID_AMBIGUOUS,0.007229467403869538,False
sufficient_4990m,4.0,R0_NOISELESS,MMAR_PRINTED_LITERAL_CONTROL_PRINTED_EQ19_POWER_1,1.37705455,8,15,8,15,UNIQUE,0.0010849016387939336,True
sufficient_4990m,4.0,R0_NOISELESS,MMAR_PRINTED_LITERAL_CONTROL_PRINTED_EQ19_POWER_1,1.39423514,9,14,9,14,ORACLE_MODE_ID_AMBIGUOUS,0.005656009827270436,False
sufficient_4990m,4.0,R0_NOISELESS,MMAR_PRINTED_LITERAL_CONTROL_PRINTED_EQ19_POWER_1,1.41954582,12,11,12,11,UNIQUE,4.119610565189724e-05,True
sufficient_4990m,4.0,R0_NOISELESS,MMAR_PRINTED_LITERAL_CONTROL_PRINTED_EQ19_POWER_1,1.43181767,14,9,14,9,UNIQUE,0.0033402250881957585,True
sufficient_4990m,4.0,R0_NOISELESS,MMAR_PRINTED_LITERAL_CONTROL_PRINTED_EQ19_POWER_1,1.44424291,15,8,15,8,UNIQUE,0.001403645130310105,True
sufficient_4990m,4.0,R0_NOISELESS,MMAR_PRINTED_LITERAL_CONTROL_STANDARD_PSD_POWER_2,1.37705455,8,15,8,15,UNIQUE,0.0010849016387939336,True
sufficient_4990m,4.0,R0_NOISELESS,MMAR_PRINTED_LITERAL_CONTROL_STANDARD_PSD_POWER_2,1.39423514,9,14,9,14,ORACLE_MODE_ID_AMBIGUOUS,0.005656009827270436,False
sufficient_4990m,4.0,R0_NOISELESS,MMAR_PRINTED_LITERAL_CONTROL_STANDARD_PSD_POWER_2,1.41954582,12,11,12,11,UNIQUE,4.119610565189724e-05,True
sufficient_4990m,4.0,R0_NOISELESS,MMAR_PRINTED_LITERAL_CONTROL_STANDARD_PSD_POWER_2,1.43181767,14,9,14,9,UNIQUE,0.0033402250881957585,True
sufficient_4990m,4.0,R0_NOISELESS,MMAR_OUR_MOVING_SAMPLE_INTERPRETATION_PRINTED_EQ19_POWER_1,1.36248174,7,16,7,16,UNIQUE,8.669185852050454e-05,True
sufficient_4990m,4.0,R0_NOISELESS,MMAR_OUR_MOVING_SAMPLE_INTERPRETATION_PRINTED_EQ19_POWER_1,1.37598077,8,15,8,15,UNIQUE,1.1121638793909483e-05,True
sufficient_4990m,4.0,R0_NOISELESS,MMAR_OUR_MOVING_SAMPLE_INTERPRETATION_PRINTED_EQ19_POWER_1,1.38855941,9,14,9,14,UNIQUE,1.972017272944271e-05,True
sufficient_4990m,4.0,R0_NOISELESS,MMAR_OUR_MOVING_SAMPLE_INTERPRETATION_PRINTED_EQ19_POWER_1,1.40006427,10,13,10,13,UNIQUE,3.893871765026091e-06,True
sufficient_4990m,4.0,R0_NOISELESS,MMAR_OUR_MOVING_SAMPLE_INTERPRETATION_PRINTED_EQ19_POWER_1,1.41034194,11,12,11,12,UNIQUE,0.00014904968505868865,True
sufficient_4990m,4.0,R0_NOISELESS,MMAR_OUR_MOVING_SAMPLE_INTERPRETATION_PRINTED_EQ19_POWER_1,1.41954582,12,11,12,11,UNIQUE,4.119610565189724e-05,True
sufficient_4990m,4.0,R0_NOISELESS,MMAR_OUR_MOVING_SAMPLE_INTERPRETATION_PRINTED_EQ19_POWER_1,1.42752252,13,10,13,10,UNIQUE,6.260496948251593e-05,True
sufficient_4990m,4.0,R0_NOISELESS,MMAR_OUR_MOVING_SAMPLE_INTERPRETATION_PRINTED_EQ19_POWER_1,1.43519243,14,9,14,9,UNIQUE,3.4534911804273705e-05,True
sufficient_4990m,4.0,R0_NOISELESS,MMAR_OUR_MOVING_SAMPLE_INTERPRETATION_PRINTED_EQ19_POWER_1,1.44286233,15,8,15,8,UNIQUE,2.3065130310140347e-05,True
sufficient_4990m,4.0,R0_NOISELESS,MMAR_OUR_MOVING_SAMPLE_INTERPRETATION_PRINTED_EQ19_POWER_1,1.45068563,16,7,16,7,UNIQUE,1.0738528137155257e-05,True
sufficient_4990m,4.0,R0_NOISELESS,MMAR_OUR_MOVING_SAMPLE_INTERPRETATION_PRINTED_EQ19_POWER_1,1.45835554,17,6,17,6,UNIQUE,2.9212273559675594e-05,True
sufficient_4990m,4.0,R0_NOISELESS,MMAR_OUR_MOVING_SAMPLE_INTERPRETATION_PRINTED_EQ19_POWER_1,1.46587204,18,5,18,5,UNIQUE,3.527661804203497e-05,True
sufficient_4990m,4.0,R0_NOISELESS,MMAR_OUR_MOVING_SAMPLE_INTERPRETATION_PRINTED_EQ19_POWER_1,1.47308175,19,4,19,4,UNIQUE,5.799209594758992e-06,True
sufficient_4990m,4.0,R0_NOISELESS,MMAR_OUR_MOVING_SAMPLE_INTERPRETATION_STANDARD_PSD_POWER_2,1.40006427,10,13,10,13,UNIQUE,3.893871765026091e-06,True
sufficient_4990m,4.0,R0_NOISELESS,MMAR_OUR_MOVING_SAMPLE_INTERPRETATION_STANDARD_PSD_POWER_2,1.41034194,11,12,11,12,UNIQUE,0.00014904968505868865,True
sufficient_4990m,4.0,R0_NOISELESS,MMAR_OUR_MOVING_SAMPLE_INTERPRETATION_STANDARD_PSD_POWER_2,1.41954582,12,11,12,11,UNIQUE,4.119610565189724e-05,True
sufficient_4990m,4.0,R0_NOISELESS,MMAR_OUR_MOVING_SAMPLE_INTERPRETATION_STANDARD_PSD_POWER_2,1.43519243,14,9,14,9,UNIQUE,3.4534911804273705e-05,True
sufficient_4990m,4.0,R0_NOISELESS,MMAR_OUR_MOVING_SAMPLE_INTERPRETATION_STANDARD_PSD_POWER_2,1.44286233,15,8,15,8,UNIQUE,2.3065130310140347e-05,True
sufficient_4990m,4.0,R1_20dB,MMAR_PRINTED_LITERAL_CONTROL_PRINTED_EQ19_POWER_1,1.40804097,11,12,11,12,UNIQUE,0.0024500196850585354,True
sufficient_4990m,4.0,R1_20dB,MMAR_PRINTED_LITERAL_CONTROL_STANDARD_PSD_POWER_2,1.40804097,11,12,11,12,UNIQUE,0.0024500196850585354,True
sufficient_4990m,4.0,R1_20dB,MMAR_OUR_MOVING_SAMPLE_INTERPRETATION_PRINTED_EQ19_POWER_1,1.36493611,7,16,7,16,UNIQUE,0.0025410618585204325,True
sufficient_4990m,4.0,R1_20dB,MMAR_OUR_MOVING_SAMPLE_INTERPRETATION_PRINTED_EQ19_POWER_1,1.38855941,9,14,9,14,UNIQUE,1.972017272944271e-05,True
sufficient_4990m,4.0,R1_20dB,MMAR_OUR_MOVING_SAMPLE_INTERPRETATION_PRINTED_EQ19_POWER_1,1.39239436,10,13,9,14,UNIQUE,0.00381522982727045,False
sufficient_4990m,4.0,R1_20dB,MMAR_OUR_MOVING_SAMPLE_INTERPRETATION_PRINTED_EQ19_POWER_1,1.40006427,11,12,10,13,UNIQUE,3.893871765026091e-06,False
sufficient_4990m,4.0,R1_20dB,MMAR_OUR_MOVING_SAMPLE_INTERPRETATION_PRINTED_EQ19_POWER_1,1.43519243,14,9,14,9,UNIQUE,3.4534911804273705e-05,True
sufficient_4990m,4.0,R1_20dB,MMAR_OUR_MOVING_SAMPLE_INTERPRETATION_PRINTED_EQ19_POWER_1,1.49808564,21,2,22,1,UNIQUE,0.011155388878479,False
sufficient_4990m,4.0,R1_20dB,MMAR_OUR_MOVING_SAMPLE_INTERPRETATION_PRINTED_EQ19_POWER_1,1.50805651,22,1,22,1,UNIQUE,0.021126258878479076,True
sufficient_4990m,50.0,R0_NOISELESS,MMAR_PRINTED_LITERAL_CONTROL_PRINTED_EQ19_POWER_1,1.37107203,8,15,8,15,UNIQUE,0.0048976183612059465,True
sufficient_4990m,50.0,R0_NOISELESS,MMAR_PRINTED_LITERAL_CONTROL_PRINTED_EQ19_POWER_1,1.3969963,10,13,10,13,UNIQUE,0.003071863871765057,True
sufficient_4990m,50.0,R0_NOISELESS,MMAR_PRINTED_LITERAL_CONTROL_PRINTED_EQ19_POWER_1,1.43227786,14,9,14,9,UNIQUE,0.002880035088195898,True
sufficient_4990m,50.0,R0_NOISELESS,MMAR_PRINTED_LITERAL_CONTROL_PRINTED_EQ19_POWER_1,1.45958272,17,6,17,6,UNIQUE,0.0011979677264404298,True
sufficient_4990m,50.0,R0_NOISELESS,MMAR_PRINTED_LITERAL_CONTROL_PRINTED_EQ19_POWER_1,1.47553612,19,4,19,4,UNIQUE,0.002448570790405169,True
sufficient_4990m,50.0,R0_NOISELESS,MMAR_PRINTED_LITERAL_CONTROL_PRINTED_EQ19_POWER_1,1.48612059,22,1,22,1,UNIQUE,0.0008096611215209215,True
sufficient_4990m,50.0,R0_NOISELESS,MMAR_PRINTED_LITERAL_CONTROL_STANDARD_PSD_POWER_2,1.47553612,19,4,19,4,UNIQUE,0.002448570790405169,True
sufficient_4990m,50.0,R0_NOISELESS,MMAR_PRINTED_LITERAL_CONTROL_STANDARD_PSD_POWER_2,1.48612059,22,1,22,1,UNIQUE,0.0008096611215209215,True
sufficient_4990m,50.0,R0_NOISELESS,MMAR_OUR_MOVING_SAMPLE_INTERPRETATION_PRINTED_EQ19_POWER_1,1.40006427,10,13,10,13,UNIQUE,3.893871765026091e-06,True
