span,zs,snr,method,SNR_AT_R0_DB,N_DETECTED_PEAKS,N_UNIQUE_MODE_IDS,N_ORACLE_AMBIGUOUS,N_CORRECT,MODE_ORDER_RECOVERY_RATE,MODE_ORDER_ASSIGNMENT_CONSISTENCY,median_k_err,max_k_err,eq24_cost,role,p,n_own_peak_levels
sufficient_4990m,4.0,R0_NOISELESS,SAB_FOURIER,inf,13,13,0,1,0.07692307692307693,0.07692307692307693,0.00015573175898930813,0.00327898360733081,inf,,,
sufficient_4990m,4.0,R0_NOISELESS,MMAR_PRINTED_LITERAL_CONTROL_PRINTED_EQ19_POWER_1,inf,6,4,2,4,1.0,1.0,0.0012442733845520193,0.0033402250881957585,0.0594901201224471,PAPER_PRINTED_PRIMARY_BRANCH,7.0,6.0
sufficient_4990m,4.0,R0_NOISELESS,MMAR_PRINTED_LITERAL_CONTROL_STANDARD_PSD_POWER_2,inf,4,3,1,3,1.0,1.0,0.0010849016387939336,0.0033402250881957585,0.010574008134903745,PAPER_PRINTED_PRIMARY_BRANCH,7.0,4.0
sufficient_4990m,4.0,R0_NOISELESS,MMAR_OUR_MOVING_SAMPLE_INTERPRETATION_PRINTED_EQ19_POWER_1,inf,13,13,0,13,1.0,1.0,2.9212273559675594e-05,0.00014904968505868865,inf,SENSITIVITY,1331.0,13.0
sufficient_4990m,4.0,R0_NOISELESS,MMAR_OUR_MOVING_SAMPLE_INTERPRETATION_STANDARD_PSD_POWER_2,inf,5,5,0,5,1.0,1.0,3.4534911804273705e-05,0.00014904968505868865,0.010940200236101122,SENSITIVITY,1331.0,5.0
sufficient_4990m,4.0,R1_20dB,SAB_FOURIER,20.009016856808557,14,14,0,2,0.14285714285714285,0.14285714285714285,0.00018132356670241823,0.00327898360733081,inf,,,
sufficient_4990m,4.0,R1_20dB,MMAR_PRINTED_LITERAL_CONTROL_PRINTED_EQ19_POWER_1,20.009016856808557,1,1,0,1,1.0,1.0,0.0024500196850585354,0.0024500196850585354,6.002596457174325e-06,PAPER_PRINTED_PRIMARY_BRANCH,7.0,1.0
sufficient_4990m,4.0,R1_20dB,MMAR_PRINTED_LITERAL_CONTROL_STANDARD_PSD_POWER_2,20.009016856808557,1,1,0,1,1.0,1.0,0.0024500196850585354,0.0024500196850585354,6.002596457174325e-06,PAPER_PRINTED_PRIMARY_BRANCH,7.0,1.0
sufficient_4990m,4.0,R1_20dB,MMAR_OUR_MOVING_SAMPLE_INTERPRETATION_PRINTED_EQ19_POWER_1,20.009016856808557,7,7,0,4,0.5714285714285714,0.5714285714285714,0.0025410618585204325,0.021126258878479076,0.09514144840822225,SENSITIVITY,1331.0,86.0
sufficient_4990m,4.0,R1_20dB,MMAR_OUR_MOVING_SAMPLE_INTERPRETATION_STANDARD_PSD_POWER_2,20.009016856808557,0,0,0,0,,,,,,SENSITIVITY,1331.0,4.0
sufficient_4990m,50.0,R0_NOISELESS,SAB_FOURIER,inf,19,19,0,1,0.05263157894736842,0.05263157894736842,0.0002525278495055794,0.006827069758610138,inf,,,
