span,zs,snr,k,abs_g,abs_g_db
sufficient_4990m,4.0,R0_NOISELESS,1.2,1.4300157186078317,-54.708020744780434
sufficient_4990m,4.0,R0_NOISELESS,1.2003834951969714,1.6623787569584267,-53.40023735856431
sufficient_4990m,4.0,R0_NOISELESS,1.2007669903939429,1.559757615166887,-53.95369467608589
sufficient_4990m,4.0,R0_NOISELESS,1.2011504855909143,1.3972868936109732,-54.9091252603189
sufficient_4990m,4.0,R0_NOISELESS,1.2015339807878858,1.6213507410224308,-53.61729748138668
sufficient_4990m,4.0,R0_NOISELESS,1.2019174759848572,1.6359891853226824,-53.53922840016898
sufficient_4990m,4.0,R0_NOISELESS,1.2023009711818287,1.408474449990176,-54.83985750506655
sufficient_4990m,4.0,R0_NOISELESS,1.2026844663788,1.5565148855319952,-53.97177140197847
sufficient_4990m,4.0,R0_NOISELESS,1.2030679615757716,1.6864955787246367,-53.275132829326935
sufficient_4990m,4.0,R0_NOISELESS,1.203451456772743,1.4624935057534485,-54.51295804393146
sufficient_4990m,4.0,R0_NOISELESS,1.2038349519697145,1.4867646944951622,-54.369992177976656
sufficient_4990m,4.0,R0_NOISELESS,1.204218447166686,1.70077636978631,-53.20189270456834
sufficient_4990m,4.0,R0_NOISELESS,1.2046019423636574,1.5432402207176632,-54.04616629737185
sufficient_4990m,4.0,R0_NOISELESS,1.2049854375606288,1.4353417467601959,-54.67573064026283
sufficient_4990m,4.0,R0_NOISELESS,1.2053689327576003,1.67687678224643,-53.324813937137634
sufficient_4990m,4.0,R0_NOISELESS,1.2057524279545717,1.6278105441641488,-53.5827598230953
sufficient_4990m,4.0,R0_NOISELESS,1.2061359231515432,1.4225237575051368,-54.753646403941616
sufficient_4990m,4.0,R0_NOISELESS,1.2065194183485146,1.6216828006671622,-53.6155187557581
sufficient_4990m,4.0,R0_NOISELESS,1.206902913545486,1.6949236642656316,-53.23183410343513
sufficient_4990m,4.0,R0_NOISELESS,1.2072864087424575,1.456114162113024,-54.55092845268161
sufficient_4990m,4.0,R0_NOISELESS,1.207669903939429,1.5505824927617244,-54.00493944612577
sufficient_4990m,4.0,R0_NOISELESS,1.2080533991364004,1.7296798471659807,-53.05552246120811
sufficient_4990m,4.0,R0_NOISELESS,1.2084368943333719,1.526994815361757,-54.138085719355246
sufficient_4990m,4.0,R0_NOISELESS,1.2088203895303433,1.4855912079346107,-54.37685055942279
sufficient_4990m,4.0,R0_NOISELESS,1.2092038847273148,1.7254637358048497,-53.07672024664373
sufficient_4990m,4.0,R0_NOISELESS,1.2095873799242862,1.61422166232835,-53.655573547098825
sufficient_4990m,4.0,R0_NOISELESS,1.2099708751212577,1.450134795753756,-54.5866694991897
sufficient_4990m,4.0,R0_NOISELESS,1.2103543703182291,1.6845772817728708,-53.28501817924612
sufficient_4990m,4.0,R0_NOISELESS,1.2107378655152006,1.6943904831031318,-53.23456689984845
sufficient_4990m,4.0,R0_NOISELESS,1.211121360712172,1.4599036588360308,-54.52835302902499
sufficient_4990m,4.0,R0_NOISELESS,1.2115048559091435,1.6182799104483463,-53.63376411374192
sufficient_4990m,4.0,R0_NOISELESS,1.211888351106115,1.748540356031286,-52.961323764986375
sufficient_4990m,4.0,R0_NOISELESS,1.2122718463030864,1.5145615137948762,-54.20909863189101
sufficient_4990m,4.0,R0_NOISELESS,1.2126553415000578,1.5458826316051513,-54.03130661322056
sufficient_4990m,4.0,R0_NOISELESS,1.2130388366970293,1.765385818939848,-52.87804429619325
sufficient_4990m,4.0,R0_NOISELESS,1.2134223318940007,1.5979316200777973,-53.743673154922156
sufficient_4990m,4.0,R0_NOISELESS,1.2138058270909722,1.4914538231346617,-54.342640734638394
sufficient_4990m,4.0,R0_NOISELESS,1.2141893222879436,1.742486580442762,-52.99144812685419
sufficient_4990m,4.0,R0_NOISELESS,1.214572817484915,1.6863358646153455,-53.27595543736489
sufficient_4990m,4.0,R0_NOISELESS,1.2149563126818865,1.4764068422742236,-54.43071598460932
sufficient_4990m,4.0,R0_NOISELESS,1.215339807878858,1.686585859170849,-53.27466787405864
sufficient_4990m,4.0,R0_NOISELESS,1.2157233030758294,1.757465072286119,-52.91710291623814
sufficient_4990m,4.0,R0_NOISELESS,1.2161067982728009,1.5095824288907822,-54.23770032670026
sufficient_4990m,4.0,R0_NOISELESS,1.2164902934697723,1.6133051137719967,-53.66050676090289
sufficient_4990m,4.0,R0_NOISELESS,1.2168737886667438,1.7954913996761768,-52.73117038482934
sufficient_4990m,4.0,R0_NOISELESS,1.2172572838637152,1.582228778709026,-53.829451378993
sufficient_4990m,4.0,R0_NOISELESS,1.2176407790606867,1.5453039614410145,-54.03455861052965
sufficient_4990m,4.0,R0_NOISELESS,1.2180242742576581,1.793141094134562,-52.74254769777751
sufficient_4990m,4.0,R0_NOISELESS,1.2184077694546296,1.6729175733049613,-53.34534610376213
sufficient_4990m,4.0,R0_NOISELESS,1.218791264651601,1.507043246777314,-54.25232266515952
sufficient_4990m,4.0,R0_NOISELESS,1.2191747598485725,1.7523940558752666,-52.9422015415316
sufficient_4990m,4.0,R0_NOISELESS,1.219558255045544,1.7572604396162461,-52.91811432767431
sufficient_4990m,4.0,R0_NOISELESS,1.2199417502425154,1.5153938125878672,-54.20432677563247
sufficient_4990m,4.0,R0_NOISELESS,1.2203252454394868,1.6845591825318944,-53.285111501681314
sufficient_4990m,4.0,R0_NOISELESS,1.2207087406364583,1.8152585229532219,-52.63606727870946
sufficient_4990m,4.0,R0_NOISELESS,1.2210922358334297,1.5707931611884103,-53.89245693312734
sufficient_4990m,4.0,R0_NOISELESS,1.2214757310304012,1.6094025038238988,-53.681543516266174
sufficient_4990m,4.0,R0_NOISELESS,1.2218592262273726,1.8347995529561563,-52.54306445624024
sufficient_4990m,4.0,R0_NOISELESS,1.222242721424344,1.6569824622951943,-53.42847873279017
sufficient_4990m,4.0,R0_NOISELESS,1.2226262166213155,1.551869746976177,-53.997731632550895
sufficient_4990m,4.0,R0_NOISELESS,1.223009711818287,1.8129383549435165,-52.647176227148236
sufficient_4990m,4.0,R0_NOISELESS,1.2233932070152584,1.7494655281039722,-52.95672917997244
sufficient_4990m,4.0,R0_NOISELESS,1.22377670221223,1.5345599537723753,-54.095159757857665
sufficient_4990m,4.0,R0_NOISELESS,1.2241601974092013,1.7562815274204486,-52.92295430032745
sufficient_4990m,4.0,R0_NOISELESS,1.2245436926061728,1.8248461883785716,-52.59031167388326
sufficient_4990m,4.0,R0_NOISELESS,1.2249271878031442,1.5673864678232292,-53.9113151106202
sufficient_4990m,4.0,R0_NOISELESS,1.2253106830001157,1.6807149578980274,-53.30495566536254
sufficient_4990m,4.0,R0_NOISELESS,1.2256941781970871,1.8663174536519833,-52.395126617772725
sufficient_4990m,4.0,R0_NOISELESS,1.2260776733940586,1.6419697255092978,-53.50753406165656
sufficient_4990m,4.0,R0_NOISELESS,1.22646116859103,1.609592500095051,-53.6805181734851
sufficient_4990m,4.0,R0_NOISELESS,1.2268446637880015,1.8659167710237818,-52.396991605280114
sufficient_4990m,4.0,R0_NOISELESS,1.227228158984973,1.7363656551297801,-53.02201322879783
sufficient_4990m,4.0,R0_NOISELESS,1.2276116541819444,1.5684659083276238,-53.905335300133174
sufficient_4990m,4.0,R0_NOISELESS,1.2279951493789159,1.8252979371160944,-52.58816170962794
sufficient_4990m,4.0,R0_NOISELESS,1.2283786445758873,1.8251456573574054,-52.588886380558804
sufficient_4990m,4.0,R0_NOISELESS,1.2287621397728588,1.5754321557244348,-53.866842859300476
sufficient_4990m,4.0,R0_NOISELESS,1.2291456349698302,1.7558432709322014,-52.92512201800743
sufficient_4990m,4.0,R0_NOISELESS,1.2295291301668017,1.887216748882314,-52.298401324748525
sufficient_4990m,4.0,R0_NOISELESS,1.229912625363773,1.6317241166814684,-53.56190232112197
sufficient_4990m,4.0,R0_NOISELESS,1.2302961205607446,1.677823102295077,-53.319913569292076
sufficient_4990m,4.0,R0_NOISELESS,1.230679615757716,1.909602102453562,-52.195979286086136
sufficient_4990m,4.0,R0_NOISELESS,1.2310631109546875,1.720988481399689,-53.09927769718314
sufficient_4990m,4.0,R0_NOISELESS,1.231446606151659,1.6171244872714874,-53.63996789997228
sufficient_4990m,4.0,R0_NOISELESS,1.2318301013486304,1.888839027521425,-52.290938016512186
sufficient_4990m,4.0,R0_NOISELESS,1.2322135965456018,1.817864642521567,-52.62360611523892
sufficient_4990m,4.0,R0_NOISELESS,1.2325970917425733,1.5975856304071836,-53.745554057368324
sufficient_4990m,4.0,R0_NOISELESS,1.2329805869395447,1.8313963198325673,-52.55919022629747
sufficient_4990m,4.0,R0_NOISELESS,1.2333640821365162,1.8977843125616243,-52.2498999220428
sufficient_4990m,4.0,R0_NOISELESS,1.2337475773334876,1.6301924843957925,-53.570059237195665
sufficient_4990m,4.0,R0_NOISELESS,1.234131072530459,1.753417465263348,-52.93713040681809
sufficient_4990m,4.0,R0_NOISELESS,1.2345145677274305,1.9428544986713046,-52.046031423339954
sufficient_4990m,4.0,R0_NOISELESS,1.234898062924402,1.7068979613301511,-53.17068577539071
sufficient_4990m,4.0,R0_NOISELESS,1.2352815581213734,1.6790095537899632,-53.31377362236565
sufficient_4990m,4.0,R0_NOISELESS,1.2356650533183449,1.9444081895171308,-52.03908813752697
sufficient_4990m,4.0,R0_NOISELESS,1.2360485485153163,1.805225703559747,-52.6842067979687
sufficient_4990m,4.0,R0_NOISELESS,1.2364320437122878,1.6349229964637193,-53.54489091788611
sufficient_4990m,4.0,R0_NOISELESS,1.2368155389092592,1.9038160313012364,-52.222337378627444
sufficient_4990m,4.0,R0_NOISELESS,1.2371990341062307,1.8986653366802326,-52.24586853529619
sufficient_4990m,4.0,R0_NOISELESS,1.2375825293032021,1.6405321263380293,-53.51514217833545
sufficient_4990m,4.0,R0_NOISELESS,1.2379660245001736,1.8325712821636904,-52.553619438236296
sufficient_4990m,4.0,R0_NOISELESS,1.238349519697145,1.964965018584806,-51.947740504645886
sufficient_4990m,4.0,R0_NOISELESS,1.2387330148941165,1.6978585589660768,-53.21680680362708
sufficient_4990m,4.0,R0_NOISELESS,1.239116510091088,1.751496265329341,-52.94665265675257
sufficient_4990m,4.0,R0_NOISELESS,1.2395000052880594,1.990230082572999,-51.83677124179919
sufficient_4990m,4.0,R0_NOISELESS,1.2398835004850308,1.7904023618792562,-52.7558241271225
sufficient_4990m,4.0,R0_NOISELESS,1.2402669956820023,1.6874747998694464,-53.27009105001088
sufficient_4990m,4.0,R0_NOISELESS,1.2406504908789737,1.970457622722301,-51.92349498456346
sufficient_4990m,4.0,R0_NOISELESS,1.2410339860759452,1.8918617797178183,-52.277048899698045
sufficient_4990m,4.0,R0_NOISELESS,1.2414174812729166,1.665637274371541,-53.38322834694175
sufficient_4990m,4.0,R0_NOISELESS,1.241800976469888,1.9120241505331022,-52.18496949928803
sufficient_4990m,4.0,R0_NOISELESS,1.2421844716668595,1.9764694543136256,-51.89703483210134
sufficient_4990m,4.0,R0_NOISELESS,1.242567966863831,1.6981187185384696,-53.215475983569206
sufficient_4990m,4.0,R0_NOISELESS,1.2429514620608024,1.831474821175122,-52.5588179205451
sufficient_4990m,4.0,R0_NOISELESS,1.2433349572577739,2.0253000182610337,-51.68504963666075
sufficient_4990m,4.0,R0_NOISELESS,1.2437184524547453,1.7772452689277356,-52.819889633169986
sufficient_4990m,4.0,R0_NOISELESS,1.2441019476517168,1.7537433387141508,-52.93551628018062
sufficient_4990m,4.0,R0_NOISELESS,1.2444854428486882,2.0289284473958586,-51.66950234143249
sufficient_4990m,4.0,R0_NOISELESS,1.2448689380456597,1.879892662199509,-52.33217591520543
sufficient_4990m,4.0,R0_NOISELESS,1.2452524332426311,1.7067558443261264,-53.17140899612933
sufficient_4990m,4.0,R0_NOISELESS,1.2456359284396026,1.9883631923660048,-51.84492266737797
sufficient_4990m,4.0,R0_NOISELESS,1.246019423636574,1.9783447786735942,-51.88879734700721
sufficient_4990m,4.0,R0_NOISELESS,1.2464029188335455,1.7111777464919202,-53.148934495317384
sufficient_4990m,4.0,R0_NOISELESS,1.246786414030517,1.91523414881999,-52.170399436221835
sufficient_4990m,4.0,R0_NOISELESS,1.2471699092274884,2.049124537497746,-51.58346989185488
sufficient_4990m,4.0,R0_NOISELESS,1.2475534044244598,1.7698212876908248,-52.8562486779353
sufficient_4990m,4.0,R0_NOISELESS,1.2479368996214313,1.830997629222182,-52.561081329604974
sufficient_4990m,4.0,R0_NOISELESS,1.2483203948184027,2.077390986870005,-51.4644721086443
sufficient_4990m,4.0,R0_NOISELESS,1.2487038900153742,1.8660013641055764,-52.39659783127643
sufficient_4990m,4.0,R0_NOISELESS,1.2490873852123456,1.7636277654791142,-52.886698419639195
sufficient_4990m,4.0,R0_NOISELESS,1.249470880409317,2.0586047337103723,-51.543377627339936
sufficient_4990m,4.0,R0_NOISELESS,1.2498543756062885,1.9724082605912203,-51.91490071474198
sufficient_4990m,4.0,R0_NOISELESS,1.25023787080326,1.7396084860684007,-53.00580661811818
sufficient_4990m,4.0,R0_NOISELESS,1.2506213660002314,1.9990708863920748,-51.798273082551006
sufficient_4990m,4.0,R0_NOISELESS,1.2510048611972029,2.061980100943117,-51.52914757262415
sufficient_4990m,4.0,R0_NOISELESS,1.2513883563941743,1.7721988604399184,-52.84458790993111
sufficient_4990m,4.0,R0_NOISELESS,1.2517718515911458,1.9157554232921021,-52.16803569574246
sufficient_4990m,4.0,R0_NOISELESS,1.2521553467881172,2.11465016662591,-51.31006635072139
sufficient_4990m,4.0,R0_NOISELESS,1.2525388419850887,1.8540107218373585,-52.45259214189443
sufficient_4990m,4.0,R0_NOISELESS,1.2529223371820601,1.8345008540707453,-52.54447860350082
sufficient_4990m,4.0,R0_NOISELESS,1.2533058323790316,2.1202254876035243,-51.28719595043546
sufficient_4990m,4.0,R0_NOISELESS,1.253689327576003,1.9612103829980274,-51.96435329289084
sufficient_4990m,4.0,R0_NOISELESS,1.2540728227729745,1.7845266981731331,-52.78437597338247
sufficient_4990m,4.0,R0_NOISELESS,1.254456317969946,2.0794233263977704,-51.455978739962674
sufficient_4990m,4.0,R0_NOISELESS,1.2548398131669174,2.0648303706238385,-51.51714938080379
sufficient_4990m,4.0,R0_NOISELESS,1.2552233083638888,1.7878585125200115,-52.768174036359554
sufficient_4990m,4.0,R0_NOISELESS,1.2556068035608603,2.00416461472886,-51.776169168832155
sufficient_4990m,4.0,R0_NOISELESS,1.2559902987578317,2.140234890087495,-51.205608176267376
sufficient_4990m,4.0,R0_NOISELESS,1.2563737939548032,1.8481903297916416,-52.47990309767766
sufficient_4990m,4.0,R0_NOISELESS,1.2567572891517746,1.9167514370450338,-52.16352101851108
sufficient_4990m,4.0,R0_NOISELESS,1.257140784348746,2.1716996594957876,-51.078841704058384
sufficient_4990m,4.0,R0_NOISELESS,1.2575242795457175,1.9485607574218617,-52.020557930527346
sufficient_4990m,4.0,R0_NOISELESS,1.257907774742689,1.846189102793461,-52.48931330519117
sufficient_4990m,4.0,R0_NOISELESS,1.2582912699396605,2.1539588817182214,-51.1500887987588
sufficient_4990m,4.0,R0_NOISELESS,1.258674765136632,2.0603982309334867,-51.535813602713404
sufficient_4990m,4.0,R0_NOISELESS,1.2590582603336034,1.82026289444982,-52.61215464500941
sufficient_4990m,4.0,R0_NOISELESS,1.2594417555305748,2.093231876502364,-51.398490174875135
sufficient_4990m,4.0,R0_NOISELESS,1.2598252507275463,2.1552606210565677,-51.14484108994887
sufficient_4990m,4.0,R0_NOISELESS,1.2602087459245177,1.8533765006516592,-52.45556392495794
sufficient_4990m,4.0,R0_NOISELESS,1.2605922411214892,2.0070403211507855,-51.76371501937285
sufficient_4990m,4.0,R0_NOISELESS,1.2609757363184606,2.211935147390233,-50.91938917782632
sufficient_4990m,4.0,R0_NOISELESS,1.261359231515432,1.9383873444157063,-52.06602565588844
sufficient_4990m,4.0,R0_NOISELESS,1.2617427267124035,1.922287707831233,-52.138469192480834
sufficient_4990m,4.0,R0_NOISELESS,1.262126221909375,2.2194911051226036,-50.88976879159571
sufficient_4990m,4.0,R0_NOISELESS,1.2625097171063464,2.050681534745881,-51.576872552041266
sufficient_4990m,4.0,R0_NOISELESS,1.2628932123033179,1.8696014637053147,-52.37985618130365
sufficient_4990m,4.0,R0_NOISELESS,1.2632767075002893,2.1783986009276664,-51.05208998100242
sufficient_4990m,4.0,R0_NOISELESS,1.2636602026972608,2.1599338324684108,-51.12602802607219
sufficient_4990m,4.0,R0_NOISELESS,1.2640436978942322,1.8723215144377832,-52.36722841490038
sufficient_4990m,4.0,R0_NOISELESS,1.2644271930912037,2.1007981793050576,-51.36715032201923
sufficient_4990m,4.0,R0_NOISELESS,1.2648106882881751,2.2400413579358336,-50.80971623319971
sufficient_4990m,4.0,R0_NOISELESS,1.2651941834851466,1.9346684831734888,-52.08270583283091
sufficient_4990m,4.0,R0_NOISELESS,1.265577678682118,2.0097172628002813,-51.75213770971874
sufficient_4990m,4.0,R0_NOISELESS,1.2659611738790895,2.274193965755984,-50.67828691193559
sufficient_4990m,4.0,R0_NOISELESS,1.266344669076061,2.0392823177660606,-51.62528989781538
sufficient_4990m,4.0,R0_NOISELESS,1.2667281642730324,1.935614578230683,-52.078459281719674
sufficient_4990m,4.0,R0_NOISELESS,1.2671116594700038,2.2568349371175227,-50.74484104253561
sufficient_4990m,4.0,R0_NOISELESS,1.2674951546669753,2.1565349450537514,-51.13970696994933
sufficient_4990m,4.0,R0_NOISELESS,1.2678786498639467,1.9078333971358157,-52.204028029957854
sufficient_4990m,4.0,R0_NOISELESS,1.2682621450609182,2.194323188695939,-50.98882511758647
sufficient_4990m,4.0,R0_NOISELESS,1.2686456402578896,2.256554934974907,-50.7459187547569
sufficient_4990m,4.0,R0_NOISELESS,1.269029135454861,1.9417654001216242,-52.050901804639444
sufficient_4990m,4.0,R0_NOISELESS,1.2694126306518325,2.104788076495181,-51.350669472525176
sufficient_4990m,4.0,R0_NOISELESS,1.269796125848804,2.31689629954005,-50.516705050752066
sufficient_4990m,4.0,R0_NOISELESS,1.2701796210457754,2.0302758262354574,-51.66373609586201
sufficient_4990m,4.0,R0_NOISELESS,1.2705631162427469,2.016267988359581,-51.72387186872784
sufficient_4990m,4.0,R0_NOISELESS,1.2709466114397183,2.3258802324673886,-50.48309001596416
sufficient_4990m,4.0,R0_NOISELESS,1.2713301066366898,2.1477697567322007,-51.17508251556258
