span,zs,snr,p,p_tag,role,power,power_tag,omega,k_peak,abs_P
sufficient_4990m,4.0,R0_NOISELESS,7,PRINTED_LITERAL_CONTROL,PAPER_PRINTED_PRIMARY_BRANCH,1,PRINTED_EQ19_POWER_1,2.672578027693758,1.44424291,3.70956092164152e-13
sufficient_4990m,4.0,R0_NOISELESS,7,PRINTED_LITERAL_CONTROL,PAPER_PRINTED_PRIMARY_BRANCH,1,PRINTED_EQ19_POWER_1,2.7036411386484422,1.43181767,3.70956092164152e-13
sufficient_4990m,4.0,R0_NOISELESS,7,PRINTED_LITERAL_CONTROL,PAPER_PRINTED_PRIMARY_BRANCH,1,PRINTED_EQ19_POWER_1,2.7343207544061556,1.41954582,3.70956092164152e-13
sufficient_4990m,4.0,R0_NOISELESS,7,PRINTED_LITERAL_CONTROL,PAPER_PRINTED_PRIMARY_BRANCH,1,PRINTED_EQ19_POWER_1,2.797597461906438,1.39423514,3.70956092164152e-13
sufficient_4990m,4.0,R0_NOISELESS,7,PRINTED_LITERAL_CONTROL,PAPER_PRINTED_PRIMARY_BRANCH,1,PRINTED_EQ19_POWER_1,2.840548923967236,1.37705455,3.70956092164152e-13
sufficient_4990m,4.0,R0_NOISELESS,7,PRINTED_LITERAL_CONTROL,PAPER_PRINTED_PRIMARY_BRANCH,1,PRINTED_EQ19_POWER_1,2.895772232331119,1.35496523,3.70956092164152e-13
sufficient_4990m,4.0,R0_NOISELESS,7,PRINTED_LITERAL_CONTROL,PAPER_PRINTED_PRIMARY_BRANCH,2,STANDARD_PSD_POWER_2,2.7036411386484422,1.43181767,1.018332257635737e-09
sufficient_4990m,4.0,R0_NOISELESS,7,PRINTED_LITERAL_CONTROL,PAPER_PRINTED_PRIMARY_BRANCH,2,STANDARD_PSD_POWER_2,2.7343207544061556,1.41954582,1.018332257635737e-09
sufficient_4990m,4.0,R0_NOISELESS,7,PRINTED_LITERAL_CONTROL,PAPER_PRINTED_PRIMARY_BRANCH,2,STANDARD_PSD_POWER_2,2.797597461906438,1.39423514,1.018332257635737e-09
sufficient_4990m,4.0,R0_NOISELESS,7,PRINTED_LITERAL_CONTROL,PAPER_PRINTED_PRIMARY_BRANCH,2,STANDARD_PSD_POWER_2,2.840548923967236,1.37705455,1.018332257635737e-09
