span,zs,snr,method,p_tag,k_hat,assigned_mode_id,oracle_mode_id,oracle_status,abs_k_err,eq24_cost
sufficient_4990m,4.0,R0_NOISELESS,MMAR,PRINTED_LITERAL_CONTROL,1.44424291,8,8,UNIQUE,0.0014036893844604492,9.85616780864262e-05
sufficient_4990m,4.0,R0_NOISELESS,MMAR,PRINTED_LITERAL_CONTROL,1.43181767,9,9,UNIQUE,0.0033402442932128906,9.85616780864262e-05
sufficient_4990m,4.0,R0_NOISELESS,MMAR,PRINTED_LITERAL_CONTROL,1.41954582,11,11,UNIQUE,4.124641418457031e-05,9.85616780864262e-05
sufficient_4990m,4.0,R0_NOISELESS,MMAR,PRINTED_LITERAL_CONTROL,1.39423514,14,14,ORACLE_MODE_ID_AMBIGUOUS,0.005656003952026367,9.85616780864262e-05
sufficient_4990m,4.0,R0_NOISELESS,MMAR,PRINTED_LITERAL_CONTROL,1.37705455,15,15,UNIQUE,0.0010849237442016602,9.85616780864262e-05
sufficient_4990m,4.0,R0_NOISELESS,MMAR,PRINTED_LITERAL_CONTROL,1.35496523,17,17,ORACLE_MODE_ID_AMBIGUOUS,0.007229447364807129,9.85616780864262e-05
sufficient_4990m,4.0,R0_NOISELESS,MMAR,PRINTED_LITERAL_CONTROL,1.43181767,9,9,UNIQUE,0.0033402442932128906,4.432625949097076e-05
sufficient_4990m,4.0,R0_NOISELESS,MMAR,PRINTED_LITERAL_CONTROL,1.41954582,11,11,UNIQUE,4.124641418457031e-05,4.432625949097076e-05
sufficient_4990m,4.0,R0_NOISELESS,MMAR,PRINTED_LITERAL_CONTROL,1.39423514,14,14,ORACLE_MODE_ID_AMBIGUOUS,0.005656003952026367,4.432625949097076e-05
sufficient_4990m,4.0,R0_NOISELESS,MMAR,PRINTED_LITERAL_CONTROL,1.37705455,15,15,UNIQUE,0.0010849237442016602,4.432625949097076e-05
sufficient_4990m,4.0,R0_NOISELESS,MMAR,OUR_MOVING_SAMPLE_INTERPRETATION,1.47308175,4,4,UNIQUE,5.841255187988281e-06,3.984693046892428e-08
sufficient_4990m,4.0,R0_NOISELESS,MMAR,OUR_MOVING_SAMPLE_INTERPRETATION,1.46587204,5,5,UNIQUE,3.528594970703125e-05,3.984693046892428e-08
sufficient_4990m,4.0,R0_NOISELESS,MMAR,OUR_MOVING_SAMPLE_INTERPRETATION,1.45835554,6,6,UNIQUE,2.9206275939941406e-05,3.984693046892428e-08
sufficient_4990m,4.0,R0_NOISELESS,MMAR,OUR_MOVING_SAMPLE_INTERPRETATION,1.45068563,7,7,UNIQUE,1.0728836059570312e-05,3.984693046892428e-08
sufficient_4990m,4.0,R0_NOISELESS,MMAR,OUR_MOVING_SAMPLE_INTERPRETATION,1.44286233,8,8,UNIQUE,2.300739288330078e-05,3.984693046892428e-08
sufficient_4990m,4.0,R0_NOISELESS,MMAR,OUR_MOVING_SAMPLE_INTERPRETATION,1.43519243,9,9,UNIQUE,3.457069396972656e-05,3.984693046892428e-08
sufficient_4990m,4.0,R0_NOISELESS,MMAR,OUR_MOVING_SAMPLE_INTERPRETATION,1.42752252,10,10,UNIQUE,6.258487701416016e-05,3.984693046892428e-08
sufficient_4990m,4.0,R0_NOISELESS,MMAR,OUR_MOVING_SAMPLE_INTERPRETATION,1.41954582,11,11,UNIQUE,4.124641418457031e-05,3.984693046892428e-08
sufficient_4990m,4.0,R0_NOISELESS,MMAR,OUR_MOVING_SAMPLE_INTERPRETATION,1.41034194,12,12,UNIQUE,0.00014901161193847656,3.984693046892428e-08
sufficient_4990m,4.0,R0_NOISELESS,MMAR,OUR_MOVING_SAMPLE_INTERPRETATION,1.40006427,13,13,UNIQUE,3.933906555175781e-06,3.984693046892428e-08
sufficient_4990m,4.0,R0_NOISELESS,MMAR,OUR_MOVING_SAMPLE_INTERPRETATION,1.38855941,14,14,UNIQUE,1.9669532775878906e-05,3.984693046892428e-08
sufficient_4990m,4.0,R0_NOISELESS,MMAR,OUR_MOVING_SAMPLE_INTERPRETATION,1.37598077,15,15,UNIQUE,1.1086463928222656e-05,3.984693046892428e-08
sufficient_4990m,4.0,R0_NOISELESS,MMAR,OUR_MOVING_SAMPLE_INTERPRETATION,1.36248174,16,16,UNIQUE,8.666515350341797e-05,3.984693046892428e-08
sufficient_4990m,4.0,R0_NOISELESS,MMAR,OUR_MOVING_SAMPLE_INTERPRETATION,1.44286233,8,8,UNIQUE,2.300739288330078e-05,2.565275034385174e-08
sufficient_4990m,4.0,R0_NOISELESS,MMAR,OUR_MOVING_SAMPLE_INTERPRETATION,1.43519243,9,9,UNIQUE,3.457069396972656e-05,2.565275034385174e-08
sufficient_4990m,4.0,R0_NOISELESS,MMAR,OUR_MOVING_SAMPLE_INTERPRETATION,1.41954582,11,11,UNIQUE,4.124641418457031e-05,2.565275034385174e-08
sufficient_4990m,4.0,R0_NOISELESS,MMAR,OUR_MOVING_SAMPLE_INTERPRETATION,1.41034194,12,12,UNIQUE,0.00014901161193847656,2.565275034385174e-08
sufficient_4990m,4.0,R0_NOISELESS,MMAR,OUR_MOVING_SAMPLE_INTERPRETATION,1.40006427,13,13,UNIQUE,3.933906555175781e-06,2.565275034385174e-08
sufficient_4990m,4.0,R1_20dB,MMAR,PRINTED_LITERAL_CONTROL,1.40804097,12,12,UNIQUE,0.0024499893188476562,6.002596457174325e-06
sufficient_4990m,4.0,R1_20dB,MMAR,PRINTED_LITERAL_CONTROL,1.40804097,12,12,UNIQUE,0.0024499893188476562,6.002596457174325e-06
sufficient_4990m,4.0,R1_20dB,MMAR,OUR_MOVING_SAMPLE_INTERPRETATION,1.50805651,1,1,UNIQUE,0.021126270294189453,0.0008174161462599796
sufficient_4990m,4.0,R1_20dB,MMAR,OUR_MOVING_SAMPLE_INTERPRETATION,1.49808564,2,1,UNIQUE,0.011155366897583008,0.0008174161462599796
sufficient_4990m,4.0,R1_20dB,MMAR,OUR_MOVING_SAMPLE_INTERPRETATION,1.43519243,9,9,UNIQUE,3.457069396972656e-05,0.0008174161462599796
sufficient_4990m,4.0,R1_20dB,MMAR,OUR_MOVING_SAMPLE_INTERPRETATION,1.40006427,12,13,UNIQUE,3.933906555175781e-06,0.0008174161462599796
sufficient_4990m,4.0,R1_20dB,MMAR,OUR_MOVING_SAMPLE_INTERPRETATION,1.39239436,13,14,UNIQUE,0.003815174102783203,0.0008174161462599796
sufficient_4990m,4.0,R1_20dB,MMAR,OUR_MOVING_SAMPLE_INTERPRETATION,1.38855941,14,14,UNIQUE,1.9669532775878906e-05,0.0008174161462599796
sufficient_4990m,4.0,R1_20dB,MMAR,OUR_MOVING_SAMPLE_INTERPRETATION,1.36493611,16,16,UNIQUE,0.002541065216064453,0.0008174161462599796
sufficient_4990m,50.0,R0_NOISELESS,MMAR,PRINTED_LITERAL_CONTROL,1.48612059,1,1,UNIQUE,0.0008096694946289062,4.980379208883735e-05
sufficient_4990m,50.0,R0_NOISELESS,MMAR,PRINTED_LITERAL_CONTROL,1.47553612,4,4,UNIQUE,0.002448558807373047,4.980379208883735e-05
sufficient_4990m,50.0,R0_NOISELESS,MMAR,PRINTED_LITERAL_CONTROL,1.45958272,6,6,UNIQUE,0.0011979341506958008,4.980379208883735e-05
