mode_id,k_re,k_im,alpha,phi_zs_re,phi_zr_re,abs_phi_zs,abs_phi_zr
1,1.486930251121521,-5.130318641022313e-06,5.130318641022313e-06,1.460780708839593e-06,0.1652570217847824,1.460780708839593e-06,0.1652570217847824
2,1.4840487241744995,-1.9571576558519155e-05,1.9571576558519155e-05,4.6227842176449485e-06,-0.14779716730117798,4.6227842176449485e-06,0.14779716730117798
3,1.479351282119751,-4.049028211738914e-05,4.049028211738914e-05,1.5148876627790742e-05,-0.024459095671772957,1.5148876627790742e-05,0.024459095671772957
4,1.4730875492095947,-6.277585634961724e-05,6.277585634961724e-05,6.128408858785406e-05,0.1608780175447464,6.128408858785406e-05,0.1608780175447464
5,1.465836763381958,-7.84338844823651e-05,7.84338844823651e-05,0.0002980755816679448,-0.14358863234519958,0.0002980755816679448,0.14358863234519958
6,1.4583847522735596,-8.693437848705798e-05,8.693437848705798e-05,0.001369177014566958,0.03912881389260292,0.001369177014566958,0.03912881389260292
7,1.4506748914718628,-9.895706170937046e-05,9.895706170937046e-05,0.005364691372960806,0.06614266335964203,0.005364691372960806,0.06614266335964203
8,1.44283926486969,-0.00010200183896813542,0.00010200183896813542,0.018900491297245026,-0.12499737739562988,0.018900491297245026,0.12499737739562988
9,1.4351578950881958,-0.00010779421427287161,0.00010779421427287161,0.051886774599552155,0.13287705183029175,0.051886774599552155,0.13287705183029175
10,1.4275851249694824,-0.00011048922897316515,0.00011048922897316515,0.10548009723424911,-0.10133213549852371,0.10548009723424911,0.10133213549852371
11,1.4195870161056519,-0.00013124699762556702,0.00013124699762556702,0.14651545882225037,0.05038326233625412,0.14651545882225037,0.05038326233625412
12,1.4104909896850586,-0.0001581949181854725,0.0001581949181854725,0.16378556191921234,0.021930528804659843,0.16378556191921234,0.021930528804659843
13,1.4000681638717651,-0.0001908073463710025,0.0001908073463710025,0.16815036535263062,-0.09568515419960022,0.16815036535263062,0.09568515419960022
14,1.3885791301727295,-0.0002271363919135183,0.0002271363919135183,0.16902704536914825,0.13824816048145294,0.16902704536914825,0.13824816048145294
15,1.375969648361206,-0.00027562264585867524,0.00027562264585867524,0.16631507873535156,-0.12958469986915588,0.16631507873535156,0.12958469986915588
16,1.3623950481414795,-0.00034530929406173527,0.00034530929406173527,0.16049836575984955,0.06921426951885223,0.16049836575984955,0.06921426951885223
17,1.3477357625961304,-0.00046804858720861375,0.00046804858720861375,0.1503734588623047,0.020947948098182678,0.1503734588623047,0.020947948098182678
18,1.3320367336273193,-0.0007099866634234786,0.0007099866634234786,0.13728192448616028,-0.10373317450284958,0.13728192448616028,0.10373317450284958
19,1.315035343170166,-0.0010938800405710936,0.0010938800405710936,0.12080630660057068,0.14465603232383728,0.12080630660057068,0.14465603232383728
20,1.2967256307601929,-0.0014841137453913689,0.0014841137453913689,0.10163841396570206,-0.1283463090658188,0.10163841396570206,0.1283463090658188
21,1.277047872543335,-0.0018564271740615368,0.0018564271740615368,0.07998836040496826,0.06317786127328873,0.07998836040496826,0.06317786127328873
22,1.2560290098190308,-0.0022018689196556807,0.0022018689196556807,0.05714283511042595,0.026290109381079674,0.05714283511042595,0.026290109381079674
23,1.2335797548294067,-0.0025485295336693525,0.0025485295336693525,0.03323039785027504,-0.10642331093549728,0.03323039785027504,0.10642331093549728
