span,zs,shading,k_hat,ar_peak_level_NOT_amplitude,g_re,g_im,g_abs,g_phase,matched_mode_id,k_model,abs_k_err,theory_contrib_r0,note
sufficient_4990m,4.0,CURRENT_DATA_SHADING,1.44424291,6.783684061261004e-08,12.944319724188494,-27.114896444887943,30.04618149347787,-1.1254015947250158,8,1.44283926486969,0.0014036894,6.96524028119169e-05,AR_PEAK_LEVEL_NOT_MODAL_AMPLITUDE
sufficient_4990m,4.0,CURRENT_DATA_SHADING,1.43181767,3.055081016204552e-07,131.85660692024533,60.956711695325396,145.26488043992984,0.4330316638453641,9,1.4351578950881958,0.0033402443,0.00020381112281238724,AR_PEAK_LEVEL_NOT_MODAL_AMPLITUDE
sufficient_4990m,4.0,CURRENT_DATA_SHADING,1.41954582,1.8114220999293063e-07,457.473335214159,-137.34881193246864,477.64688690624473,-0.2916709835359961,11,1.4195870161056519,4.1246414e-05,0.0002194117086859582,AR_PEAK_LEVEL_NOT_MODAL_AMPLITUDE
sufficient_4990m,4.0,CURRENT_DATA_SHADING,1.39423514,3.6044896454246523e-07,-58.52037176092171,-87.08482713026342,104.92092749944764,-2.1624771547963233,14,1.3885791301727295,0.005656004,0.0007022655079464326,AR_PEAK_LEVEL_NOT_MODAL_AMPLITUDE
sufficient_4990m,4.0,CURRENT_DATA_SHADING,1.37705455,2.3068547097094613e-07,-139.76388814899758,-109.8109201899602,177.74246150959908,-2.475639180209313,15,1.375969648361206,0.0010849237,0.0006506568227358199,AR_PEAK_LEVEL_NOT_MODAL_AMPLITUDE
sufficient_4990m,4.0,CURRENT_DATA_SHADING,1.35496523,2.791035497786524e-08,2.288880952282804,-2.1396929954495265,3.133251047793458,-0.7517233142231121,17,1.3477357625961304,0.0072294474,9.609069874192602e-05,AR_PEAK_LEVEL_NOT_MODAL_AMPLITUDE
sufficient_4990m,4.0,ORACLE_SQRT_R_SPREADING_CONTROL,1.44454971,5.207097830743101e-15,0.010318581186554007,0.004587989919785034,0.011292597983084112,0.4183824365717916,8,1.44283926486969,0.0017104149,6.96524028119169e-05,AR_PEAK_LEVEL_NOT_MODAL_AMPLITUDE
sufficient_4990m,4.0,ORACLE_SQRT_R_SPREADING_CONTROL,1.43212446,2.492641353891202e-14,-0.031167490155933095,0.02739827005355398,0.041497923376328835,2.4204646180572604,9,1.4351578950881958,0.0030333996,0.00020381112281238724,AR_PEAK_LEVEL_NOT_MODAL_AMPLITUDE
sufficient_4990m,4.0,ORACLE_SQRT_R_SPREADING_CONTROL,1.42015941,1.6146767258926197e-14,-0.05273907369858462,-0.07743063671195308,0.09368518237268472,-2.1687342019120934,11,1.4195870161056519,0.000572443,0.0002194117086859582,AR_PEAK_LEVEL_NOT_MODAL_AMPLITUDE
sufficient_4990m,4.0,ORACLE_SQRT_R_SPREADING_CONTROL,1.39454193,3.001856132890125e-14,0.024040771357770895,-0.009926802761627482,0.026009615540120396,-0.3915904528143745,13,1.4000681638717651,0.005526185,0.0004815472091109563,AR_PEAK_LEVEL_NOT_MODAL_AMPLITUDE
sufficient_4990m,4.0,ORACLE_SQRT_R_SPREADING_CONTROL,1.37751475,1.898016560239649e-14,0.03495812909830735,-0.017935620812516383,0.03929067680740934,-0.47404100818375783,15,1.375969648361206,0.0015450716,0.0006506568227358199,AR_PEAK_LEVEL_NOT_MODAL_AMPLITUDE
sufficient_4990m,4.0,ORACLE_SQRT_R_SPREADING_CONTROL,1.35634581,2.497582403243339e-15,0.001039836198126927,-0.0007108265218274044,0.001259576779346264,-0.5996306391418478,16,1.3623950481414795,0.0060492754,0.00033704336507855303,AR_PEAK_LEVEL_NOT_MODAL_AMPLITUDE
sufficient_4990m,50.0,CURRENT_DATA_SHADING,1.48612059,1.315817208792945e-06,256.75142118976703,221.9438955673878,339.3823582076604,0.7128125892618944,1,1.486930251121521,0.0008096695,0.0007257784260517969,AR_PEAK_LEVEL_NOT_MODAL_AMPLITUDE
sufficient_4990m,50.0,CURRENT_DATA_SHADING,1.47553612,8.232306327657428e-07,-3.864450681573278,-14.789426325694608,15.285977564861886,-1.8263800118116416,4,1.4730875492095947,0.0024485588,0.0006645734476758531,AR_PEAK_LEVEL_NOT_MODAL_AMPLITUDE
sufficient_4990m,50.0,CURRENT_DATA_SHADING,1.45958272,2.922989515192556e-07,-8.368083269910086,-11.14246399764353,13.934824058843775,-2.2149424539915175,6,1.4583847522735596,0.0011979342,0.00010566499875587694,AR_PEAK_LEVEL_NOT_MODAL_AMPLITUDE
sufficient_4990m,50.0,CURRENT_DATA_SHADING,1.43227786,2.715799922022415e-07,-7.230865539638453,4.964612097518461,8.771133890846585,2.5399261208298136,9,1.4351578950881958,0.0028799772,6.49926464371526e-05,AR_PEAK_LEVEL_NOT_MODAL_AMPLITUDE
sufficient_4990m,50.0,CURRENT_DATA_SHADING,1.3969963,1.3733343750531765e-07,15.606107589900333,-20.306466228587976,25.610606490286965,-0.9155417569753975,13,1.4000681638717651,0.0030719042,0.00039390903778339014,AR_PEAK_LEVEL_NOT_MODAL_AMPLITUDE
sufficient_4990m,50.0,CURRENT_DATA_SHADING,1.37107203,8.656327576629907e-08,5.979253141838375,2.97955263867883,6.680509116889374,0.46229884927451975,15,1.375969648361206,0.0048975945,0.0003818097638057096,AR_PEAK_LEVEL_NOT_MODAL_AMPLITUDE
sufficient_4990m,50.0,ORACLE_SQRT_R_SPREADING_CONTROL,1.48612059,1.251420513967493e-12,0.3323936604976709,0.15790477385386542,0.36799383574304784,0.4434919917611305,1,1.486930251121521,0.0008096695,0.0007257784260517969,AR_PEAK_LEVEL_NOT_MODAL_AMPLITUDE
sufficient_4990m,50.0,ORACLE_SQRT_R_SPREADING_CONTROL,1.47568952,1.1016137918548587e-12,-0.05690720004025765,-0.02073088767982544,0.06056565958045399,-2.7922419311793796,4,1.4730875492095947,0.0026019812,0.0006645734476758531,AR_PEAK_LEVEL_NOT_MODAL_AMPLITUDE
sufficient_4990m,50.0,ORACLE_SQRT_R_SPREADING_CONTROL,1.46004291,3.964748983894957e-13,0.017175381276003914,0.013158668827035274,0.021636642236624787,0.6537480858209016,6,1.4583847522735596,0.0016582012,0.00010566499875587694,AR_PEAK_LEVEL_NOT_MODAL_AMPLITUDE
