case,peak_id,k_peak,g_re,g_im,abs_g,prominence
zs4.0_zr18.0,0,1.3478371963883027,-1.1381796314843822,-1.4411990874842104,1.836438859121437,0.9578500052722013
zs4.0_zr18.0,1,1.362396180379156,-7.649883653198686,0.4570312398221471,7.663523827956031,5.303196954088142
zs4.0_zr18.0,2,1.3759321006301115,-11.738759236729898,3.385843704779555,12.21729945655368,9.443750365277388
zs4.0_zr18.0,3,1.388602351562692,-7.300735424452837,-1.1969502074684584,7.398204345448923,6.146785928304958
zs4.0_zr18.0,4,1.4001708415446132,6.7489635137164,6.497391623910028,9.36827659838945,7.640863948972713
zs4.0_zr18.0,5,1.4019808773921247,0.7058068863911459,-3.089444548198128,3.1690425963164803,1.4416299468997438
zs4.0_zr18.0,6,1.403318729975068,1.9811678125317522,-1.6184319903227078,2.5581923322361377,1.403117553136895
zs4.0_zr18.0,7,1.4046565825580113,2.5530370451738915,-0.1109712690527707,2.55544766657144,1.4093040859028623
zs4.0_zr18.0,8,1.4059944351409546,2.416918888427037,1.6281726439348254,2.914179656728992,1.5157703416323367
zs4.0_zr18.0,9,1.4072535905131365,2.8577162610555864,2.512661183226391,3.80526062844507,1.9033491286688995
zs4.0_zr18.0,10,1.4086701403068411,-2.0507789748708523,5.857855716379434,6.206461793783278,2.6958455078830896
zs4.0_zr18.0,11,1.4104801761543526,27.188082148317793,-2.3331957222695294,27.2880122614692,23.77739597556901
zs4.0_zr18.0,12,1.4123689092126255,0.4745651610268197,-6.685164898145643,6.701987899680142,3.598649690013559
zs4.0_zr18.0,13,1.4137067617955688,3.2838265713532104,-3.0742107272143944,4.498253944148266,2.880991274329257
zs4.0_zr18.0,14,1.415044614378512,3.9694154295981643,0.00019438423596515947,3.9694154343577104,2.820961235227533
zs4.0_zr18.0,15,1.4163824669614553,3.148832381702522,2.977507967959382,4.333670392094903,2.9108019563106096
zs4.0_zr18.0,16,1.4177203195443986,0.319386351942121,6.1368504005210704,6.14515585483253,3.494685691635799
zs4.0_zr18.0,17,1.41953035539191,21.033622273732227,-9.588050478336452,23.115881508806286,20.465411345609553
zs4.0_zr18.0,18,1.4213403912394216,-3.1266146173874856,-3.2361088619021956,4.499791054231632,2.4378249989419536
zs4.0_zr18.0,19,1.4225995466116035,-1.3358895969792022,-1.961101392435772,2.3728716119357953,1.5753888968131855
zs4.0_zr18.0,20,1.4238587019837854,-0.6574285438050996,-1.3142016543144988,1.4694687061699068,1.0730233748144964
zs4.0_zr18.0,21,1.425904829463581,1.5193069982986696,-0.16838043468694533,1.528609082095445,0.869026248249915
zs4.0_zr18.0,22,1.4276361681003311,-7.4456881602935,-3.6691264049027392,8.300648212970437,7.0900768087794255
zs4.0_zr18.0,23,1.4319645146922064,-0.8628946040850242,-0.34284221055157477,0.9285084162757712,0.8326452599206183
zs4.0_zr18.0,24,1.433381064485911,1.296602912667197,-1.9336374898186148,2.328117921233607,1.6377285908833787
zs4.0_zr18.0,25,1.4351911003334226,-13.996855003253591,-4.098218691986525,14.584489926955031,12.809110046350701
zs4.0_zr18.0,26,1.4369224389701727,2.4096443261783023,3.054922147102534,3.8908784488262858,2.1154985682219554
zs4.0_zr18.0,27,1.438260291553116,-0.09557688580146866,2.51659448274612,2.518408769776606,1.4235834935216787
zs4.0_zr18.0,28,1.4395194469252979,-0.46402457545335957,1.8601159855585105,1.9171203108712243,1.1386475932007567
zs4.0_zr18.0,29,1.4407786022974798,-0.9170792688093522,1.3443154141500062,1.6273347283214965,1.0898762938970195
zs4.0_zr18.0,30,1.4429821241987981,-1.702573847299068,-4.804542337962956,5.097291906766308,4.020135539122407
zs4.0_zr18.0,31,1.4446347656247869,0.017773871371530078,1.9437476390469142,1.9438289005990173,0.8666725329551168
zs4.0_zr70.0,0,1.3624748775899174,-2.812576233657752,-1.9154132564643283,3.402850718614572,2.3621885965537355
zs4.0_zr70.0,1,1.3760107978408729,10.00281064632995,3.101531197657026,10.472617466343912,8.118938384948493
zs4.0_zr70.0,2,1.377742136477623,-2.0801130349180936,-2.3534368446467533,3.1409449565022673,0.7872658751068475
zs4.0_zr70.0,3,1.3790799890605663,-0.27491519833046013,-2.1613222910561656,2.178736425566284,0.8405355748008971
zs4.0_zr70.0,4,1.3804178416435096,0.7563531403663043,-1.6835858492511788,1.845679112072514,0.8277943779717745
zs4.0_zr70.0,5,1.3816769970156915,0.7650363167813231,-1.5786026075421387,1.7542140002101148,0.8619261058888716
zs4.0_zr70.0,6,1.3829361523878734,0.8032153896208485,-1.627985328464138,1.8153487796614343,0.8959912815357697
zs4.0_zr70.0,7,1.3841953077600553,0.8857497679081089,-1.849136126534203,2.0503309649427783,0.9618786916779731
zs4.0_zr70.0,8,1.3855331603429986,2.0594049853764433,-1.5904614432591657,2.602060048555255,1.0870529124278865
zs4.0_zr70.0,9,1.3867923157151805,3.21239295778826,-2.579802721528278,4.12005468376966,1.26917330358086
zs4.0_zr70.0,10,1.388602351562692,-16.253696680428508,-2.780027416416798,16.489730386376905,13.393693539508352
zs4.0_zr70.0,11,1.390333690199442,3.6591883448861204,1.8662942094648174,4.107640858160841,1.0116040112922873
zs4.0_zr70.0,12,1.3916715427823854,1.6789280454137023,2.0352976913977185,2.6384154476286628,0.8711771309374268
