zs,zr,prominence_frac,n_peaks,n_selected,z_hat,abs_error
4.0,18.0,0.01,56,10,5.0,1.0
4.0,18.0,0.03,32,10,5.0,1.0
4.0,18.0,0.05,25,9,5.0,1.0
4.0,18.0,0.1,14,9,5.0,1.0
4.0,70.0,0.01,50,12,5.0,1.0
4.0,70.0,0.03,44,10,5.0,1.0
4.0,70.0,0.05,32,9,5.0,1.0
4.0,70.0,0.1,14,9,5.0,1.0
50.0,18.0,0.01,60,14,43.0,7.0
50.0,18.0,0.03,36,13,43.0,7.0
50.0,18.0,0.05,27,11,43.0,7.0
50.0,18.0,0.1,15,11,43.0,7.0
50.0,70.0,0.01,62,15,50.0,0.0
50.0,70.0,0.03,38,14,50.0,0.0
50.0,70.0,0.05,28,13,50.0,0.0
50.0,70.0,0.1,17,9,50.0,0.0
