mode_id,phi18,phi50_source,g_peak_complex,abs_g,w_D005,w_D010,w_D020
16,(0.14600463211536407+0j),(0.12805607914924622+0j),(-4.741240405206598-3.254249388896276j),5.750608634318233,(6.817533848292306+0j),(6.7245638239498655+0j),(6.376728594469367+0j)
15,(0.1481790691614151+0j),(-0.09759479761123657+0j),(6.3741304575144655-2.051369871292995j),6.696092699348046,(6.71839273329232+0j),(6.629396692012211+0j),(6.295804026460612+0j)
14,(0.06389527022838593+0j),(-0.06867094337940216+0j),(2.5884843103213258+0.19723260405804294j),2.595987620325487,(15.28119379866742+0j),(14.270660121459189+0j),(11.285463726722217+0j)
13,(-0.06509407609701157+0j),(0.13754819333553314+0j),(7.169467627645842-3.3399973227288924j),7.909288727799603,(-15.012699451918284+0j),(-14.053063545759878+0j),(-11.191538856852493+0j)
12,(-0.15766964852809906+0j),(-0.02842162549495697+0j),(-3.8647840089391288-2.362069506443688j),4.529451157593239,(-6.3172945167786265+0j),(-6.243229945705902+0j),(-5.96356050814592+0j)
11,(-0.12003152072429657+0j),(-0.10343512147665024+0j),(-15.903928173239521-2.07352055037687j),16.03852919729228,(-8.274462847670382+0j),(-8.108951654549253+0j),(-7.5082148475759976+0j)
10,(0.04910321906208992+0j),(0.11860263347625732+0j),(-8.279685310838413+1.4451437345363864j),8.404857480051827,(19.56442666178282+0j),(17.49994086802229+0j),(12.305792486619808+0j)
9,(0.1803949475288391+0j),(-0.01654599979519844+0j),(-0.8338332975375919-5.557054388501579j),5.619264315268243,(5.526631168143702+0j),(5.476949858753145+0j),(5.286846730725624+0j)
8,(0.17760348320007324+0j),(-0.1203775480389595+0j),(35.147428859503535-3.1767011763900617j),35.29069545642222,(5.612957726583054+0j),(5.560921569202642+0j),(5.362080200504362+0j)
7,(0.10713005810976028+0j),(0.10587998479604721+0j),(-19.788656292848593-2.0936878773458334j),19.89910668357354,(9.254861040139643+0j),(9.024038789389243+0j),(8.205442507983713+0j)
6,(0.050604019314050674+0j),(0.09208723902702332+0j),(-5.8336978965715085-7.0281389375893575j),9.133825489603055,(19.027914709212492+0j),(17.12170234472857+0j),(12.223508595539332+0j)
5,(0.018555929884314537+0j),(-0.130143404006958+0j),(-4.1599894184451625-2.265684622121999j),4.736965143263757,(41.88527948979412+0j),(25.105975276607225+0j),(9.647217509771343+0j)
4,(0.006034792400896549+0j),(-0.14157594740390778+0j),(-1.5891097409042552+0.4624859952822843j),1.6550417107943334,(44.66441059133598+0j),(13.995334087898387+0j),(3.7354527980180428+0j)
