Delta_ratio,window,f,zs,route
0.05,100.0,201.0,200.0,OK
0.05,100.0,235.0,200.0,OK
0.05,100.0,283.0,200.0,OK
0.05,100.0,338.0,200.0,OK
0.05,250.0,201.0,200.0,OK
0.05,250.0,235.0,200.0,OK
0.05,250.0,283.0,200.0,OK
0.05,250.0,338.0,200.0,OK
0.05,500.0,201.0,200.0,OK
0.05,500.0,235.0,200.0,OK
0.05,500.0,283.0,200.0,OK
0.05,500.0,338.0,200.0,OK
0.05,0.0,201.0,200.0,OK
0.05,0.0,235.0,200.0,OK
0.05,0.0,283.0,200.0,OK
0.05,0.0,338.0,200.0,OK
0.1,100.0,201.0,200.0,OK
0.1,100.0,235.0,200.0,OK
0.1,100.0,283.0,200.0,OK
0.1,100.0,338.0,200.0,OK
0.1,250.0,201.0,200.0,OK
0.1,250.0,235.0,200.0,OK
0.1,250.0,283.0,200.0,OK
0.1,250.0,338.0,200.0,OK
0.1,500.0,201.0,200.0,OK
0.1,500.0,235.0,200.0,OK
0.1,500.0,283.0,200.0,OK
0.1,500.0,338.0,200.0,OK
0.1,0.0,201.0,200.0,OK
0.1,0.0,235.0,200.0,OK
0.1,0.0,283.0,200.0,OK
0.1,0.0,338.0,200.0,OK
0.15,100.0,201.0,200.0,OK
0.15,100.0,235.0,200.0,OK
0.15,100.0,283.0,200.0,OK
0.15,100.0,338.0,200.0,OK
0.15,250.0,201.0,200.0,OK
0.15,250.0,235.0,200.0,OK
0.15,250.0,283.0,200.0,OK
0.15,250.0,338.0,200.0,OK
0.15,500.0,201.0,200.0,OK
0.15,500.0,235.0,200.0,OK
0.15,500.0,283.0,200.0,OK
0.15,500.0,338.0,200.0,OK
0.15,0.0,201.0,200.0,OK
0.15,0.0,235.0,200.0,OK
0.15,0.0,283.0,200.0,OK
0.15,0.0,338.0,200.0,OK
0.2,100.0,201.0,200.0,OK
0.2,100.0,235.0,200.0,OK
0.2,100.0,283.0,200.0,OK
0.2,100.0,338.0,200.0,OK
0.2,250.0,201.0,200.0,OK
0.2,250.0,235.0,200.0,OK
0.2,250.0,283.0,200.0,OK
0.2,250.0,338.0,200.0,OK
0.2,500.0,201.0,200.0,OK
0.2,500.0,235.0,200.0,OK
0.2,500.0,283.0,200.0,OK
0.2,500.0,338.0,200.0,OK
0.2,0.0,201.0,200.0,OK
0.2,0.0,235.0,200.0,OK
0.2,0.0,283.0,200.0,OK
0.2,0.0,338.0,200.0,OK
