f_hz,L_m,kind,z_i,z_j,D_abs,n_groups,scale_flag
201.0,600.0,ACTUAL_SA_PEAK_GROUP,200,210,0.009866345313383595,3,ok
201.0,600.0,ACTUAL_SA_PEAK_GROUP,200,220,0.0030209445470995577,3,ok
201.0,1200.0,ACTUAL_SA_PEAK_GROUP,200,210,0.13262448655929793,5,ok
201.0,1200.0,ACTUAL_SA_PEAK_GROUP,200,220,0.29520500781289416,5,ok
201.0,2400.0,ACTUAL_SA_PEAK_GROUP,200,210,0.09443291914347529,10,ok
201.0,2400.0,ACTUAL_SA_PEAK_GROUP,200,220,0.0801046838429954,10,ok
235.0,600.0,ACTUAL_SA_PEAK_GROUP,200,210,,1,SCALE_UNIDENTIFIABLE_WITH_ONE_GROUP
235.0,600.0,ACTUAL_SA_PEAK_GROUP,200,220,,1,SCALE_UNIDENTIFIABLE_WITH_ONE_GROUP
235.0,1200.0,ACTUAL_SA_PEAK_GROUP,200,210,0.04666316692958061,3,ok
235.0,1200.0,ACTUAL_SA_PEAK_GROUP,200,220,5.8788117154651154e-05,3,ok
235.0,2400.0,ACTUAL_SA_PEAK_GROUP,200,210,0.8200090000790855,7,ok
235.0,2400.0,ACTUAL_SA_PEAK_GROUP,200,220,0.7689378530474458,7,ok
283.0,600.0,ACTUAL_SA_PEAK_GROUP,200,210,0.10281068820246986,3,ok
283.0,600.0,ACTUAL_SA_PEAK_GROUP,200,220,0.014977630181254087,3,ok
283.0,1200.0,ACTUAL_SA_PEAK_GROUP,200,210,0.1370097660515709,2,ok
283.0,1200.0,ACTUAL_SA_PEAK_GROUP,200,220,0.13852104887935468,2,ok
283.0,2400.0,ACTUAL_SA_PEAK_GROUP,200,210,0.11556060923874845,4,ok
283.0,2400.0,ACTUAL_SA_PEAK_GROUP,200,220,0.1226364260658368,4,ok
338.0,600.0,ACTUAL_SA_PEAK_GROUP,200,210,,1,SCALE_UNIDENTIFIABLE_WITH_ONE_GROUP
338.0,600.0,ACTUAL_SA_PEAK_GROUP,200,220,,1,SCALE_UNIDENTIFIABLE_WITH_ONE_GROUP
338.0,1200.0,ACTUAL_SA_PEAK_GROUP,200,210,0.4922862641778587,3,ok
338.0,1200.0,ACTUAL_SA_PEAK_GROUP,200,220,0.06240033222846453,3,ok
338.0,2400.0,ACTUAL_SA_PEAK_GROUP,200,210,0.0998862706764041,5,ok
338.0,2400.0,ACTUAL_SA_PEAK_GROUP,200,220,0.2533049800150683,5,ok
