check,f_hz,value,n_modes,k_r_mode0,median_dk
n_z,201.0,201,200,0.8456735740301144,-0.0012318541023842444
n_z,201.0,401,400,0.8569500743160535,-0.0005924459139815541
n_z,201.0,801,800,0.9006460676979489,-0.00019188877129994175
n_z,235.0,201,200,0.9875457070109868,-0.001442037419010389
n_z,235.0,401,400,0.9972191461372878,-0.000701802786383876
n_z,235.0,801,800,1.0350100973038125,-0.00018500182659664244
n_z,283.0,201,200,1.1880585429180668,-0.0017381668649576465
n_z,283.0,401,400,1.196111356901731,-0.0008522844343521463
n_z,283.0,801,800,1.2277956663635645,-0.00037951575912109625
n_z,338.0,201,200,1.4180040427402079,-0.0020770742789961716
n_z,338.0,401,400,1.4247576747591744,-0.0010222903527195015
n_z,338.0,801,800,1.4514593260681568,-0.0004816356151231549
