f_hz,mode_id,class,k_r,k2,kr_max_allowed,phi_180,phi_190,phi_200,phi_210,phi_220,A_norm_zs200,effective_0p1,effective_0p2,residual,n_z
201.0,0,NUMERICAL_EIGENPAIR+PROPAGATING_MODE,0.8418808171562576,0.7087633102956881,0.8419468311620646,2.438316475872787e-15,-3.8038884877465445e-15,2.3545423715284134e-15,7.239781611029157e-15,-2.446809560225878e-15,2.250789713254401e-27,False,False,1.712633515860781e-14,4001
201.0,1,NUMERICAL_EIGENPAIR+PROPAGATING_MODE,0.8417489814178764,0.7085413477180323,0.8419468311620646,-4.722218539505129e-16,-1.4616601675604843e-15,2.0722819936782772e-15,4.440407577852833e-15,4.672435274808027e-15,1.743490590497585e-27,False,False,1.6326737663294244e-14,4001
201.0,2,NUMERICAL_EIGENPAIR+PROPAGATING_MODE,0.8416173839130442,0.7083198209046364,0.8419468311620646,-6.969944948470871e-16,-2.1857634383699333e-15,-7.829234886301304e-15,-2.4436528863773153e-15,-8.360415600566903e-16,2.4886312272317504e-26,False,False,1.605316440368924e-14,4001
201.0,3,NUMERICAL_EIGENPAIR+PROPAGATING_MODE,0.8414860236522744,0.7080987280021162,0.8419468311620646,6.56384818120797e-15,1.2114084819476512e-14,3.060775663193468e-15,-2.992023376856441e-15,-4.4673189965937045e-15,3.803512958197543e-27,False,False,1.6684423292933135e-14,4001
201.0,4,NUMERICAL_EIGENPAIR+PROPAGATING_MODE,0.841354899649229,0.7078780671637642,0.8419468311620646,-9.849830027222522e-16,3.605395987639253e-15,3.955902414913735e-16,3.031103894967628e-16,2.607024513372941e-15,6.353500093970336e-29,False,False,1.6792786140506212e-14,4001
201.0,5,NUMERICAL_EIGENPAIR+PROPAGATING_MODE,0.8412240109207393,0.7076578365495761,0.8419468311620646,9.761292774024541e-15,-5.755673006408688e-15,-1.2550379893420768e-14,2.5627437650241932e-15,3.400077806544857e-15,6.394927789792163e-26,False,False,1.7212305179937255e-14,4001
201.0,6,NUMERICAL_EIGENPAIR+PROPAGATING_MODE,0.8410933564868373,0.7074380343262939,0.8419468311620646,7.390630240358877e-16,-1.3359185399154508e-14,-1.6933573953372903e-14,-3.4181149687554695e-15,1.4461925130549228e-14,1.164177385341126e-25,False,False,1.7126104729430106e-14,4001
201.0,7,NUMERICAL_EIGENPAIR+PROPAGATING_MODE,0.8409629353707642,0.7072186586674121,0.8419468311620646,-2.498825783628899e-15,-8.126905262219212e-15,-7.605912499001795e-15,1.7590596981582102e-15,4.226708343879761e-15,2.3486837920130446e-26,False,False,1.627598010681983e-14,4001
201.0,8,NUMERICAL_EIGENPAIR+PROPAGATING_MODE,0.8408327465989905,0.7069997077532022,0.8419468311620646,8.55426963774284e-15,8.916758413706054e-15,1.0808236095618045e-15,5.35432190380447e-15,2.809821370723404e-15,4.742764351173271e-28,False,False,1.7135069526263484e-14,4001
201.0,9,NUMERICAL_EIGENPAIR+PROPAGATING_MODE,0.8407027892012375,0.7067811797707405,0.8419468311620646,1.2196418767843983e-15,1.6212111708742507e-15,2.0178347914411682e-15,5.7519152642930274e-15,-3.917555262611169e-15,1.653077112013688e-27,False,False,1.601660173003875e-14,4001
