cluster_id,n_modes,k_min,k_max,k_center,k_span,k_span_over_dkr,E_C,E_C_norm,f_hz,alpha,grid
0,1,0.740110476307754,0.740110476307754,0.740110476307754,0.0,0.0,2.42066624113741e-07,0.0035834130185803384,201.0,0.5,4001
1,2,0.747901246943668,0.7483041611478509,0.7481027040457595,0.0004029142041829248,0.15390188937035928,4.992911642606923e-07,0.007391214979034924,201.0,0.5,4001
2,2,0.7558244103063075,0.7562131058837839,0.7560187580950457,0.000388695577476339,0.14847077403196351,5.209616512373438e-07,0.007712012220023507,201.0,0.5,4001
3,3,0.7630881334507785,0.7638378108342331,0.7634630906625874,0.00074967738345455,0.2863556671223758,7.938400434285595e-07,0.011751544669601576,201.0,0.5,4001
4,4,0.7697327366090841,0.7708177216836912,0.7702755860247721,0.001084985074607081,0.41443377073114995,1.0699597621415113e-06,0.015839059825172194,201.0,0.5,4001
5,3,0.7764956160240851,0.7771924485190408,0.7768441520342074,0.0006968324949556681,0.26617040659020674,8.65837227974553e-07,0.012817348967686134,201.0,0.5,4001
6,4,0.7826633421785566,0.7836685186445156,0.7831662933672365,0.0010051764659589901,0.38394912776883733,1.1536077413085304e-06,0.017077335686714306,201.0,0.5,4001
7,4,0.7882726474694591,0.7892405757711849,0.788756979244882,0.0009679283017257623,0.36972137706767666,1.2190995440328695e-06,0.01804683810924745,201.0,0.5,4001
8,4,0.7936696665717847,0.7945997970875043,0.7941351056071575,0.0009301305157195516,0.35528368631371327,1.2771718024263032e-06,0.018906505928003053,201.0,0.5,4001
9,5,0.7985521799800406,0.7997425268797517,0.7991481163741811,0.0011903468997110922,0.45467902339951904,1.5903039328489275e-06,0.02354193122382983,201.0,0.5,4001
10,5,0.8032398293525893,0.8043807652561504,0.8038110791791027,0.0011409359035611244,0.4358054131266503,1.6670083707550337e-06,0.024677418953218237,201.0,0.5,4001
11,5,0.8077278870337798,0.8088180468905181,0.8082737727684671,0.0010901598567382154,0.4164103919045747,1.7699911866867743e-06,0.026201916453238994,201.0,0.5,4001
12,5,0.8117488761188714,0.8127898700772788,0.8122702072256518,0.001040993958407399,0.3976304021024075,1.8742478080784128e-06,0.02774527062581776,201.0,0.5,4001
13,5,0.815333344186062,0.816326731076038,0.8158309049995343,0.0009933868899760778,0.3794458414617062,1.975734491544337e-06,0.029247620254048444,201.0,0.5,4001
14,5,0.8187486979083888,0.8196923789387129,0.8192214479810266,0.0009436810303241616,0.3604596016275435,2.1238236770117358e-06,0.03143984612185535,201.0,0.5,4001
15,5,0.8217616808310869,0.8226568084969806,0.82221020466464,0.0008951276658937246,0.34191358254071247,2.2636683277429292e-06,0.03351002470943922,201.0,0.5,4001
16,5,0.8246136802813874,0.8254572418506371,0.8250364876012695,0.0008435615692496956,0.3222167845162686,2.4600111558401996e-06,0.03641656933897909,201.0,0.5,4001
17,6,0.8268932259122842,0.827886457647601,0.827391685895058,0.0009932317353168463,0.3793865767474011,2.868896963654592e-06,0.042469476187245656,201.0,0.5,4001
18,5,0.8290410081560634,0.8297871165756169,0.8294152708906533,0.0007461084195534706,0.2849924233305998,2.88941238103367e-06,0.04277317445208061,201.0,0.5,4001
19,5,0.8308690090959748,0.8315640663954357,0.8312178926255431,0.0006950572994608439,0.26549233185911303,3.1741931190067464e-06,0.04698890228168068,201.0,0.5,4001
20,6,0.8324013245373121,0.8336600205125265,0.8328801837725234,0.001258695975214441,0.48078644713260504,3.796082358292995e-06,0.056194987607703396,201.0,0.5,4001
21,6,0.8338095342447263,0.8349288902019406,0.8343764562287058,0.0011193559572143519,0.42756248080805814,6.594081224895797e-06,0.0976149297466344,201.0,0.5,4001
22,9,0.8353094268352108,0.8365332687295839,0.8359620039053097,0.0012238418943730789,0.46747316892581947,2.446360971848121e-05,0.36214499982237663,201.0,0.5,4001
23,1,0.8366563132639958,0.8366563132639958,0.8366563132639958,0.0,0.0,3.9907401659336135e-07,0.005907658817788338,201.0,0.5,4001
0,1,0.740110476307754,0.740110476307754,0.740110476307754,0.0,0.0,2.42066624113741e-07,0.0035834130185803384,201.0,1.0,4001
1,2,0.747901246943668,0.7483041611478509,0.7481027040457595,0.0004029142041829248,0.15390188937035928,4.992911642606923e-07,0.007391214979034924,201.0,1.0,4001
2,2,0.7558244103063075,0.7562131058837839,0.7560187580950457,0.000388695577476339,0.14847077403196351,5.209616512373438e-07,0.007712012220023507,201.0,1.0,4001
3,3,0.7630881334507785,0.7638378108342331,0.7634630906625874,0.00074967738345455,0.2863556671223758,7.938400434285595e-07,0.011751544669601576,201.0,1.0,4001
4,4,0.7697327366090841,0.7708177216836912,0.7702755860247721,0.001084985074607081,0.41443377073114995,1.0699597621415113e-06,0.015839059825172194,201.0,1.0,4001
5,3,0.7764956160240851,0.7771924485190408,0.7768441520342074,0.0006968324949556681,0.26617040659020674,8.65837227974553e-07,0.012817348967686134,201.0,1.0,4001
6,4,0.7826633421785566,0.7836685186445156,0.7831662933672365,0.0010051764659589901,0.38394912776883733,1.1536077413085304e-06,0.017077335686714306,201.0,1.0,4001
7,4,0.7882726474694591,0.7892405757711849,0.788756979244882,0.0009679283017257623,0.36972137706767666,1.2190995440328695e-06,0.01804683810924745,201.0,1.0,4001
8,4,0.7936696665717847,0.7945997970875043,0.7941351056071575,0.0009301305157195516,0.35528368631371327,1.2771718024263032e-06,0.018906505928003053,201.0,1.0,4001
9,5,0.7985521799800406,0.7997425268797517,0.7991481163741811,0.0011903468997110922,0.45467902339951904,1.5903039328489275e-06,0.02354193122382983,201.0,1.0,4001
10,5,0.8032398293525893,0.8043807652561504,0.8038110791791027,0.0011409359035611244,0.4358054131266503,1.6670083707550337e-06,0.024677418953218237,201.0,1.0,4001
11,5,0.8077278870337798,0.8088180468905181,0.8082737727684671,0.0010901598567382154,0.4164103919045747,1.7699911866867743e-06,0.026201916453238994,201.0,1.0,4001
12,5,0.8117488761188714,0.8127898700772788,0.8122702072256518,0.001040993958407399,0.3976304021024075,1.8742478080784128e-06,0.02774527062581776,201.0,1.0,4001
13,5,0.815333344186062,0.816326731076038,0.8158309049995343,0.0009933868899760778,0.3794458414617062,1.975734491544337e-06,0.029247620254048444,201.0,1.0,4001
14,5,0.8187486979083888,0.8196923789387129,0.8192214479810266,0.0009436810303241616,0.3604596016275435,2.1238236770117358e-06,0.03143984612185535,201.0,1.0,4001
15,5,0.8217616808310869,0.8226568084969806,0.82221020466464,0.0008951276658937246,0.34191358254071247,2.2636683277429292e-06,0.03351002470943922,201.0,1.0,4001
16,7,0.8246136802813874,0.8270940771065636,0.8255956772893136,0.002480396825176201,0.9474417973349668,3.1996953314320378e-06,0.04736642214978299,201.0,1.0,4001
17,9,0.8272938338946435,0.8297871165756169,0.8286043518671963,0.0024932826809733744,0.9523638316855816,5.018625169096424e-06,0.07429279782852237,201.0,1.0,4001
18,10,0.8308690090959748,0.8330439477356839,0.831971054525033,0.0021749386397090786,0.8307653650350305,6.631582210335101e-06,0.09817007244722269,201.0,1.0,4001
19,13,0.8336600205125265,0.8361653086417628,0.8349496412183482,0.0025052881292362272,0.9569495751297425,2.1157761223891563e-05,0.31320714820264856,201.0,1.0,4001
20,4,0.8362877678495675,0.8366563132639958,0.8364719426145043,0.0003685454144283229,0.14077397870428493,1.0637697003043447e-05,0.15747425762631223,201.0,1.0,4001
0,1,0.896706836417571,0.896706836417571,0.896706836417571,0.0,0.0,2.78640166946875e-07,0.0038089544849591755,235.0,0.5,4001
1,2,0.9032707997091434,0.9036295204707298,0.9034501600899365,0.0003587207615863841,0.1370212377507896,5.744355748247401e-07,0.007852417628883907,235.0,0.5,4001
2,2,0.9096318000795669,0.9099792199310087,0.9098055100052878,0.0003474198514418214,0.13270460804452278,5.974000225103205e-07,0.008166336964222514,235.0,0.5,4001
3,3,0.9157888290775728,0.916460292128605,0.9161246663318843,0.0006714630510322728,0.2564799928208443,9.011181184779625e-07,0.012318101645083382,235.0,0.5,4001
4,3,0.9214151555291117,0.9220649506162469,0.9217401598223928,0.000649795087135252,0.24820344027457011,9.462799571849568e-07,0.01293545480696548,235.0,0.5,4001
5,4,0.9268564521470938,0.9277973111327912,0.9273272060118518,0.0009408589856974015,0.35938165998280397,1.2645042049730947e-06,0.017285515636732657,235.0,0.5,4001
6,3,0.9321104392446617,0.9327161131720993,0.9324133859811855,0.0006056739274376,0.23135039868858234,1.0334574978973033e-06,0.014127154081059412,235.0,0.5,4001
