f_hz,amp_thr,L_m,n_eff_modes,median_eta,n_resolvable_pairs_Rayleigh,gate_label
201.0,0.1,150.0,515,0.012108456076500252,1,Fourier/Rayleigh pre-gate — NOT high-res limit
201.0,0.1,300.0,515,0.024216912153000505,6,Fourier/Rayleigh pre-gate — NOT high-res limit
201.0,0.1,600.0,515,0.04843382430600101,15,Fourier/Rayleigh pre-gate — NOT high-res limit
201.0,0.1,1200.0,515,0.09686764861200202,27,Fourier/Rayleigh pre-gate — NOT high-res limit
201.0,0.1,2400.0,515,0.19373529722400404,48,Fourier/Rayleigh pre-gate — NOT high-res limit
201.0,0.2,150.0,105,0.006404148764034269,0,Fourier/Rayleigh pre-gate — NOT high-res limit
201.0,0.2,300.0,105,0.012808297528068538,0,Fourier/Rayleigh pre-gate — NOT high-res limit
201.0,0.2,600.0,105,0.025616595056137077,0,Fourier/Rayleigh pre-gate — NOT high-res limit
201.0,0.2,1200.0,105,0.05123319011227415,5,Fourier/Rayleigh pre-gate — NOT high-res limit
201.0,0.2,2400.0,105,0.1024663802245483,12,Fourier/Rayleigh pre-gate — NOT high-res limit
235.0,0.1,150.0,580,0.011917989419921083,2,Fourier/Rayleigh pre-gate — NOT high-res limit
235.0,0.1,300.0,580,0.023835978839842165,7,Fourier/Rayleigh pre-gate — NOT high-res limit
235.0,0.1,600.0,580,0.04767195767968433,18,Fourier/Rayleigh pre-gate — NOT high-res limit
235.0,0.1,1200.0,580,0.09534391535936866,33,Fourier/Rayleigh pre-gate — NOT high-res limit
235.0,0.1,2400.0,580,0.19068783071873732,56,Fourier/Rayleigh pre-gate — NOT high-res limit
235.0,0.2,150.0,101,0.006061046229247795,0,Fourier/Rayleigh pre-gate — NOT high-res limit
235.0,0.2,300.0,101,0.01212209245849559,0,Fourier/Rayleigh pre-gate — NOT high-res limit
235.0,0.2,600.0,101,0.02424418491699118,0,Fourier/Rayleigh pre-gate — NOT high-res limit
235.0,0.2,1200.0,101,0.04848836983398236,3,Fourier/Rayleigh pre-gate — NOT high-res limit
235.0,0.2,2400.0,101,0.09697673966796472,12,Fourier/Rayleigh pre-gate — NOT high-res limit
283.0,0.1,150.0,704,0.011663993633441679,1,Fourier/Rayleigh pre-gate — NOT high-res limit
283.0,0.1,300.0,704,0.023327987266883357,8,Fourier/Rayleigh pre-gate — NOT high-res limit
283.0,0.1,600.0,704,0.046655974533766714,22,Fourier/Rayleigh pre-gate — NOT high-res limit
283.0,0.1,1200.0,704,0.09331194906753343,43,Fourier/Rayleigh pre-gate — NOT high-res limit
283.0,0.1,2400.0,704,0.18662389813506686,69,Fourier/Rayleigh pre-gate — NOT high-res limit
283.0,0.2,150.0,104,0.005673415028974934,0,Fourier/Rayleigh pre-gate — NOT high-res limit
283.0,0.2,300.0,104,0.011346830057949868,0,Fourier/Rayleigh pre-gate — NOT high-res limit
283.0,0.2,600.0,104,0.022693660115899735,0,Fourier/Rayleigh pre-gate — NOT high-res limit
283.0,0.2,1200.0,104,0.04538732023179947,2,Fourier/Rayleigh pre-gate — NOT high-res limit
283.0,0.2,2400.0,104,0.09077464046359894,11,Fourier/Rayleigh pre-gate — NOT high-res limit
338.0,0.1,150.0,864,0.01161106546795945,1,Fourier/Rayleigh pre-gate — NOT high-res limit
338.0,0.1,300.0,864,0.0232221309359189,7,Fourier/Rayleigh pre-gate — NOT high-res limit
338.0,0.1,600.0,864,0.0464442618718378,30,Fourier/Rayleigh pre-gate — NOT high-res limit
338.0,0.1,1200.0,864,0.0928885237436756,62,Fourier/Rayleigh pre-gate — NOT high-res limit
338.0,0.1,2400.0,864,0.1857770474873512,89,Fourier/Rayleigh pre-gate — NOT high-res limit
338.0,0.2,150.0,99,0.005391901766927165,0,Fourier/Rayleigh pre-gate — NOT high-res limit
338.0,0.2,300.0,99,0.01078380353385433,0,Fourier/Rayleigh pre-gate — NOT high-res limit
338.0,0.2,600.0,99,0.02156760706770866,0,Fourier/Rayleigh pre-gate — NOT high-res limit
338.0,0.2,1200.0,99,0.04313521413541732,0,Fourier/Rayleigh pre-gate — NOT high-res limit
338.0,0.2,2400.0,99,0.08627042827083464,9,Fourier/Rayleigh pre-gate — NOT high-res limit
