pair_id,mechanism,z_true,J_fixed,J_profile,z_alt_star_diagnostic,rho_z,rho_50m,rho_25m,rho_10m,status,z_alt_star_label,case_class
A01,A,180.0,5.612307514478721,4.361081417975073,225.0,0.7770567465742539,0.7770567465742539,0.7982740742147887,0.8270695341845055,OK,WRONG_TRAJECTORY_DEPTH_COMPENSATION_DIAGNOSTIC,DEPTH_MODERATE_COUPLING_CASE
A01,A,200.0,4.480159585329203,4.361081417975073,225.0,0.9734209987197631,0.9734209987197631,0.9734209987197631,1.0,OK,WRONG_TRAJECTORY_DEPTH_COMPENSATION_DIAGNOSTIC,DEPTH_NONMATERIAL_CASE
A01,A,220.0,4.424926389534417,4.361081417975073,225.0,0.9855715178199694,0.9855715178199694,0.9855715178199694,0.9855715178199694,OK,WRONG_TRAJECTORY_DEPTH_COMPENSATION_DIAGNOSTIC,DEPTH_NONMATERIAL_CASE
A02,A,180.0,5.550111678645987,4.257545811351039,225.0,0.767109935414798,0.767109935414798,0.8465403989224275,0.9216536806629892,OK,WRONG_TRAJECTORY_DEPTH_COMPENSATION_DIAGNOSTIC,DEPTH_MODERATE_COUPLING_CASE
A02,A,200.0,4.698393754504997,4.257545811351039,225.0,0.9061704986451473,0.9061704986451473,0.9061704986451473,1.0,OK,WRONG_TRAJECTORY_DEPTH_COMPENSATION_DIAGNOSTIC,DEPTH_NONMATERIAL_CASE
A02,A,220.0,4.408977006306801,4.257545811351039,225.0,0.9656538932411879,0.9656538932411879,0.9656538932411879,0.9656538932411879,OK,WRONG_TRAJECTORY_DEPTH_COMPENSATION_DIAGNOSTIC,DEPTH_NONMATERIAL_CASE
A03,A,180.0,3.5482221219683048,2.4689694376607245,235.0,0.6958328291722372,0.8491700416865805,0.8491700416865805,0.8642172560989085,OK,WRONG_TRAJECTORY_DEPTH_COMPENSATION_DIAGNOSTIC,DEPTH_MODERATE_COUPLING_CASE
A03,A,200.0,3.294485076183907,2.4689694376607245,235.0,0.7494249876890018,0.7494249876890018,0.9307781687779965,0.9432079398906462,OK,WRONG_TRAJECTORY_DEPTH_COMPENSATION_DIAGNOSTIC,DEPTH_MODERATE_COUPLING_CASE
A03,A,220.0,3.894416303870407,2.4689694376607245,235.0,0.6339767618595311,0.6339767618595311,0.6339767618595311,0.8052634604382978,OK,WRONG_TRAJECTORY_DEPTH_COMPENSATION_DIAGNOSTIC,DEPTH_MODERATE_COUPLING_CASE
A04,A,180.0,5.559435612565641,3.8677781687308856,150.0,0.6957141764514354,0.6957141764514354,0.7676734291109567,0.7676734291109567,OK,WRONG_TRAJECTORY_DEPTH_COMPENSATION_DIAGNOSTIC,DEPTH_MODERATE_COUPLING_CASE
A04,A,200.0,4.471752797099428,3.8677781687308856,150.0,0.8649355955543191,0.8649355955543191,0.9543977930506663,1.0,OK,WRONG_TRAJECTORY_DEPTH_COMPENSATION_DIAGNOSTIC,DEPTH_NONMATERIAL_CASE
A04,A,220.0,4.730542996263433,3.867778168730885,150.0,0.8176182251775261,0.9021862826299046,0.9203137571059165,0.9203137571059165,OK,WRONG_TRAJECTORY_DEPTH_COMPENSATION_DIAGNOSTIC,DEPTH_NONMATERIAL_CASE
A05,A,180.0,2.2469334198890888e-14,1.0048591735576161e-14,175.0,,,,,PROPAGATION_NONINFORMATIVE_PAIR,WRONG_TRAJECTORY_DEPTH_COMPENSATION_DIAGNOSTIC,NONINFORMATIVE
A05,A,200.0,1.879919374704706e-14,7.105427357601002e-15,235.0,,,,,PROPAGATION_NONINFORMATIVE_PAIR,WRONG_TRAJECTORY_DEPTH_COMPENSATION_DIAGNOSTIC,NONINFORMATIVE
A05,A,220.0,1.7404671430534633e-14,0.0,160.0,,,,,PROPAGATION_NONINFORMATIVE_PAIR,WRONG_TRAJECTORY_DEPTH_COMPENSATION_DIAGNOSTIC,NONINFORMATIVE
A06,A,180.0,5.106756651441394,3.83362923235361,235.0,0.7506974571172408,0.7944917315501491,0.7944917315501491,0.7944917315501491,OK,WRONG_TRAJECTORY_DEPTH_COMPENSATION_DIAGNOSTIC,DEPTH_MODERATE_COUPLING_CASE
A06,A,200.0,4.532011278757803,3.8336292323536094,235.0,0.8459001967454026,0.8459001967454026,0.8952484195319542,0.9422495653870737,OK,WRONG_TRAJECTORY_DEPTH_COMPENSATION_DIAGNOSTIC,DEPTH_NONMATERIAL_CASE
A06,A,220.0,4.6619928310906875,3.8336292323536094,235.0,0.8223155571555695,0.8223155571555695,0.8223155571555695,0.9483031219331379,OK,WRONG_TRAJECTORY_DEPTH_COMPENSATION_DIAGNOSTIC,DEPTH_NONMATERIAL_CASE
A07,A,180.0,4.425924866145832,3.761622196011364,165.0,0.8499064737371032,0.8499064737371032,0.8499064737371032,1.0,OK,WRONG_TRAJECTORY_DEPTH_COMPENSATION_DIAGNOSTIC,DEPTH_NONMATERIAL_CASE
A07,A,200.0,4.417337985612254,3.761622196011364,165.0,0.851558610245214,0.851558610245214,0.9888258770023342,0.9888258770023342,OK,WRONG_TRAJECTORY_DEPTH_COMPENSATION_DIAGNOSTIC,DEPTH_NONMATERIAL_CASE
A07,A,220.0,4.651847858446734,3.761622196011364,165.0,0.8086296694293396,0.9025669423783093,0.9025669423783093,0.9389769916287077,OK,WRONG_TRAJECTORY_DEPTH_COMPENSATION_DIAGNOSTIC,DEPTH_NONMATERIAL_CASE
A08,A,180.0,4.618486880215321,3.322978005876759,235.0,0.7194949540967055,0.9047712920897462,1.0,1.0,OK,WRONG_TRAJECTORY_DEPTH_COMPENSATION_DIAGNOSTIC,DEPTH_MODERATE_COUPLING_CASE
A08,A,200.0,5.583405639504696,3.322978005876759,235.0,0.5951525324195396,0.5951525324195396,0.8271809677480334,0.828410881154334,OK,WRONG_TRAJECTORY_DEPTH_COMPENSATION_DIAGNOSTIC,DEPTH_MODERATE_COUPLING_CASE
A08,A,220.0,5.214162818185868,3.322978005876759,235.0,0.637298473742886,0.637298473742886,0.637298473742886,0.8014084883459426,OK,WRONG_TRAJECTORY_DEPTH_COMPENSATION_DIAGNOSTIC,DEPTH_MODERATE_COUPLING_CASE
A09,A,180.0,4.121442972813864,2.8167506488346037,175.0,0.6834379772848105,0.6834379772848105,0.6834379772848105,0.6834379772848105,OK,WRONG_TRAJECTORY_DEPTH_COMPENSATION_DIAGNOSTIC,DEPTH_MODERATE_COUPLING_CASE
A09,A,200.0,5.198137041464699,2.8167506488346032,175.0,0.5418769506009247,0.5418769506009247,0.5418769506009247,0.837392476192189,OK,WRONG_TRAJECTORY_DEPTH_COMPENSATION_DIAGNOSTIC,DEPTH_MODERATE_COUPLING_CASE
A09,A,220.0,3.9739591814639,2.8167506488346032,175.0,0.7088021089831597,0.7088021089831597,0.9262685605487181,0.9262685605487181,OK,WRONG_TRAJECTORY_DEPTH_COMPENSATION_DIAGNOSTIC,DEPTH_MODERATE_COUPLING_CASE
A10,A,180.0,1.7539469905038207,1.0633058257760721,175.0,0.6062360102859424,0.6062360102859424,0.6062360102859424,0.6062360102859424,OK,WRONG_TRAJECTORY_DEPTH_COMPENSATION_DIAGNOSTIC,DEPTH_MODERATE_COUPLING_CASE
A10,A,200.0,2.916339188438888,1.0633058257760724,175.0,0.3646029343881836,0.3646029343881836,0.3646029343881836,0.6196345526714826,OK,WRONG_TRAJECTORY_DEPTH_COMPENSATION_DIAGNOSTIC,DEPTH_MODERATE_COUPLING_CASE
A10,A,220.0,3.295883436862783,1.0633058257760724,175.0,0.32261633220505814,0.32261633220505814,0.4598110115338376,0.6869298769277501,OK,WRONG_TRAJECTORY_DEPTH_COMPENSATION_DIAGNOSTIC,DEPTH_MODERATE_COUPLING_CASE
B01,B,180.0,4.539596803679151,2.707920896683704,195.0,0.5965113233159933,0.5965113233159933,0.5965113233159933,0.6564233921462593,OK,WRONG_TRAJECTORY_DEPTH_COMPENSATION_DIAGNOSTIC,DEPTH_MODERATE_COUPLING_CASE
B01,B,200.0,4.168800020157235,2.7255447038357827,195.0,0.6537959822148013,0.6537959822148013,0.6537959822148013,0.6537959822148013,OK,WRONG_TRAJECTORY_DEPTH_COMPENSATION_DIAGNOSTIC,DEPTH_MODERATE_COUPLING_CASE
B01,B,220.0,3.5593033725349494,2.6997602473366604,195.0,0.758508046312973,0.758508046312973,0.758508046312973,0.9222906218663457,OK,WRONG_TRAJECTORY_DEPTH_COMPENSATION_DIAGNOSTIC,DEPTH_MODERATE_COUPLING_CASE
B02,B,180.0,3.8504122297977794,2.7032757466020776,175.0,0.70207437159113,0.70207437159113,0.70207437159113,0.70207437159113,OK,WRONG_TRAJECTORY_DEPTH_COMPENSATION_DIAGNOSTIC,DEPTH_MODERATE_COUPLING_CASE
B02,B,200.0,5.100558777900568,2.730490141256918,175.0,0.5353315705501603,0.5353315705501603,0.5353315705501603,0.7977179154057781,OK,WRONG_TRAJECTORY_DEPTH_COMPENSATION_DIAGNOSTIC,DEPTH_MODERATE_COUPLING_CASE
B02,B,220.0,3.947652250510032,2.718138233825739,175.0,0.6885455104295366,0.6885455104295366,0.9620247451120292,0.9620247451120292,OK,WRONG_TRAJECTORY_DEPTH_COMPENSATION_DIAGNOSTIC,DEPTH_MODERATE_COUPLING_CASE
B03,B,180.0,2.505182728024221,1.3488380050264297,175.0,0.5384190102932039,0.5384190102932039,0.5384190102932039,0.5384190102932039,OK,WRONG_TRAJECTORY_DEPTH_COMPENSATION_DIAGNOSTIC,DEPTH_MODERATE_COUPLING_CASE
B03,B,200.0,1.8760532892762394,1.1510264046214609,210.0,0.6135360926050849,0.6135360926050849,0.6135360926050849,0.6135360926050849,OK,WRONG_TRAJECTORY_DEPTH_COMPENSATION_DIAGNOSTIC,DEPTH_MODERATE_COUPLING_CASE
B03,B,220.0,1.9006746470866382,1.3288487988808735,175.0,0.6991458537723636,0.6991458537723636,0.7651239975218518,0.7651239975218518,OK,WRONG_TRAJECTORY_DEPTH_COMPENSATION_DIAGNOSTIC,DEPTH_MODERATE_COUPLING_CASE
B04,B,180.0,3.2542494767178884,1.9580935160971646,210.0,0.6017035664002082,0.6017035664002082,0.6414082594071773,0.6414082594071773,OK,WRONG_TRAJECTORY_DEPTH_COMPENSATION_DIAGNOSTIC,DEPTH_MODERATE_COUPLING_CASE
B04,B,200.0,2.318573931417688,1.647749845342147,205.0,0.7106738426644145,0.7106738426644145,0.7106738426644145,0.7106738426644145,OK,WRONG_TRAJECTORY_DEPTH_COMPENSATION_DIAGNOSTIC,DEPTH_MODERATE_COUPLING_CASE
B04,B,220.0,2.047386460201923,1.9520133532663924,210.0,0.9534171448383396,0.9534171448383396,0.9534171448383396,0.9534171448383396,OK,WRONG_TRAJECTORY_DEPTH_COMPENSATION_DIAGNOSTIC,DEPTH_NONMATERIAL_CASE
B05,B,180.0,4.537209772480555,2.7408647737145837,195.0,0.6040859715895647,0.6040859715895647,0.6040859715895647,0.6804048020750353,OK,WRONG_TRAJECTORY_DEPTH_COMPENSATION_DIAGNOSTIC,DEPTH_MODERATE_COUPLING_CASE
B05,B,200.0,4.049071175705553,2.648319344688156,195.0,0.6540560118029254,0.6540560118029254,0.6540560118029254,0.6540560118029254,OK,WRONG_TRAJECTORY_DEPTH_COMPENSATION_DIAGNOSTIC,DEPTH_MODERATE_COUPLING_CASE
