env,pair_id,mechanism,z_true,J_true_star,J_alt_star,delta_J_env,delta_J_gt_0,delta_J_gt_0p5,static_blind
E0_nominal,A01,A,180.0,0.0,4.361081417975073,4.361081417975073,True,True,False
E0_nominal,A01,A,200.0,0.0,4.361081417975073,4.361081417975073,True,True,False
E0_nominal,A01,A,220.0,0.0,4.361081417975073,4.361081417975073,True,True,False
E1_shift50m,A01,A,180.0,1.0048591735576161e-14,4.361081417975073,4.361081417975063,True,True,False
E1_shift50m,A01,A,200.0,1.0048591735576161e-14,4.361081417975073,4.361081417975063,True,True,False
E1_shift50m,A01,A,220.0,1.0048591735576161e-14,4.361081417975073,4.361081417975063,True,True,False
E2_shift150m_plus2,A01,A,180.0,7.105427357601002e-15,4.361081417975073,4.361081417975066,True,True,False
E2_shift150m_plus2,A01,A,200.0,7.105427357601002e-15,4.361081417975073,4.361081417975066,True,True,False
E2_shift150m_plus2,A01,A,220.0,7.105427357601002e-15,4.361081417975073,4.361081417975066,True,True,False
E0_nominal,A02,A,180.0,0.0,4.257545811351039,4.257545811351039,True,True,False
E0_nominal,A02,A,200.0,0.0,4.257545811351039,4.257545811351039,True,True,False
E0_nominal,A02,A,220.0,0.0,4.257545811351039,4.257545811351039,True,True,False
E1_shift50m,A02,A,180.0,1.0048591735576161e-14,4.257545811351039,4.257545811351029,True,True,False
E1_shift50m,A02,A,200.0,1.0048591735576161e-14,4.257545811351039,4.257545811351029,True,True,False
E1_shift50m,A02,A,220.0,1.0048591735576161e-14,4.257545811351039,4.257545811351029,True,True,False
E2_shift150m_plus2,A02,A,180.0,7.105427357601002e-15,4.257545811351039,4.257545811351032,True,True,False
E2_shift150m_plus2,A02,A,200.0,7.105427357601002e-15,4.257545811351039,4.257545811351032,True,True,False
E2_shift150m_plus2,A02,A,220.0,7.105427357601002e-15,4.257545811351039,4.257545811351032,True,True,False
E0_nominal,A03,A,180.0,0.0,2.4689694376607245,2.4689694376607245,True,True,False
E0_nominal,A03,A,200.0,0.0,2.4689694376607245,2.4689694376607245,True,True,False
E0_nominal,A03,A,220.0,0.0,2.4689694376607245,2.4689694376607245,True,True,False
E1_shift50m,A03,A,180.0,1.0048591735576161e-14,2.4689694376607245,2.4689694376607143,True,True,False
E1_shift50m,A03,A,200.0,1.0048591735576161e-14,2.4689694376607245,2.4689694376607143,True,True,False
E1_shift50m,A03,A,220.0,1.0048591735576161e-14,2.4689694376607245,2.4689694376607143,True,True,False
E2_shift150m_plus2,A03,A,180.0,7.105427357601002e-15,2.4689694376607245,2.4689694376607174,True,True,False
E2_shift150m_plus2,A03,A,200.0,7.105427357601002e-15,2.4689694376607245,2.4689694376607174,True,True,False
E2_shift150m_plus2,A03,A,220.0,7.105427357601002e-15,2.4689694376607245,2.4689694376607174,True,True,False
E0_nominal,A04,A,180.0,0.0,3.8677781687308856,3.8677781687308856,True,True,False
E0_nominal,A04,A,200.0,0.0,3.8677781687308856,3.8677781687308856,True,True,False
E0_nominal,A04,A,220.0,0.0,3.867778168730885,3.867778168730885,True,True,False
E1_shift50m,A04,A,180.0,7.105427357601002e-15,3.8677781687308848,3.8677781687308777,True,True,False
E1_shift50m,A04,A,200.0,7.105427357601002e-15,3.8677781687308848,3.8677781687308777,True,True,False
E1_shift50m,A04,A,220.0,7.105427357601002e-15,3.8677781687308848,3.8677781687308777,True,True,False
E2_shift150m_plus2,A04,A,180.0,7.105427357601002e-15,3.8677781687308856,3.8677781687308785,True,True,False
E2_shift150m_plus2,A04,A,200.0,7.105427357601002e-15,3.8677781687308856,3.8677781687308785,True,True,False
E2_shift150m_plus2,A04,A,220.0,7.105427357601002e-15,3.8677781687308856,3.8677781687308785,True,True,False
E0_nominal,A05,A,180.0,0.0,1.0048591735576161e-14,1.0048591735576161e-14,True,False,True
E0_nominal,A05,A,200.0,0.0,7.105427357601002e-15,7.105427357601002e-15,True,False,True
E0_nominal,A05,A,220.0,0.0,0.0,0.0,False,False,True
