pair_id,mechanism,z_true,n_lines,frequencies,J_true_star,J_alt_star,delta_J,delta_J_gt_0,delta_J_gt_0p5,static_blind
A01,A,180.0,1,201,0.0,2.902465453557174,2.902465453557174,True,True,False
A01,A,180.0,1,235,0.0,3.3031838185295883,3.3031838185295883,True,True,False
A01,A,180.0,1,283,0.0,2.9708992144472175,2.9708992144472175,True,True,False
A01,A,180.0,1,338,0.0,3.4060805630841524,3.4060805630841524,True,True,False
A01,A,180.0,2,201;235,0.0,3.561402183533357,3.561402183533357,True,True,False
A01,A,180.0,2,201;283,0.0,2.9480757128262827,2.9480757128262827,True,True,False
A01,A,180.0,2,201;338,0.0,3.688490575834237,3.688490575834237,True,True,False
A01,A,180.0,2,235;283,0.0,3.796757893291017,3.796757893291017,True,True,False
A01,A,180.0,2,235;338,0.0,3.6861158907022227,3.6861158907022227,True,True,False
A01,A,180.0,2,283;338,0.0,3.5255219390609187,3.5255219390609187,True,True,False
A01,A,180.0,3,201;235;283,0.0,3.882528159680253,3.882528159680253,True,True,False
A01,A,180.0,3,201;235;338,0.0,4.329019166449132,4.329019166449132,True,True,False
A01,A,180.0,3,201;283;338,0.0,3.9940208756569446,3.9940208756569446,True,True,False
A01,A,180.0,3,235;283;338,0.0,3.6711544870224384,3.6711544870224384,True,True,False
A01,A,180.0,4,201;235;283;338,0.0,4.361081417975073,4.361081417975073,True,True,False
A01,A,200.0,1,201,0.0,2.902465453557174,2.902465453557174,True,True,False
A01,A,200.0,1,235,0.0,3.3031838185295883,3.3031838185295883,True,True,False
A01,A,200.0,1,283,0.0,2.9708992144472175,2.9708992144472175,True,True,False
A01,A,200.0,1,338,0.0,3.4060805630841524,3.4060805630841524,True,True,False
A01,A,200.0,2,201;235,0.0,3.561402183533357,3.561402183533357,True,True,False
A01,A,200.0,2,201;283,0.0,2.9480757128262827,2.9480757128262827,True,True,False
A01,A,200.0,2,201;338,0.0,3.688490575834237,3.688490575834237,True,True,False
A01,A,200.0,2,235;283,0.0,3.796757893291017,3.796757893291017,True,True,False
A01,A,200.0,2,235;338,0.0,3.686115890702223,3.686115890702223,True,True,False
A01,A,200.0,2,283;338,0.0,3.5255219390609187,3.5255219390609187,True,True,False
A01,A,200.0,3,201;235;283,0.0,3.8825281596802537,3.8825281596802537,True,True,False
A01,A,200.0,3,201;235;338,0.0,4.329019166449132,4.329019166449132,True,True,False
A01,A,200.0,3,201;283;338,0.0,3.994020875656944,3.994020875656944,True,True,False
A01,A,200.0,3,235;283;338,0.0,3.671154487022438,3.671154487022438,True,True,False
