r_km,z_m,J_amp,J_coh
45.0,150.0,0.14703482423013803,0.9802663499186681
45.25,150.0,0.14112193508798576,0.24522924567716342
45.5,150.0,0.13507696414317183,0.9411534182981295
45.75,150.0,0.12895540683089135,0.9353527927006069
46.0,150.0,0.12277822000551641,0.9060153239449371
46.25,150.0,0.11653968511329682,0.9482979031904426
46.5,150.0,0.11022890539937591,0.9719874548741735
46.75,150.0,0.1038568958042494,0.9063181581402894
47.0,150.0,0.09746935708843385,0.9494105974517719
47.25,150.0,0.09113387220928404,0.5152330159185513
47.5,150.0,0.08491567371759423,0.901289533280619
47.75,150.0,0.07886083368224817,0.917020245438187
48.0,150.0,0.07299191319922416,0.550326030488079
48.25,150.0,0.06731386103478498,0.9521983603011633
48.5,150.0,0.061827930321871394,0.9202120199016588
48.75,150.0,0.05654776018709995,0.8614819267372534
49.0,150.0,0.05150608449957339,0.9209290904889315
49.25,150.0,0.04674648735417497,0.9475857529050105
49.5,150.0,0.042308730104853254,0.8690887662838189
49.75,150.0,0.03821867601354878,0.9268549449540019
50.0,150.0,0.03448606842261759,0.06875349292764721
50.25,150.0,0.03110874437037814,0.9442959528121161
50.5,150.0,0.028081262015481445,0.8949570128322039
50.75,150.0,0.02540414546409253,0.9080982278623181
51.0,150.0,0.023087802872553742,0.9059846316151067
51.25,150.0,0.02114861855539374,0.8235439726770085
51.5,150.0,0.019601519413652735,0.8434772732477798
51.75,150.0,0.01845456347749852,0.9484552364218986
52.0,150.0,0.017707429746586678,0.5963400613243781
52.25,150.0,0.017353193097575326,0.910720346565828
52.5,150.0,0.017382217011217227,0.8903458132686041
52.75,150.0,0.01778626584092724,0.5459387443205717
53.0,150.0,0.018560290647554822,0.9076226595302818
53.25,150.0,0.01970090066992025,0.8608595927765035
53.5,150.0,0.02120325869719253,0.81813266390721
53.75,150.0,0.023058727123449474,0.9537267174087835
54.0,150.0,0.0252542788994633,0.7769147270857777
54.25,150.0,0.027773689177223115,0.8621974801350591
54.5,150.0,0.03060003222827168,0.8979509401424707
54.75,150.0,0.03371818999017184,0.3144773536708487
55.0,150.0,0.03711554282954088,0.9226768528584157
55.25,150.0,0.04078020904501711,0.936353217849343
55.5,150.0,0.044698218932178624,0.8516585386331865
55.75,150.0,0.04885152027049988,0.9302700020648843
56.0,150.0,0.053217850149599566,0.7196680597323029
56.25,150.0,0.057772713660887653,0.8051324530660593
56.5,150.0,0.06249295002990962,0.9162132211493262
56.75,150.0,0.06736008121649872,0.9189079100049622
57.0,150.0,0.07236097874304837,0.9324994127293154
57.25,150.0,0.07748510235471062,0.9551597973617705
57.5,150.0,0.0827202697273639,0.7896535401886218
57.75,150.0,0.08804961079836138,0.9028194294567692
58.0,150.0,0.09345117429839866,0.8446456781797914
58.25,150.0,0.09890042144959221,0.7443144979799003
58.5,150.0,0.10437472544203474,0.9383712024318123
58.75,150.0,0.1098575201808486,0.8462862452726062
59.0,150.0,0.11533921415821025,0.9014116748093804
59.25,150.0,0.12081408642247604,0.9169668362072088
59.5,150.0,0.12627541454848468,0.7616619258019398
59.75,150.0,0.13171187024658704,0.8844097556259544
60.0,150.0,0.13710688484603628,0.9073169059166803
45.0,152.5,0.1405315919302198,0.9803351590496474
45.25,152.5,0.13460262192786,0.2374681693459757
45.5,152.5,0.12858035007781532,0.9398319153935706
45.75,152.5,0.12249251128108796,0.9336267528626468
46.0,152.5,0.11633884677780126,0.9001837810417622
